case_id,district,year,crime_head
SYN-C-00049,Mysuru,2020,THEFT
SYN-C-00050,Bengaluru Urban,2021,CHEATING
SYN-C-00051,Bengaluru Urban,2023,BURGLARY - NIGHT
SYN-C-00052,Belagavi,2023,BURGLARY - NIGHT
SYN-C-00053,Bengaluru Urban,2021,THEFT
SYN-C-00054,Bengaluru Urban,2020,THEFT
SYN-C-00055,Bengaluru Urban,2019,THEFT
SYN-C-00056,Kalaburagi,2021,THEFT
SYN-C-00057,Bengaluru Urban,2021,THEFT
SYN-C-00058,Tumakuru,2022,THEFT
SYN-C-00059,Bengaluru Urban,2022,THEFT
SYN-C-00060,Bengaluru Urban,2023,BURGLARY - NIGHT
SYN-C-00061,Bengaluru Urban,2023,CHEATING
SYN-C-00062,Bengaluru Urban,2023,THEFT
SYN-C-00063,Bengaluru Urban,2019,THEFT
SYN-C-00064,Bengaluru Urban,2021,THEFT
SYN-C-00065,Bengaluru Urban,2020,CHEATING
SYN-C-00066,Bengaluru Urban,2021,THEFT
SYN-C-00067,Bengaluru Urban,2019,CHEATING
SYN-C-00068,Tumakuru,2021,THEFT
SYN-C-00069,Bengaluru Urban,2019,THEFT
SYN-C-00070,Bengaluru Urban,2023,THEFT
SYN-C-00071,Bengaluru Urban,2020,THEFT
SYN-C-00072,Mysuru,2020,THEFT
SYN-C-00073,Bengaluru Urban,2023,THEFT
SYN-C-00074,Bengaluru Urban,2019,THEFT
SYN-C-00075,Mysuru,2019,BURGLARY - NIGHT
SYN-C-00076,Tumakuru,2019,THEFT
SYN-C-00077,Mysuru,2022,CHEATING
SYN-C-00078,Bengaluru Urban,2022,THEFT
SYN-C-00079,Bengaluru Urban,2019,THEFT
SYN-C-00080,Bengaluru Urban,2019,THEFT
SYN-C-00081,Mysuru,2023,THEFT
SYN-C-00082,Bengaluru Urban,2022,THEFT
SYN-C-00083,Bengaluru Urban,2019,THEFT
SYN-C-00084,Mysuru,2021,CHEATING
SYN-C-00085,Bengaluru Urban,2023,CHEATING
SYN-C-00086,Bengaluru Urban,2022,THEFT
SYN-C-00087,Bengaluru Urban,2021,ROBBERY
SYN-C-00088,Bengaluru Urban,2021,THEFT
SYN-C-00089,Bengaluru Urban,2020,CHEATING
SYN-C-00090,Belagavi,2021,THEFT
SYN-C-00091,Mysuru,2020,THEFT
SYN-C-00092,Bengaluru Urban,2022,CHEATING
SYN-C-00093,Bengaluru Urban,2022,THEFT
SYN-C-00094,Bengaluru Urban,2020,THEFT
SYN-C-00095,Bengaluru Urban,2023,THEFT
SYN-C-00096,Belagavi,2021,BURGLARY - NIGHT
SYN-C-00097,Bengaluru Urban,2021,ROBBERY
SYN-C-00098,Belagavi,2021,MURDER
SYN-C-00099,Bengaluru Urban,2019,ROBBERY
SYN-C-00100,Tumakuru,2021,THEFT
SYN-C-00101,Bengaluru Urban,2023,ROBBERY
SYN-C-00102,Bengaluru Urban,2021,THEFT
SYN-C-00103,Bengaluru Urban,2022,THEFT
SYN-C-00104,Mysuru,2020,THEFT
SYN-C-00105,Bengaluru Urban,2021,CHEATING
SYN-C-00106,Bengaluru Urban,2022,THEFT
SYN-C-00107,Bengaluru Urban,2023,THEFT
SYN-C-00108,Bengaluru Urban,2021,CHEATING
SYN-C-00109,Bengaluru Urban,2022,THEFT
SYN-C-00110,Bengaluru Urban,2023,THEFT
SYN-C-00111,Mysuru,2022,THEFT
SYN-C-00112,Bengaluru Urban,2019,THEFT
SYN-C-00113,Mysuru,2023,THEFT
SYN-C-00114,Belagavi,2019,CHEATING
SYN-C-00115,Bengaluru Urban,2023,THEFT
SYN-C-00116,Kalaburagi,2021,THEFT
SYN-C-00117,Bengaluru Urban,2019,THEFT
SYN-C-00118,Bengaluru Urban,2021,THEFT
SYN-C-00119,Kalaburagi,2021,THEFT
SYN-C-00120,Belagavi,2020,BURGLARY - NIGHT
SYN-C-00121,Bengaluru Urban,2023,CHEATING
SYN-C-00122,Kalaburagi,2019,THEFT
SYN-C-00123,Bengaluru Urban,2022,THEFT
SYN-C-00124,Bengaluru Urban,2023,THEFT
SYN-C-00125,Bengaluru Urban,2020,BURGLARY - NIGHT
SYN-C-00126,Bengaluru Urban,2019,THEFT
SYN-C-00127,Bengaluru Urban,2021,CHEATING
SYN-C-00128,Bengaluru Urban,2019,THEFT
SYN-C-00129,Bengaluru Urban,2021,CHEATING
SYN-C-00130,Tumakuru,2020,BURGLARY - NIGHT
SYN-C-00131,Bengaluru Urban,2022,THEFT
SYN-C-00132,Bengaluru Urban,2021,CHEATING
SYN-C-00133,Bengaluru Urban,2020,THEFT
SYN-C-00134,Tumakuru,2020,THEFT
SYN-C-00135,Bengaluru Urban,2021,THEFT
SYN-C-00136,Tumakuru,2022,THEFT
SYN-C-00137,Bengaluru Urban,2022,THEFT
SYN-C-00138,Bengaluru Urban,2022,THEFT
SYN-C-00139,Mysuru,2021,THEFT
SYN-C-00140,Bengaluru Urban,2023,THEFT
SYN-C-00141,Bengaluru Urban,2022,THEFT
SYN-C-00142,Bengaluru Urban,2021,THEFT
SYN-C-00143,Mysuru,2021,BURGLARY - NIGHT
SYN-C-00144,Bengaluru Urban,2021,THEFT
SYN-C-00145,Mysuru,2023,CHEATING
SYN-C-00146,Belagavi,2023,THEFT
SYN-C-00147,Bengaluru Urban,2021,THEFT
SYN-C-00148,Bengaluru Urban,2022,THEFT
SYN-C-00149,Tumakuru,2020,MURDER
SYN-C-00150,Bengaluru Urban,2020,CHEATING
SYN-C-00151,Kalaburagi,2021,BURGLARY - NIGHT
SYN-C-00152,Bengaluru Urban,2023,THEFT
SYN-C-00153,Bengaluru Urban,2023,THEFT
SYN-C-00154,Bengaluru Urban,2023,CHEATING
SYN-C-00155,Tumakuru,2022,CHEATING
SYN-C-00156,Bengaluru Urban,2021,BURGLARY - NIGHT
SYN-C-00157,Bengaluru Urban,2021,THEFT
SYN-C-00158,Bengaluru Urban,2019,THEFT
SYN-C-00159,Belagavi,2022,THEFT
SYN-C-00160,Bengaluru Urban,2019,THEFT
SYN-C-00161,Mysuru,2022,THEFT
SYN-C-00162,Kalaburagi,2023,THEFT
SYN-C-00163,Bengaluru Urban,2019,CHEATING
SYN-C-00164,Bengaluru Urban,2023,BURGLARY - NIGHT
SYN-C-00165,Bengaluru Urban,2022,CHEATING
SYN-C-00166,Bengaluru Urban,2022,THEFT
SYN-C-00167,Bengaluru Urban,2023,ROBBERY
SYN-C-00168,Bengaluru Urban,2020,THEFT
SYN-C-00169,Tumakuru,2021,MURDER
SYN-C-00170,Bengaluru Urban,2022,CHEATING
SYN-C-00171,Bengaluru Urban,2023,CHEATING
SYN-C-00172,Bengaluru Urban,2023,CHEATING
SYN-C-00173,Bengaluru Urban,2019,THEFT
SYN-C-00174,Belagavi,2023,CHEATING
SYN-C-00175,Bengaluru Urban,2021,THEFT
SYN-C-00176,Bengaluru Urban,2023,THEFT
SYN-C-00177,Kalaburagi,2021,THEFT
SYN-C-00178,Bengaluru Urban,2023,THEFT
SYN-C-00179,Bengaluru Urban,2019,CHEATING
SYN-C-00180,Mysuru,2022,THEFT
SYN-C-00181,Kalaburagi,2020,THEFT
SYN-C-00182,Mysuru,2021,BURGLARY - NIGHT
SYN-C-00183,Bengaluru Urban,2022,THEFT
SYN-C-00184,Mysuru,2022,THEFT
SYN-C-00185,Belagavi,2022,MURDER
SYN-C-00186,Belagavi,2021,MURDER
SYN-C-00187,Belagavi,2020,THEFT
SYN-C-00188,Bengaluru Urban,2020,CHEATING
SYN-C-00189,Bengaluru Urban,2020,CHEATING
SYN-C-00190,Bengaluru Urban,2019,THEFT
SYN-C-00191,Bengaluru Urban,2022,THEFT
SYN-C-00192,Belagavi,2021,THEFT
SYN-C-00193,Bengaluru Urban,2022,THEFT
SYN-C-00194,Bengaluru Urban,2019,THEFT
SYN-C-00195,Bengaluru Urban,2023,THEFT
SYN-C-00196,Belagavi,2020,THEFT
SYN-C-00197,Bengaluru Urban,2020,THEFT
SYN-C-00198,Tumakuru,2019,CHEATING
SYN-C-00199,Bengaluru Urban,2022,THEFT
SYN-C-00200,Kalaburagi,2021,THEFT
SYN-C-00201,Bengaluru Urban,2023,ROBBERY
SYN-C-00202,Bengaluru Urban,2023,CHEATING
SYN-C-00203,Bengaluru Urban,2019,THEFT
SYN-C-00204,Bengaluru Urban,2022,THEFT
SYN-C-00205,Belagavi,2022,BURGLARY - NIGHT
SYN-C-00206,Kalaburagi,2020,THEFT
SYN-C-00207,Tumakuru,2021,CHEATING
SYN-C-00208,Mysuru,2019,THEFT
SYN-C-00209,Belagavi,2022,THEFT
SYN-C-00210,Bengaluru Urban,2021,CHEATING
SYN-C-00211,Bengaluru Urban,2020,THEFT
SYN-C-00212,Bengaluru Urban,2019,CHEATING
SYN-C-00213,Bengaluru Urban,2023,CHEATING
SYN-C-00214,Kalaburagi,2020,BURGLARY - NIGHT
SYN-C-00215,Bengaluru Urban,2020,THEFT
SYN-C-00216,Mysuru,2019,THEFT
SYN-C-00217,Kalaburagi,2020,BURGLARY - NIGHT
SYN-C-00218,Bengaluru Urban,2019,ROBBERY
SYN-C-00219,Bengaluru Urban,2023,THEFT
SYN-C-00220,Mysuru,2021,CHEATING
SYN-C-00221,Bengaluru Urban,2019,THEFT
SYN-C-00222,Bengaluru Urban,2022,THEFT
SYN-C-00223,Bengaluru Urban,2023,CHEATING
SYN-C-00224,Bengaluru Urban,2023,CHEATING
SYN-C-00225,Bengaluru Urban,2019,CHEATING
SYN-C-00226,Bengaluru Urban,2023,THEFT
SYN-C-00227,Bengaluru Urban,2023,CHEATING
SYN-C-00228,Kalaburagi,2022,THEFT
SYN-C-00229,Kalaburagi,2020,THEFT
SYN-C-00230,Bengaluru Urban,2020,THEFT
SYN-C-00231,Bengaluru Urban,2023,THEFT
SYN-C-00232,Mysuru,2020,CHEATING
SYN-C-00233,Mysuru,2021,THEFT
SYN-C-00234,Bengaluru Urban,2019,THEFT
SYN-C-00235,Belagavi,2021,BURGLARY - NIGHT
SYN-C-00236,Bengaluru Urban,2023,ROBBERY
SYN-C-00237,Bengaluru Urban,2019,THEFT
SYN-C-00238,Bengaluru Urban,2022,THEFT
SYN-C-00239,Tumakuru,2019,THEFT
SYN-C-00240,Bengaluru Urban,2021,THEFT
SYN-C-00241,Bengaluru Urban,2020,CHEATING
SYN-C-00242,Bengaluru Urban,2022,BURGLARY - NIGHT
SYN-C-00243,Bengaluru Urban,2023,ROBBERY
SYN-C-00244,Bengaluru Urban,2019,CHEATING
SYN-C-00245,Bengaluru Urban,2021,THEFT
SYN-C-00246,Bengaluru Urban,2019,THEFT
SYN-C-00247,Bengaluru Urban,2023,THEFT
SYN-C-00248,Kalaburagi,2023,BURGLARY - NIGHT
SYN-C-00249,Bengaluru Urban,2021,ROBBERY
SYN-C-00250,Bengaluru Urban,2021,ROBBERY
SYN-C-00251,Bengaluru Urban,2022,THEFT
SYN-C-00252,Bengaluru Urban,2019,THEFT
SYN-C-00253,Bengaluru Urban,2020,CHEATING
SYN-C-00254,Bengaluru Urban,2020,THEFT
SYN-C-00255,Bengaluru Urban,2022,BURGLARY - NIGHT
SYN-C-00256,Bengaluru Urban,2019,BURGLARY - NIGHT
SYN-C-00257,Bengaluru Urban,2023,THEFT
SYN-C-00258,Bengaluru Urban,2022,THEFT
SYN-C-00259,Bengaluru Urban,2020,THEFT
SYN-C-00260,Bengaluru Urban,2019,BURGLARY - NIGHT
SYN-C-00261,Bengaluru Urban,2023,THEFT
SYN-C-00262,Bengaluru Urban,2019,ROBBERY
SYN-C-00263,Bengaluru Urban,2019,THEFT
SYN-C-00264,Bengaluru Urban,2019,ROBBERY
SYN-C-00265,Bengaluru Urban,2019,BURGLARY - NIGHT
SYN-C-00266,Mysuru,2022,ROBBERY
SYN-C-00267,Bengaluru Urban,2020,THEFT
SYN-C-00268,Bengaluru Urban,2020,THEFT
SYN-C-00269,Kalaburagi,2023,CHEATING
SYN-C-00270,Bengaluru Urban,2023,CHEATING
SYN-C-00271,Bengaluru Urban,2019,THEFT
SYN-C-00272,Bengaluru Urban,2021,THEFT
SYN-C-00273,Mysuru,2021,CHEATING
SYN-C-00274,Bengaluru Urban,2021,ROBBERY
SYN-C-00275,Bengaluru Urban,2023,THEFT
SYN-C-00276,Bengaluru Urban,2019,CHEATING
SYN-C-00277,Bengaluru Urban,2023,THEFT
SYN-C-00278,Bengaluru Urban,2023,THEFT
SYN-C-00279,Kalaburagi,2022,THEFT
SYN-C-00280,Bengaluru Urban,2023,THEFT
SYN-C-00281,Bengaluru Urban,2021,MURDER
SYN-C-00282,Belagavi,2023,ROBBERY
SYN-C-00283,Bengaluru Urban,2022,THEFT
SYN-C-00284,Bengaluru Urban,2023,THEFT
SYN-C-00285,Bengaluru Urban,2019,THEFT
SYN-C-00286,Bengaluru Urban,2020,THEFT
SYN-C-00287,Bengaluru Urban,2022,THEFT
SYN-C-00288,Bengaluru Urban,2023,THEFT
SYN-C-00289,Mysuru,2021,THEFT
SYN-C-00290,Bengaluru Urban,2019,ROBBERY
SYN-C-00291,Bengaluru Urban,2019,THEFT
SYN-C-00292,Kalaburagi,2020,MURDER
SYN-C-00293,Bengaluru Urban,2023,CHEATING
SYN-C-00294,Bengaluru Urban,2023,THEFT
SYN-C-00295,Tumakuru,2023,THEFT
SYN-C-00296,Tumakuru,2019,CHEATING
SYN-C-00297,Kalaburagi,2023,THEFT
SYN-C-00298,Bengaluru Urban,2023,THEFT
SYN-C-00299,Bengaluru Urban,2021,THEFT
SYN-C-00300,Bengaluru Urban,2023,CHEATING
SYN-C-00301,Bengaluru Urban,2019,THEFT
SYN-C-00302,Bengaluru Urban,2023,THEFT
SYN-C-00303,Bengaluru Urban,2023,THEFT
SYN-C-00304,Bengaluru Urban,2023,THEFT
SYN-C-00305,Bengaluru Urban,2021,THEFT
SYN-C-00306,Bengaluru Urban,2021,THEFT
SYN-C-00307,Bengaluru Urban,2021,THEFT
SYN-C-00308,Belagavi,2021,THEFT
SYN-C-00309,Kalaburagi,2023,THEFT
SYN-C-00310,Bengaluru Urban,2022,THEFT
SYN-C-00311,Bengaluru Urban,2021,THEFT
SYN-C-00312,Bengaluru Urban,2022,THEFT
SYN-C-00313,Bengaluru Urban,2023,THEFT
SYN-C-00314,Bengaluru Urban,2021,THEFT
SYN-C-00315,Kalaburagi,2023,BURGLARY - NIGHT
SYN-C-00316,Mysuru,2023,BURGLARY - NIGHT
SYN-C-00317,Bengaluru Urban,2021,THEFT
SYN-C-00318,Bengaluru Urban,2019,THEFT
SYN-C-00319,Bengaluru Urban,2023,THEFT
SYN-C-00320,Tumakuru,2023,THEFT
SYN-C-00321,Bengaluru Urban,2019,THEFT
SYN-C-00322,Bengaluru Urban,2023,THEFT
SYN-C-00323,Kalaburagi,2022,THEFT
SYN-C-00324,Mysuru,2023,BURGLARY - NIGHT
SYN-C-00325,Bengaluru Urban,2019,ROBBERY
SYN-C-00326,Bengaluru Urban,2019,CHEATING
SYN-C-00327,Tumakuru,2023,CHEATING
SYN-C-00328,Bengaluru Urban,2019,DACOITY
SYN-C-00329,Bengaluru Urban,2019,THEFT
SYN-C-00330,Bengaluru Urban,2022,THEFT
SYN-C-00331,Bengaluru Urban,2021,THEFT
SYN-C-00332,Bengaluru Urban,2023,THEFT
SYN-C-00333,Bengaluru Urban,2019,THEFT
SYN-C-00334,Mysuru,2022,THEFT
SYN-C-00335,Bengaluru Urban,2019,THEFT
SYN-C-00336,Bengaluru Urban,2023,THEFT
SYN-C-00337,Belagavi,2023,THEFT
SYN-C-00338,Bengaluru Urban,2022,CHEATING
SYN-C-00339,Belagavi,2021,THEFT
SYN-C-00340,Bengaluru Urban,2020,THEFT
SYN-C-00341,Bengaluru Urban,2020,THEFT
SYN-C-00342,Bengaluru Urban,2023,THEFT
SYN-C-00343,Bengaluru Urban,2022,BURGLARY - NIGHT
SYN-C-00344,Belagavi,2023,BURGLARY - NIGHT
SYN-C-00345,Tumakuru,2023,THEFT
SYN-C-00346,Mysuru,2021,THEFT
SYN-C-00347,Mysuru,2022,THEFT
SYN-C-00348,Bengaluru Urban,2020,CHEATING
SYN-C-00349,Bengaluru Urban,2021,THEFT
SYN-C-00350,Bengaluru Urban,2020,BURGLARY - NIGHT
SYN-C-00351,Bengaluru Urban,2019,ROBBERY
SYN-C-00352,Belagavi,2021,THEFT
SYN-C-00353,Bengaluru Urban,2022,ROBBERY
SYN-C-00354,Bengaluru Urban,2019,ROBBERY
SYN-C-00355,Bengaluru Urban,2019,THEFT
SYN-C-00356,Mysuru,2019,THEFT
SYN-C-00357,Bengaluru Urban,2022,CHEATING
SYN-C-00358,Bengaluru Urban,2019,THEFT
SYN-C-00359,Bengaluru Urban,2023,THEFT
SYN-C-00360,Bengaluru Urban,2020,ROBBERY
SYN-C-00361,Bengaluru Urban,2022,THEFT
SYN-C-00362,Bengaluru Urban,2020,THEFT
SYN-C-00363,Bengaluru Urban,2022,THEFT
SYN-C-00364,Bengaluru Urban,2023,CHEATING
SYN-C-00365,Bengaluru Urban,2022,THEFT
SYN-C-00366,Bengaluru Urban,2021,THEFT
SYN-C-00367,Kalaburagi,2019,ROBBERY
SYN-C-00368,Mysuru,2020,THEFT
SYN-C-00369,Bengaluru Urban,2019,THEFT
SYN-C-00370,Bengaluru Urban,2019,THEFT
SYN-C-00371,Bengaluru Urban,2019,CHEATING
SYN-C-00372,Tumakuru,2022,THEFT
SYN-C-00373,Tumakuru,2019,THEFT
SYN-C-00374,Bengaluru Urban,2020,BURGLARY - NIGHT
SYN-C-00375,Tumakuru,2022,BURGLARY - NIGHT
SYN-C-00376,Bengaluru Urban,2019,THEFT
SYN-C-00377,Bengaluru Urban,2022,THEFT
SYN-C-00378,Bengaluru Urban,2022,ROBBERY
SYN-C-00379,Mysuru,2022,THEFT
SYN-C-00380,Belagavi,2022,BURGLARY - NIGHT
SYN-C-00381,Bengaluru Urban,2020,THEFT
SYN-C-00382,Bengaluru Urban,2023,BURGLARY - NIGHT
SYN-C-00383,Belagavi,2023,THEFT
SYN-C-00384,Bengaluru Urban,2020,CHEATING
SYN-C-00385,Bengaluru Urban,2022,CHEATING
SYN-C-00386,Mysuru,2021,BURGLARY - NIGHT
SYN-C-00387,Bengaluru Urban,2023,THEFT
SYN-C-00388,Kalaburagi,2022,THEFT
SYN-C-00389,Bengaluru Urban,2023,THEFT
SYN-C-00390,Bengaluru Urban,2023,THEFT
SYN-C-00391,Mysuru,2019,CHEATING
SYN-C-00392,Bengaluru Urban,2023,THEFT
SYN-C-00393,Bengaluru Urban,2023,THEFT
SYN-C-00394,Bengaluru Urban,2020,THEFT
SYN-C-00395,Bengaluru Urban,2019,THEFT
SYN-C-00396,Bengaluru Urban,2023,THEFT
SYN-C-00397,Bengaluru Urban,2019,THEFT
SYN-C-00398,Mysuru,2023,BURGLARY - NIGHT
SYN-C-00399,Bengaluru Urban,2023,BURGLARY - NIGHT
SYN-C-00400,Bengaluru Urban,2020,THEFT
SYN-C-00401,Tumakuru,2019,BURGLARY - NIGHT
SYN-C-00402,Bengaluru Urban,2019,THEFT
SYN-C-00403,Bengaluru Urban,2022,THEFT
SYN-C-00404,Bengaluru Urban,2019,CHEATING
SYN-C-00405,Tumakuru,2021,THEFT
SYN-C-00406,Bengaluru Urban,2022,THEFT
SYN-C-00407,Kalaburagi,2020,THEFT
SYN-C-00408,Bengaluru Urban,2020,THEFT
SYN-C-00409,Kalaburagi,2020,THEFT
SYN-C-00410,Bengaluru Urban,2023,THEFT
SYN-C-00411,Bengaluru Urban,2023,CHEATING
SYN-C-00412,Tumakuru,2020,DACOITY
SYN-C-00413,Bengaluru Urban,2021,THEFT
SYN-C-00414,Bengaluru Urban,2021,THEFT
SYN-C-00415,Bengaluru Urban,2023,THEFT
SYN-C-00416,Kalaburagi,2023,THEFT
SYN-C-00417,Bengaluru Urban,2021,BURGLARY - NIGHT
SYN-C-00418,Bengaluru Urban,2023,THEFT
SYN-C-00419,Bengaluru Urban,2019,THEFT
SYN-C-00420,Bengaluru Urban,2022,THEFT
SYN-C-00421,Bengaluru Urban,2023,THEFT
SYN-C-00422,Belagavi,2023,THEFT
SYN-C-00423,Bengaluru Urban,2023,THEFT
SYN-C-00424,Belagavi,2020,CHEATING
SYN-C-00425,Tumakuru,2021,BURGLARY - NIGHT
SYN-C-00426,Bengaluru Urban,2022,CHEATING
SYN-C-00427,Bengaluru Urban,2021,THEFT
SYN-C-00428,Bengaluru Urban,2023,THEFT
SYN-C-00429,Bengaluru Urban,2022,THEFT
SYN-C-00430,Bengaluru Urban,2023,THEFT
SYN-C-00431,Bengaluru Urban,2019,BURGLARY - NIGHT
SYN-C-00432,Bengaluru Urban,2022,THEFT
SYN-C-00433,Bengaluru Urban,2022,THEFT
SYN-C-00434,Mysuru,2023,THEFT
SYN-C-00435,Belagavi,2022,BURGLARY - NIGHT
SYN-C-00436,Bengaluru Urban,2022,BURGLARY - NIGHT
SYN-C-00437,Bengaluru Urban,2023,CHEATING
SYN-C-00438,Bengaluru Urban,2022,THEFT
SYN-C-00439,Bengaluru Urban,2019,BURGLARY - NIGHT
SYN-C-00440,Bengaluru Urban,2022,THEFT
SYN-C-00441,Bengaluru Urban,2019,THEFT
SYN-C-00442,Bengaluru Urban,2019,THEFT
SYN-C-00443,Mysuru,2021,BURGLARY - NIGHT
SYN-C-00444,Bengaluru Urban,2019,THEFT
SYN-C-00445,Bengaluru Urban,2022,BURGLARY - NIGHT
SYN-C-00446,Bengaluru Urban,2023,THEFT
SYN-C-00447,Bengaluru Urban,2023,THEFT
SYN-C-00448,Bengaluru Urban,2022,THEFT
SYN-C-00449,Kalaburagi,2021,CHEATING
SYN-C-00450,Bengaluru Urban,2022,CHEATING
SYN-C-00451,Bengaluru Urban,2023,CHEATING
SYN-C-00452,Kalaburagi,2022,CHEATING
SYN-C-00453,Bengaluru Urban,2023,THEFT
SYN-C-00454,Bengaluru Urban,2023,CHEATING
SYN-C-00455,Bengaluru Urban,2021,THEFT
SYN-C-00456,Bengaluru Urban,2022,THEFT
SYN-C-00457,Bengaluru Urban,2021,THEFT
SYN-C-00458,Bengaluru Urban,2023,THEFT
SYN-C-00459,Bengaluru Urban,2021,THEFT
SYN-C-00460,Bengaluru Urban,2022,CHEATING
SYN-C-00461,Bengaluru Urban,2023,THEFT
SYN-C-00462,Bengaluru Urban,2022,ROBBERY
SYN-C-00463,Bengaluru Urban,2021,CHEATING
SYN-C-00464,Kalaburagi,2022,THEFT
SYN-C-00465,Bengaluru Urban,2021,THEFT
SYN-C-00466,Kalaburagi,2023,THEFT
SYN-C-00467,Bengaluru Urban,2023,THEFT
SYN-C-00468,Bengaluru Urban,2021,THEFT
SYN-C-00469,Bengaluru Urban,2023,THEFT
SYN-C-00470,Belagavi,2021,THEFT
SYN-C-00471,Bengaluru Urban,2021,THEFT
SYN-C-00472,Mysuru,2019,THEFT
SYN-C-00473,Bengaluru Urban,2022,THEFT
SYN-C-00474,Bengaluru Urban,2022,THEFT
SYN-C-00475,Bengaluru Urban,2023,THEFT
SYN-C-00476,Bengaluru Urban,2023,THEFT
SYN-C-00477,Bengaluru Urban,2022,THEFT
SYN-C-00478,Bengaluru Urban,2021,THEFT
SYN-C-00479,Bengaluru Urban,2019,THEFT
SYN-C-00480,Bengaluru Urban,2020,THEFT
SYN-C-00481,Bengaluru Urban,2020,THEFT
SYN-C-00482,Bengaluru Urban,2021,THEFT
SYN-C-00483,Tumakuru,2023,THEFT
SYN-C-00484,Bengaluru Urban,2021,CHEATING
SYN-C-00485,Bengaluru Urban,2021,THEFT
SYN-C-00486,Bengaluru Urban,2021,ROBBERY
SYN-C-00487,Bengaluru Urban,2022,THEFT
SYN-C-00488,Tumakuru,2020,BURGLARY - NIGHT
SYN-C-00489,Mysuru,2021,THEFT
SYN-C-00490,Bengaluru Urban,2021,ROBBERY
SYN-C-00491,Bengaluru Urban,2020,THEFT
SYN-C-00492,Mysuru,2021,CHEATING
SYN-C-00493,Bengaluru Urban,2022,DACOITY
SYN-C-00494,Bengaluru Urban,2023,THEFT
SYN-C-00495,Belagavi,2023,THEFT
SYN-C-00496,Mysuru,2020,CHEATING
SYN-C-00497,Bengaluru Urban,2020,THEFT
SYN-C-00498,Bengaluru Urban,2022,DACOITY
SYN-C-00499,Bengaluru Urban,2019,THEFT
SYN-C-00500,Bengaluru Urban,2021,THEFT
SYN-C-00501,Kalaburagi,2022,THEFT
SYN-C-00502,Kalaburagi,2022,THEFT
SYN-C-00503,Bengaluru Urban,2022,CHEATING
SYN-C-00504,Bengaluru Urban,2023,THEFT
SYN-C-00505,Bengaluru Urban,2022,BURGLARY - NIGHT
SYN-C-00506,Bengaluru Urban,2021,ROBBERY
SYN-C-00507,Bengaluru Urban,2022,THEFT
SYN-C-00508,Bengaluru Urban,2019,THEFT
SYN-C-00509,Bengaluru Urban,2020,THEFT
SYN-C-00510,Bengaluru Urban,2023,THEFT
SYN-C-00511,Bengaluru Urban,2023,THEFT
SYN-C-00512,Belagavi,2023,BURGLARY - NIGHT
SYN-C-00513,Bengaluru Urban,2023,THEFT
