lat,lng,geo_precision,year,count
11.72,76.79,point,2019,9
11.72,76.79,point,2020,1
11.72,76.79,point,2021,2
11.72,76.8,point,2020,1
11.72,76.8,point,2021,2
11.72,76.81,point,2023,1
11.72,76.85,point,2024,1
11.73,76.7,point,2020,1
11.73,76.72,point,2024,1
11.73,76.78,point,2023,1
11.73,76.79,point,2023,1
11.73,76.8,point,2022,2
11.73,76.81,point,2019,3
11.73,76.81,point,2022,1
11.73,76.82,point,2024,1
11.73,76.83,point,2020,1
11.74,76.61,point,2023,1
11.74,76.73,point,2022,1
11.74,76.75,point,2019,1
11.74,76.75,point,2020,3
11.74,76.75,point,2021,2
11.74,76.75,point,2022,2
11.74,76.75,point,2023,1
11.74,76.75,point,2024,1
11.74,76.77,point,2019,2
11.74,76.84,point,2022,1
11.74,76.85,point,2022,1
11.74,76.85,point,2024,1
11.75,76.65,point,2024,1
11.75,76.68,point,2023,1
11.75,76.77,point,2021,1
11.75,76.77,point,2022,1
11.75,76.77,point,2024,2
11.75,76.8,point,2022,1
11.75,76.81,point,2019,2
11.75,76.82,point,2024,1
11.75,76.85,point,2020,1
11.75,76.86,point,2023,1
11.76,76.57,point,2019,1
11.76,76.58,point,2020,1
11.76,76.64,point,2024,3
11.76,76.77,point,2019,2
11.76,77.08,point,2019,2
11.76,77.08,point,2020,1
11.77,76.77,point,2024,1
11.77,76.79,point,2020,2
11.77,76.79,point,2021,1
11.77,76.81,point,2019,2
11.77,76.81,point,2023,1
11.77,76.82,point,2019,1
11.77,76.86,point,2019,2
11.77,76.86,point,2024,1
11.77,76.87,point,2019,1
11.77,76.88,point,2019,1
11.77,76.89,point,2019,2
11.77,77.07,point,2019,1
11.77,77.08,point,2019,4
11.77,77.09,point,2019,1
11.77,77.1,point,2019,3
11.77,77.11,point,2019,4
11.77,77.11,point,2020,1
11.78,76.57,point,2024,1
11.78,76.79,point,2021,1
11.78,76.79,point,2024,1
11.78,76.87,point,2019,5
11.78,77.07,point,2019,4
11.78,77.07,point,2020,1
11.78,77.08,point,2019,12
11.78,77.08,point,2020,1
11.78,77.09,point,2019,2
11.78,77.12,point,2024,1
11.78,77.44,point,2021,1
11.79,76.8,point,2019,1
11.79,76.8,point,2023,2
11.79,77.06,point,2019,2
11.79,77.44,point,2020,1
11.8,76.66,point,2024,1
11.8,76.67,point,2019,4
11.8,76.67,point,2020,1
11.8,76.67,point,2022,1
11.8,76.68,point,2019,3
11.8,76.68,point,2024,1
11.8,76.69,point,2019,14
11.8,76.69,point,2020,2
11.8,76.69,point,2023,4
11.8,76.7,point,2023,1
11.8,76.77,point,2019,1
11.8,76.8,point,2019,1
11.8,76.8,point,2020,2
11.8,76.88,point,2024,1
11.8,76.94,point,2019,6
11.8,76.94,point,2023,1
11.8,77.06,point,2019,3
11.8,77.17,point,2024,1
11.8,77.45,point,2019,1
11.8,77.45,point,2020,1
11.8,77.45,point,2021,1
11.81,76.41,point,2023,1
11.81,76.56,point,2023,1
11.81,76.58,point,2019,3
11.81,76.58,point,2020,1
11.81,76.58,point,2023,2
11.81,76.6,point,2019,1
11.81,76.6,point,2020,3
11.81,76.61,point,2019,1
11.81,76.66,point,2019,2
11.81,76.66,point,2020,1
11.81,76.68,point,2019,12
11.81,76.68,point,2020,2
11.81,76.68,point,2022,1
11.81,76.68,point,2023,16
11.81,76.68,point,2024,15
11.81,76.68,station,2016,160
11.81,76.68,station,2017,354
11.81,76.68,station,2018,271
11.81,76.68,station,2019,30
11.81,76.68,station,2020,124
11.81,76.68,station,2021,190
11.81,76.68,station,2022,172
11.81,76.68,station,2023,107
11.81,76.69,point,2019,75
11.81,76.69,point,2020,24
11.81,76.69,point,2023,13
11.81,76.69,point,2024,1
11.81,76.7,point,2019,5
11.81,76.7,point,2021,1
11.81,76.7,point,2024,1
11.81,76.71,point,2024,1
11.81,76.73,point,2022,1
11.81,76.75,point,2024,2
11.81,76.76,point,2020,1
11.81,76.76,point,2022,1
11.81,76.76,point,2023,1
11.81,76.77,point,2019,1
11.81,76.77,point,2021,1
11.81,76.77,point,2024,1
11.81,76.78,point,2019,3
11.81,76.78,point,2020,1
11.81,76.79,point,2019,20
11.81,76.79,point,2020,2
11.81,76.79,point,2021,2
11.81,76.79,point,2023,2
11.81,76.79,point,2024,2
11.81,76.8,point,2019,2
11.81,76.82,point,2020,1
11.81,76.85,point,2024,1
11.81,76.89,point,2019,1
11.81,76.94,point,2019,2
11.81,76.98,point,2023,1
11.81,77.01,point,2019,2
11.81,77.05,point,2019,3
11.81,77.06,point,2024,1
11.81,77.33,point,2019,1
11.81,77.34,point,2019,1
11.81,77.35,point,2020,1
11.81,77.45,point,2019,1
11.82,76.57,point,2019,1
11.82,76.6,point,2019,2
11.82,76.61,point,2019,3
11.82,76.61,point,2020,2
11.82,76.62,point,2019,1
11.82,76.62,point,2020,2
11.82,76.63,point,2019,6
11.82,76.63,point,2020,2
11.82,76.63,point,2023,1
11.82,76.66,point,2019,1
11.82,76.66,point,2024,1
11.82,76.68,point,2019,13
11.82,76.68,point,2020,3
11.82,76.68,point,2023,1
11.82,76.68,point,2024,1
11.82,76.69,point,2019,16
11.82,76.69,point,2020,3
11.82,76.69,point,2023,1
11.82,76.69,point,2024,1
11.82,76.7,point,2020,1
11.82,76.7,point,2023,1
11.82,76.74,point,2024,1
11.82,76.75,point,2021,1
11.82,76.76,point,2019,2
11.82,76.76,point,2020,1
11.82,76.78,point,2020,1
11.82,76.79,point,2019,9
11.82,76.79,point,2020,4
11.82,76.79,point,2021,2
11.82,76.79,point,2022,2
11.82,76.79,point,2023,2
11.82,76.79,point,2024,1
11.82,76.79,station,2016,154
11.82,76.79,station,2017,283
11.82,76.79,station,2018,280
11.82,76.79,station,2019,26
11.82,76.79,station,2020,56
11.82,76.79,station,2021,83
11.82,76.79,station,2022,98
11.82,76.79,station,2023,78
11.82,76.8,point,2019,4
11.82,76.8,point,2020,1
11.82,76.8,point,2023,1
11.82,76.82,point,2019,1
11.82,76.83,point,2023,1
11.82,76.83,point,2024,1
11.82,76.89,point,2019,1
11.82,76.9,point,2019,1
11.82,76.91,point,2023,1
11.82,77.0,point,2024,2
11.82,77.24,point,2019,2
11.82,77.25,point,2023,3
11.82,77.28,point,2023,1
11.82,77.3,point,2023,1
11.82,77.34,point,2020,1
11.82,77.35,point,2020,1
11.82,77.36,point,2021,1
11.82,77.37,point,2024,1
11.82,77.4,point,2019,1
11.82,77.45,point,2019,1
11.83,76.6,point,2019,4
11.83,76.6,point,2020,2
11.83,76.6,point,2021,1
11.83,76.62,point,2024,1
11.83,76.68,point,2019,7
11.83,76.68,point,2020,2
11.83,76.68,point,2023,3
11.83,76.68,point,2024,1
11.83,76.74,point,2019,1
11.83,76.74,point,2020,1
11.83,76.74,point,2022,1
11.83,76.74,point,2024,1
11.83,76.75,point,2019,1
11.83,76.76,point,2019,1
11.83,76.76,point,2022,2
11.83,76.8,point,2019,1
11.83,76.8,point,2020,1
11.83,76.8,point,2021,1
11.83,76.8,point,2022,1
11.83,76.8,point,2023,1
11.83,76.84,point,2019,1
11.83,76.89,point,2023,1
11.83,76.91,point,2019,2
11.83,76.96,point,2019,1
11.83,77.0,point,2019,1
11.83,77.01,point,2019,1
11.83,77.01,point,2020,1
11.83,77.01,point,2024,1
11.83,77.06,point,2019,2
11.83,77.25,point,2019,1
11.83,77.35,point,2023,1
11.83,77.37,point,2022,1
11.83,77.39,point,2020,1
11.83,77.44,point,2022,4
11.83,77.45,point,2019,1
11.83,77.45,point,2020,4
11.83,77.45,point,2021,3
11.83,77.45,point,2022,2
11.84,76.22,point,2023,1
11.84,76.37,point,2024,1
11.84,76.38,point,2024,1
11.84,76.62,point,2020,2
11.84,76.67,point,2020,3
11.84,76.67,point,2023,2
11.84,76.68,point,2019,3
11.84,76.69,point,2019,1
11.84,76.69,point,2020,1
11.84,76.71,point,2019,2
11.84,76.71,point,2020,2
11.84,76.75,point,2019,2
11.84,76.75,point,2023,2
11.84,76.76,point,2020,1
11.84,76.76,point,2024,1
11.84,76.8,point,2022,2
11.84,76.82,point,2019,3
11.84,76.83,point,2019,4
11.84,76.83,point,2021,1
11.84,76.84,point,2023,1
11.84,76.84,point,2024,1
11.84,76.94,point,2019,1
11.84,76.98,point,2019,1
11.84,76.98,point,2020,1
11.84,76.99,point,2019,3
11.84,76.99,point,2020,2
11.84,77.22,point,2020,1
11.84,77.25,point,2020,1
11.84,77.45,point,2023,2
11.85,76.25,point,2024,1
11.85,76.37,point,2024,1
11.85,76.59,point,2019,2
11.85,76.65,point,2022,1
11.85,76.67,point,2019,3
11.85,76.67,point,2020,4
11.85,76.69,point,2023,1
11.85,76.69,point,2024,1
11.85,76.74,point,2019,1
11.85,76.74,point,2020,1
11.85,76.74,point,2022,2
11.85,76.78,point,2019,1
11.85,76.78,point,2023,1
11.85,76.79,point,2019,2
11.85,76.8,point,2021,1
11.85,76.81,point,2019,3
11.85,76.81,point,2020,1
11.85,76.81,point,2021,2
11.85,76.81,point,2023,1
11.85,76.81,point,2024,4
11.85,76.82,point,2019,1
11.85,76.82,point,2021,1
11.85,76.91,point,2024,1
11.85,76.93,point,2019,3
11.85,76.94,point,2019,3
11.85,76.96,point,2020,1
11.85,76.97,point,2019,3
11.85,76.97,point,2020,1
11.85,76.97,point,2024,1
11.85,76.98,point,2020,1
11.85,77.0,point,2019,8
11.85,77.03,point,2019,1
11.85,77.3,point,2022,1
11.85,77.46,point,2019,2
11.85,77.46,point,2021,5
11.85,77.46,point,2023,2
11.86,76.13,place,2016,6
11.86,76.13,place,2017,6
11.86,76.13,place,2018,8
11.86,76.13,place,2019,2
11.86,76.13,place,2020,1
11.86,76.13,place,2021,5
11.86,76.13,place,2022,6
11.86,76.13,place,2023,1
11.86,76.41,point,2019,1
11.86,76.67,point,2019,2
11.86,76.67,point,2023,1
11.86,76.74,point,2022,1
11.86,76.74,point,2023,2
11.86,76.75,point,2024,1
11.86,76.76,point,2019,1
11.86,76.78,point,2021,1
11.86,76.78,point,2023,2
11.86,76.82,point,2020,1
11.86,76.85,point,2019,1
11.86,76.85,point,2024,1
11.86,76.93,point,2020,1
11.86,76.94,point,2020,1
11.86,76.96,point,2019,4
11.86,76.96,point,2020,1
11.86,76.96,point,2023,3
11.86,76.96,point,2024,2
11.86,76.97,point,2019,1
11.86,76.97,point,2020,1
11.86,76.97,point,2024,1
11.86,77.0,point,2019,1
11.86,77.01,point,2023,3
11.86,77.26,point,2019,4
11.86,77.26,point,2020,5
11.86,77.27,point,2019,3
11.86,77.33,point,2023,1
11.86,77.34,point,2022,1
11.86,77.46,point,2021,1
11.86,77.46,point,2022,1
11.86,77.46,point,2024,1
11.87,76.14,point,2023,1
11.87,76.59,point,2019,1
11.87,76.6,point,2019,4
11.87,76.6,point,2020,2
11.87,76.67,point,2019,1
11.87,76.72,point,2019,2
11.87,76.74,point,2019,1
11.87,76.76,point,2019,1
11.87,76.76,point,2020,1
11.87,76.77,point,2019,1
11.87,76.77,point,2020,1
11.87,76.77,point,2023,2
11.87,76.77,point,2024,1
11.87,76.83,point,2019,2
11.87,76.83,point,2023,2
11.87,76.83,point,2024,2
11.87,76.84,point,2023,1
11.87,76.95,point,2023,1
11.87,76.97,point,2020,1
11.87,77.02,point,2019,1
11.87,77.03,point,2019,1
11.87,77.04,point,2019,1
11.87,77.24,point,2019,1
11.87,77.25,point,2020,1
11.87,77.27,point,2019,4
11.87,77.27,point,2020,1
11.87,77.46,point,2020,1
11.87,77.46,point,2021,1
11.87,77.46,point,2022,2
11.88,75.37,point,2024,1
11.88,76.36,point,2023,1
11.88,76.38,point,2023,1
11.88,76.6,point,2019,2
11.88,76.66,point,2019,5
11.88,76.66,point,2023,1
11.88,76.67,point,2019,3
11.88,76.67,point,2020,2
11.88,76.68,point,2019,5
11.88,76.69,point,2020,1
11.88,76.73,point,2019,1
11.88,76.75,point,2019,1
11.88,76.79,point,2023,2
11.88,76.81,point,2023,1
11.88,76.83,point,2019,1
11.88,76.84,point,2023,1
11.88,76.84,point,2024,1
11.88,76.85,point,2021,1
11.88,76.85,point,2024,1
11.88,76.94,point,2020,1
11.88,76.95,point,2019,8
11.88,76.96,point,2019,2
11.88,76.96,point,2020,1
11.88,76.96,point,2024,1
11.88,76.98,point,2019,5
11.88,76.98,point,2020,1
11.88,77.0,point,2019,1
11.88,77.01,point,2019,1
11.88,77.03,point,2024,1
11.88,77.26,point,2020,2
11.88,77.45,point,2021,1
11.88,77.46,point,2021,1
11.89,76.42,point,2023,1
11.89,76.61,point,2019,1
11.89,76.63,point,2019,1
11.89,76.64,point,2019,5
11.89,76.65,point,2019,1
11.89,76.66,point,2019,2
11.89,76.66,point,2020,2
11.89,76.67,point,2019,2
11.89,76.67,point,2020,2
11.89,76.7,point,2019,2
11.89,76.72,point,2019,1
11.89,76.74,point,2019,1
11.89,76.75,point,2019,14
11.89,76.75,point,2020,4
11.89,76.76,point,2024,1
11.89,76.78,point,2019,2
11.89,76.85,point,2020,1
11.89,76.86,point,2024,1
11.89,76.95,point,2019,2
11.89,76.95,point,2020,1
11.89,76.95,point,2022,1
11.89,76.95,point,2023,1
11.89,76.97,point,2020,2
11.89,76.98,point,2019,10
11.89,76.98,point,2024,1
11.89,76.99,point,2019,1
11.89,77.0,point,2019,1
11.89,77.01,point,2023,2
11.89,77.05,point,2019,2
11.89,77.28,point,2020,1
11.89,77.29,point,2019,2
11.89,77.3,point,2023,1
11.89,77.46,point,2019,1
11.89,77.46,point,2021,1
11.9,76.61,point,2019,2
11.9,76.67,point,2019,4
11.9,76.67,point,2020,1
11.9,76.78,point,2023,1
11.9,76.81,point,2019,1
11.9,76.82,point,2019,1
11.9,76.86,point,2019,1
11.9,76.86,point,2021,1
11.9,76.87,point,2019,1
11.9,76.87,point,2023,1
11.9,76.87,point,2024,1
11.9,76.88,point,2019,3
11.9,76.88,point,2024,1
11.9,76.89,point,2019,1
11.9,76.89,point,2020,1
11.9,76.89,point,2021,1
11.9,76.9,point,2023,1
11.9,76.9,point,2024,2
11.9,76.91,point,2024,1
11.9,76.93,point,2019,1
11.9,76.94,point,2019,3
11.9,76.95,point,2019,2
11.9,76.95,point,2020,1
11.9,76.95,point,2023,1
11.9,76.95,point,2024,3
11.9,77.03,point,2019,1
11.9,77.05,point,2020,1
11.9,77.12,point,2019,2
11.9,77.28,point,2020,1
11.9,77.29,point,2020,2
11.91,76.28,point,2019,1
11.91,76.3,point,2019,2
11.91,76.32,point,2019,2
11.91,76.53,point,2021,3
11.91,76.54,point,2020,1
11.91,76.65,point,2020,1
11.91,76.67,point,2019,1
11.91,76.7,point,2019,1
11.91,76.72,point,2019,1
11.91,76.75,point,2019,1
11.91,76.78,point,2021,1
11.91,76.78,point,2024,1
11.91,76.86,point,2019,1
11.91,76.86,point,2023,1
11.91,76.88,point,2023,1
11.91,76.89,point,2019,4
11.91,76.89,point,2020,1
11.91,76.9,point,2020,1
11.91,76.9,point,2021,1
11.91,76.91,point,2019,4
11.91,76.91,point,2021,2
11.91,76.91,point,2023,4
11.91,76.92,point,2019,2
11.91,76.92,point,2020,1
11.91,76.93,point,2019,5
11.91,76.93,point,2021,1
11.91,76.94,point,2019,14
11.91,76.94,point,2020,2
11.91,76.94,point,2021,2
11.91,76.94,point,2023,5
11.91,76.94,point,2024,3
11.91,76.95,point,2019,8
11.91,76.95,point,2020,2
11.91,76.95,point,2023,1
11.91,76.95,point,2024,2
11.91,77.0,point,2019,2
11.91,77.0,point,2020,2
11.91,77.0,point,2024,2
11.91,77.01,point,2019,3
11.91,77.29,point,2019,1
11.91,77.34,point,2019,1
11.92,76.25,point,2019,1
11.92,76.32,point,2019,1
11.92,76.49,point,2019,1
11.92,76.5,point,2020,1
11.92,76.53,point,2019,2
11.92,76.54,point,2019,1
11.92,76.54,point,2020,1
11.92,76.54,point,2021,1
11.92,76.62,point,2020,1
11.92,76.64,point,2019,1
11.92,76.67,point,2019,4
11.92,76.67,point,2020,2
11.92,76.7,place,2017,1
11.92,76.7,place,2018,1
11.92,76.7,point,2020,1
11.92,76.7,point,2023,1
11.92,76.71,point,2019,1
11.92,76.73,point,2020,1
11.92,76.92,point,2019,4
11.92,76.93,point,2019,20
11.92,76.93,point,2020,4
11.92,76.93,point,2021,10
11.92,76.93,point,2023,4
11.92,76.93,point,2024,2
11.92,76.94,point,2019,58
11.92,76.94,point,2020,13
11.92,76.94,point,2021,16
11.92,76.94,point,2022,1
11.92,76.94,point,2023,14
11.92,76.94,point,2024,17
11.92,76.95,point,2019,5
11.92,76.95,point,2021,4
11.92,76.95,point,2023,1
11.92,76.95,point,2024,2
11.92,76.96,point,2019,2
11.92,76.96,point,2020,1
11.92,76.96,point,2022,1
11.92,76.96,point,2023,8
11.92,76.96,point,2024,1
11.92,76.99,point,2019,1
11.92,76.99,point,2023,1
11.92,77.01,point,2020,1
11.92,77.01,point,2024,1
11.92,77.08,point,2019,1
11.92,77.28,point,2023,1
11.92,77.34,point,2020,1
11.93,76.24,point,2024,1
11.93,76.3,point,2019,3
11.93,76.5,point,2023,2
11.93,76.51,point,2023,1
11.93,76.52,point,2020,1
11.93,76.52,point,2023,1
11.93,76.54,point,2019,1
11.93,76.55,point,2020,3
11.93,76.55,point,2021,1
11.93,76.56,point,2021,1
11.93,76.57,point,2020,1
11.93,76.58,point,2019,1
11.93,76.61,point,2019,3
11.93,76.62,point,2019,1
11.93,76.64,point,2019,1
11.93,76.64,point,2020,2
11.93,76.65,point,2019,3
11.93,76.65,point,2020,1
11.93,76.67,point,2019,9
11.93,76.67,point,2020,5
11.93,76.67,point,2023,1
11.93,76.67,station,2016,182
11.93,76.67,station,2017,308
11.93,76.67,station,2018,265
11.93,76.67,station,2019,22
11.93,76.67,station,2020,115
11.93,76.67,station,2021,174
11.93,76.67,station,2022,230
11.93,76.67,station,2023,160
11.93,76.7,point,2020,1
11.93,76.71,point,2019,4
11.93,76.83,point,2019,1
11.93,76.84,point,2019,1
11.93,76.91,point,2019,1
11.93,76.92,point,2019,1
11.93,76.93,point,2019,4
11.93,76.93,point,2023,17
11.93,76.93,point,2024,9
11.93,76.93,station,2016,317
11.93,76.93,station,2017,369
11.93,76.93,station,2018,417
11.93,76.93,station,2019,135
11.93,76.93,station,2020,136
11.93,76.93,station,2021,202
11.93,76.93,station,2022,181
11.93,76.93,station,2023,122
11.93,76.94,point,2019,35
11.93,76.94,point,2020,9
11.93,76.94,point,2021,21
11.93,76.94,point,2023,20
11.93,76.94,point,2024,14
11.93,76.94,station,2016,257
11.93,76.94,station,2017,294
11.93,76.94,station,2018,392
11.93,76.94,station,2019,7
11.93,76.94,station,2020,95
11.93,76.94,station,2021,62
11.93,76.94,station,2022,105
11.93,76.94,station,2023,105
11.93,76.95,point,2019,24
11.93,76.95,point,2020,6
11.93,76.95,point,2021,2
11.93,76.95,point,2023,8
11.93,76.95,point,2024,5
11.93,76.96,point,2019,15
11.93,76.96,point,2020,1
11.93,76.96,point,2021,1
11.93,76.96,point,2023,5
11.93,76.96,point,2024,1
11.93,76.97,point,2023,2
11.93,76.98,point,2019,1
11.93,76.99,point,2019,7
11.93,76.99,point,2020,1
11.93,76.99,point,2023,1
11.93,77.0,point,2020,1
11.93,77.01,point,2019,17
11.93,77.01,point,2020,1
11.93,77.01,point,2024,2
11.93,77.03,point,2019,6
11.93,77.28,point,2020,1
11.93,77.34,point,2019,2
11.93,77.57,point,2024,1
11.94,76.35,point,2023,1
11.94,76.37,point,2023,1
11.94,76.49,point,2019,6
11.94,76.49,point,2020,1
11.94,76.49,point,2021,2
11.94,76.5,point,2020,1
11.94,76.5,point,2021,1
11.94,76.51,point,2019,1
11.94,76.51,point,2020,2
11.94,76.51,point,2021,2
11.94,76.54,point,2019,1
11.94,76.54,point,2020,1
11.94,76.55,point,2019,2
11.94,76.56,point,2020,1
11.94,76.64,point,2019,3
11.94,76.64,point,2020,1
11.94,76.65,point,2019,1
11.94,76.66,point,2020,2
11.94,76.67,point,2019,17
11.94,76.67,point,2020,1
11.94,76.67,point,2023,75
11.94,76.67,point,2024,8
11.94,76.68,point,2020,2
11.94,76.69,point,2019,1
11.94,76.71,point,2020,1
11.94,76.8,point,2019,3
11.94,76.81,point,2019,1
11.94,76.85,point,2023,3
11.94,76.92,point,2020,1
11.94,76.93,point,2019,1
11.94,76.93,point,2024,1
11.94,76.94,point,2019,4
11.94,76.94,point,2020,1
11.94,76.94,point,2023,1
11.94,76.95,point,2019,1
11.94,76.96,point,2019,3
11.94,76.96,point,2020,2
11.94,76.96,point,2021,2
11.94,76.96,point,2023,23
11.94,76.96,point,2024,16
11.94,76.96,station,2016,375
11.94,76.96,station,2017,431
11.94,76.96,station,2018,496
11.94,76.96,station,2019,41
11.94,76.96,station,2020,165
11.94,76.96,station,2021,268
11.94,76.96,station,2022,270
11.94,76.96,station,2023,262
11.94,76.96,station,2024,31
11.94,76.97,point,2019,1
11.94,76.97,point,2024,2
11.94,76.99,point,2023,1
11.94,77.0,point,2020,1
11.94,77.01,point,2019,7
11.94,77.01,point,2024,1
11.94,77.03,place,2016,25
11.94,77.03,place,2017,43
11.94,77.03,place,2018,2
11.94,77.03,place,2020,1
11.94,77.03,place,2021,1
11.94,77.03,place,2022,8
11.94,77.03,place,2023,13
11.94,77.03,point,2019,3
11.94,77.03,point,2020,1
11.94,77.03,point,2023,1
11.94,77.04,point,2020,1
11.94,77.04,point,2023,1
11.94,77.05,point,2019,1
11.94,77.05,point,2020,3
11.94,77.05,point,2024,1
11.94,77.26,point,2019,1
11.94,77.35,point,2020,1
11.94,77.39,point,2023,1
11.95,76.01,point,2019,1
11.95,76.04,point,2020,1
11.95,76.5,point,2020,1
11.95,76.52,point,2020,2
11.95,76.53,point,2021,1
11.95,76.53,point,2023,1
11.95,76.55,point,2019,1
11.95,76.66,point,2019,1
11.95,76.66,point,2020,1
11.95,76.67,point,2019,8
11.95,76.67,point,2020,1
11.95,76.7,point,2019,3
11.95,76.71,point,2019,6
11.95,76.74,point,2019,1
11.95,76.78,point,2019,1
11.95,76.79,point,2019,1
11.95,76.84,point,2023,1
11.95,76.87,point,2019,1
11.95,76.87,point,2020,1
11.95,76.9,point,2023,2
11.95,76.91,point,2019,1
11.95,76.93,point,2019,1
11.95,76.94,point,2019,2
11.95,76.94,point,2023,3
11.95,76.96,point,2019,13
11.95,76.96,point,2020,2
11.95,77.0,point,2019,2
11.95,77.01,point,2019,1
11.95,77.04,point,2019,1
11.95,77.04,point,2024,1
11.95,77.05,point,2019,3
11.95,77.05,point,2020,2
11.95,77.11,district,2016,70
11.95,77.11,district,2017,119
11.95,77.11,district,2018,117
11.95,77.11,district,2019,17
11.95,77.11,district,2020,56
11.95,77.11,district,2021,78
11.95,77.11,district,2022,121
11.95,77.11,district,2023,79
11.95,77.25,point,2019,2
11.95,77.36,point,2019,3
11.95,77.36,point,2021,1
11.95,77.36,point,2023,1
11.96,76.03,point,2021,1
11.96,76.04,point,2021,2
11.96,76.05,point,2020,1
11.96,76.05,point,2023,1
11.96,76.06,point,2020,1
11.96,76.11,point,2021,1
11.96,76.51,point,2023,2
11.96,76.52,point,2023,1
11.96,76.63,point,2020,2
11.96,76.64,point,2019,1
11.96,76.65,point,2019,1
11.96,76.66,point,2019,1
11.96,76.67,point,2019,2
11.96,76.71,point,2019,1
11.96,76.74,point,2019,1
11.96,76.89,point,2019,1
11.96,76.9,point,2019,1
11.96,76.9,point,2020,3
11.96,76.9,point,2023,1
11.96,76.9,point,2024,1
11.96,76.91,point,2019,2
11.96,76.94,point,2023,3
11.96,76.98,point,2024,1
11.96,77.0,point,2019,1
11.96,77.02,point,2019,11
11.96,77.03,point,2019,1
11.96,77.06,point,2024,1
11.96,77.25,point,2020,1
11.96,77.47,point,2019,3
11.96,77.47,point,2020,2
11.96,77.47,point,2021,1
11.96,77.47,point,2022,2
11.96,77.47,point,2023,1
11.96,77.47,point,2024,1
11.97,75.99,point,2021,1
11.97,76.01,point,2020,2
11.97,76.01,point,2021,1
11.97,76.01,point,2022,1
11.97,76.02,point,2019,1
11.97,76.02,point,2020,2
11.97,76.02,point,2021,1
11.97,76.03,point,2019,1
11.97,76.03,point,2021,2
11.97,76.03,point,2022,1
11.97,76.04,point,2019,1
11.97,76.04,point,2020,1
11.97,76.04,point,2022,1
11.97,76.04,point,2023,1
11.97,76.05,point,2019,5
11.97,76.05,point,2020,4
11.97,76.05,point,2021,4
11.97,76.05,point,2022,8
11.97,76.05,point,2023,2
11.97,76.05,point,2024,1
11.97,76.05,station,2016,75
11.97,76.05,station,2017,77
11.97,76.05,station,2018,33
11.97,76.05,station,2019,19
11.97,76.05,station,2020,8
11.97,76.05,station,2021,11
11.97,76.05,station,2022,20
11.97,76.05,station,2023,18
11.97,76.06,point,2019,1
11.97,76.06,point,2021,1
11.97,76.06,point,2022,2
11.97,76.09,point,2022,1
11.97,76.37,point,2023,3
11.97,76.56,point,2019,1
11.97,76.6,point,2019,1
11.97,76.62,point,2019,2
11.97,76.63,point,2019,2
11.97,76.64,point,2019,2
11.97,76.66,point,2019,1
11.97,76.67,point,2019,4
11.97,76.69,point,2020,2
11.97,76.73,point,2019,2
11.97,76.8,point,2019,2
11.97,76.86,point,2019,4
11.97,76.88,point,2024,1
11.97,76.89,point,2019,4
11.97,76.89,point,2020,1
11.97,76.9,point,2019,4
11.97,76.91,point,2023,1
11.97,76.94,point,2019,8
11.97,76.94,point,2023,1
