canonical_name,status,count
Dakshina Kannada,Other Disposal,783
Dakshina Kannada,Pending Trial,5739
Dakshina Kannada,Traced,1067
Dakshina Kannada,Transferred,97
Dakshina Kannada,Un Traced,48
Dakshina Kannada,Under Investigation,1275
Dakshina Kannada,Undetected,991
Davanagere,Abated,483
Davanagere,BoundOver,3349
Davanagere,Compounded,1153
Davanagere,Convicted,9649
Davanagere,Dis/Acq,4378
Davanagere,False Case,2023
Davanagere,Other Disposal,341
Davanagere,Pending Trial,8391
Davanagere,Traced,3556
Davanagere,Transferred,135
Davanagere,Un Traced,260
Davanagere,Under Investigation,2108
Davanagere,Undetected,3215
Dharwad,Abated,210
Dharwad,BoundOver,1435
Dharwad,Compounded,105
Dharwad,Convicted,2137
Dharwad,Dis/Acq,858
Dharwad,False Case,694
Dharwad,Other Disposal,70
Dharwad,Pending Trial,6870
Dharwad,Traced,751
Dharwad,Transferred,31
Dharwad,Un Traced,125
Dharwad,Under Investigation,514
Dharwad,Undetected,1066
Gadag,Abated,386
Gadag,BoundOver,2382
Gadag,Compounded,298
Gadag,Convicted,6153
Gadag,Dis/Acq,2472
Gadag,False Case,844
Gadag,Other Disposal,133
Gadag,Pending Trial,3266
Gadag,Traced,922
Gadag,Transferred,47
Gadag,Un Traced,85
Gadag,Under Investigation,733
Gadag,Undetected,781
Hassan,Abated,630
Hassan,BoundOver,6812
Hassan,Compounded,953
Hassan,Convicted,13687
Hassan,Dis/Acq,6126
Hassan,False Case,2330
Hassan,Other Disposal,269
Hassan,Pending Trial,19062
Hassan,Traced,2803
Hassan,Transferred,232
Hassan,Un Traced,240
Hassan,Under Investigation,1962
Hassan,Undetected,3150
Haveri,Abated,514
Haveri,BoundOver,3309
Haveri,Compounded,391
Haveri,Convicted,6385
Haveri,Dis/Acq,3460
Haveri,False Case,1519
Haveri,Other Disposal,525
Haveri,Pending Trial,7497
Haveri,Traced,1793
Haveri,Transferred,222
Haveri,Un Traced,183
Haveri,Under Investigation,1971
Haveri,Undetected,2002
Hubballi-Dharwad City,Abated,192
Hubballi-Dharwad City,BoundOver,1640
Hubballi-Dharwad City,Compounded,703
Hubballi-Dharwad City,Convicted,5422
Hubballi-Dharwad City,Dis/Acq,2245
Hubballi-Dharwad City,False Case,1604
Hubballi-Dharwad City,Other Disposal,822
Hubballi-Dharwad City,Pending Trial,5259
Hubballi-Dharwad City,Traced,1590
Hubballi-Dharwad City,Transferred,28
Hubballi-Dharwad City,Un Traced,121
Hubballi-Dharwad City,Under Investigation,1590
Hubballi-Dharwad City,Undetected,2871
ISD Bengaluru,Compounded,1
ISD Bengaluru,Convicted,111
ISD Bengaluru,Dis/Acq,2
ISD Bengaluru,Other Disposal,2
ISD Bengaluru,Pending Trial,19
ISD Bengaluru,Transferred,3
ISD Bengaluru,Under Investigation,1
K.G.F,Abated,123
K.G.F,BoundOver,1611
K.G.F,Compounded,217
K.G.F,Convicted,2056
K.G.F,Dis/Acq,1751
K.G.F,False Case,412
K.G.F,Other Disposal,59
K.G.F,Pending Trial,1617
K.G.F,Traced,948
K.G.F,Transferred,110
K.G.F,Un Traced,39
K.G.F,Under Investigation,520
K.G.F,Undetected,793
Kalaburagi,Abated,402
Kalaburagi,BoundOver,3160
Kalaburagi,Compounded,408
Kalaburagi,Convicted,5802
Kalaburagi,Dis/Acq,4508
Kalaburagi,False Case,1393
Kalaburagi,Other Disposal,701
Kalaburagi,Pending Trial,11360
Kalaburagi,Traced,563
Kalaburagi,Transferred,271
Kalaburagi,Un Traced,36
Kalaburagi,Under Investigation,1453
Kalaburagi,Undetected,1294
Kalaburagi City,Abated,159
Kalaburagi City,BoundOver,2400
Kalaburagi City,Compounded,258
Kalaburagi City,Convicted,4147
Kalaburagi City,Dis/Acq,1380
Kalaburagi City,False Case,1170
Kalaburagi City,Other Disposal,125
Kalaburagi City,Pending Trial,6562
Kalaburagi City,Traced,293
Kalaburagi City,Transferred,26
Kalaburagi City,Un Traced,10
Kalaburagi City,Under Investigation,1427
Kalaburagi City,Undetected,2266
Karnataka Railways,Abated,40
Karnataka Railways,BoundOver,747
Karnataka Railways,Compounded,1285
Karnataka Railways,Convicted,404
Karnataka Railways,Dis/Acq,240
Karnataka Railways,False Case,168
Karnataka Railways,Other Disposal,32
Karnataka Railways,Pending Trial,1444
Karnataka Railways,Traced,144
Karnataka Railways,Transferred,68
Karnataka Railways,Un Traced,24
Karnataka Railways,Under Investigation,498
Karnataka Railways,Undetected,4794
Kodagu,Abated,228
Kodagu,BoundOver,2759
Kodagu,Compounded,464
Kodagu,Convicted,3828
Kodagu,Dis/Acq,2973
Kodagu,False Case,1030
Kodagu,Other Disposal,302
Kodagu,Pending Trial,4667
Kodagu,Traced,1143
Kodagu,Transferred,105
Kodagu,Un Traced,67
Kodagu,Under Investigation,668
Kodagu,Undetected,1013
Kolar,Abated,193
Kolar,BoundOver,1893
Kolar,Compounded,359
Kolar,Convicted,2947
Kolar,Dis/Acq,1813
Kolar,False Case,1344
Kolar,Other Disposal,78
Kolar,Pending Trial,8799
Kolar,Traced,2364
Kolar,Transferred,88
Kolar,Un Traced,125
Kolar,Under Investigation,1446
Kolar,Undetected,2199
Koppal,Abated,166
Koppal,BoundOver,1350
Koppal,Compounded,179
Koppal,Convicted,3048
Koppal,Dis/Acq,704
Koppal,False Case,921
Koppal,Other Disposal,196
Koppal,Pending Trial,14843
Koppal,Traced,1089
Koppal,Transferred,124
Koppal,Un Traced,73
Koppal,Under Investigation,1103
Koppal,Undetected,1130
Mandya,Abated,720
Mandya,BoundOver,4643
Mandya,Compounded,1259
Mandya,Convicted,13105
Mandya,Dis/Acq,5060
Mandya,False Case,2261
Mandya,Other Disposal,329
Mandya,Pending Trial,20700
Mandya,Traced,4482
Mandya,Transferred,91
Mandya,Un Traced,370
Mandya,Under Investigation,1428
Mandya,Undetected,5253
Mangaluru City,Abated,302
Mangaluru City,BoundOver,3737
Mangaluru City,Compounded,647
Mangaluru City,Convicted,9292
Mangaluru City,Dis/Acq,3005
Mangaluru City,False Case,1781
Mangaluru City,Other Disposal,643
Mangaluru City,Pending Trial,6788
Mangaluru City,Traced,1395
Mangaluru City,Transferred,6
Mangaluru City,Un Traced,130
Mangaluru City,Under Investigation,1581
Mangaluru City,Undetected,2237
Mysuru,Abated,617
Mysuru,BoundOver,4015
Mysuru,Compounded,1619
Mysuru,Convicted,10825
Mysuru,Dis/Acq,4387
Mysuru,False Case,1916
Mysuru,Other Disposal,231
Mysuru,Pending Trial,16932
Mysuru,Traced,3851
Mysuru,Transferred,125
Mysuru,Un Traced,347
Mysuru,Under Investigation,2317
Mysuru,Undetected,3417
Mysuru City,Abated,288
Mysuru City,BoundOver,2299
Mysuru City,Compounded,1549
Mysuru City,Convicted,4629
Mysuru City,Dis/Acq,1923
Mysuru City,False Case,2268
Mysuru City,Other Disposal,192
Mysuru City,Pending Trial,8078
Mysuru City,Traced,2855
Mysuru City,Transferred,27
Mysuru City,Un Traced,134
Mysuru City,Under Investigation,2023
Mysuru City,Undetected,4245
Raichur,Abated,400
Raichur,BoundOver,2192
Raichur,Compounded,890
Raichur,Convicted,7218
Raichur,Dis/Acq,5286
Raichur,False Case,1734
Raichur,Other Disposal,1835
Raichur,Pending Trial,13029
Raichur,Traced,965
Raichur,Transferred,162
Raichur,Un Traced,77
Raichur,Under Investigation,1205
Raichur,Undetected,1503
Ramanagara,Abated,202
Ramanagara,BoundOver,3139
Ramanagara,Compounded,385
Ramanagara,Convicted,6281
Ramanagara,Dis/Acq,1394
Ramanagara,False Case,2176
Ramanagara,Other Disposal,304
Ramanagara,Pending Trial,19677
Ramanagara,Traced,3555
Ramanagara,Transferred,177
Ramanagara,Un Traced,245
Ramanagara,Under Investigation,2128
Ramanagara,Undetected,4569
Shivamogga,Abated,583
Shivamogga,BoundOver,4996
Shivamogga,Compounded,1556
Shivamogga,Convicted,12187
Shivamogga,Dis/Acq,8218
Shivamogga,False Case,2704
Shivamogga,Other Disposal,1397
Shivamogga,Pending Trial,17608
Shivamogga,Traced,4698
Shivamogga,Transferred,194
Shivamogga,Un Traced,263
Shivamogga,Under Investigation,3479
Shivamogga,Undetected,3455
Tumakuru,Abated,750
Tumakuru,BoundOver,390
Tumakuru,Compounded,847
Tumakuru,Convicted,15361
Tumakuru,Dis/Acq,4740
Tumakuru,False Case,2714
Tumakuru,Other Disposal,3237
Tumakuru,Pending Trial,21364
Tumakuru,Traced,4172
Tumakuru,Transferred,387
Tumakuru,Un Traced,267
Tumakuru,Under Investigation,2504
Tumakuru,Undetected,4820
Udupi,Abated,378
Udupi,BoundOver,2167
Udupi,Compounded,741
Udupi,Convicted,9688
Udupi,Dis/Acq,2064
Udupi,False Case,1693
Udupi,Other Disposal,797
Udupi,Pending Trial,6717
Udupi,Traced,1284
Udupi,Transferred,151
Udupi,Un Traced,62
Udupi,Under Investigation,1352
Udupi,Undetected,1337
Uttara Kannada,Abated,554
Uttara Kannada,BoundOver,3126
Uttara Kannada,Compounded,859
Uttara Kannada,Convicted,9477
Uttara Kannada,Dis/Acq,3642
Uttara Kannada,False Case,2268
Uttara Kannada,Other Disposal,1044
Uttara Kannada,Pending Trial,6722
Uttara Kannada,Traced,1936
Uttara Kannada,Transferred,126
Uttara Kannada,Un Traced,142
Uttara Kannada,Under Investigation,1280
Uttara Kannada,Undetected,1514
Vijayanagara,Abated,337
Vijayanagara,BoundOver,3025
Vijayanagara,Compounded,658
Vijayanagara,Convicted,6580
Vijayanagara,Dis/Acq,3005
Vijayanagara,False Case,1093
Vijayanagara,Other Disposal,267
Vijayanagara,Pending Trial,7694
Vijayanagara,Traced,1082
Vijayanagara,Transferred,101
Vijayanagara,Un Traced,97
Vijayanagara,Under Investigation,686
Vijayanagara,Undetected,1190
Vijayapura,Abated,520
Vijayapura,BoundOver,3682
Vijayapura,Compounded,535
Vijayapura,Convicted,8874
Vijayapura,Dis/Acq,2736
Vijayapura,False Case,1923
Vijayapura,Other Disposal,449
Vijayapura,Pending Trial,14172
Vijayapura,Traced,1818
Vijayapura,Transferred,210
Vijayapura,Un Traced,128
Vijayapura,Under Investigation,2049
Vijayapura,Undetected,2412
Yadgir,Abated,112
Yadgir,BoundOver,2079
Yadgir,Compounded,110
Yadgir,Convicted,3132
Yadgir,Dis/Acq,1425
Yadgir,False Case,806
Yadgir,Other Disposal,459
Yadgir,Pending Trial,9653
Yadgir,Traced,432
Yadgir,Transferred,51
Yadgir,Un Traced,54
Yadgir,Under Investigation,480
Yadgir,Undetected,718
