canonical_name,major_head,modeled_time_of_day,method,count
Bagalkote,INSULTING MODESTY OF WOMEN (EVE TEASING),Distributed,default_distributed,8
Bagalkote,KARNATAKA POLICE ACT 1963,Evening,criminological_prior,3717
Bagalkote,KIDNAPPING AND ABDUCTION,Distributed,default_distributed,268
Bagalkote,Karnataka State Local Act,Distributed,default_distributed,1971
Bagalkote,MISCHIEF,Distributed,default_distributed,23
Bagalkote,MISSING PERSON,Distributed,default_distributed,1477
Bagalkote,MOLESTATION,Distributed,default_distributed,1208
Bagalkote,MOTOR VEHICLE ACCIDENTS FATAL,Evening,criminological_prior,2791
Bagalkote,MOTOR VEHICLE ACCIDENTS NON-FATAL,Evening,criminological_prior,3998
Bagalkote,MURDER,Night,criminological_prior,288
Bagalkote,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Night,criminological_prior,87
Bagalkote,NEGLIGENT ACT,Evening,criminological_prior,69
Bagalkote,OF ABETMENT,Distributed,default_distributed,3
Bagalkote,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Distributed,default_distributed,157
Bagalkote,OFFENCES PROMOTING ENEMITY,Distributed,default_distributed,5
Bagalkote,OFFENCES RELATED TO MARRIAGE,Distributed,default_distributed,11
Bagalkote,PASSPORT ACT,Distributed,default_distributed,1
Bagalkote,POCSO,Distributed,default_distributed,315
Bagalkote,POISONING-PROFESSIONAL,Distributed,default_distributed,12
Bagalkote,PORNOGRAPHY,Distributed,default_distributed,4
Bagalkote,"POST & TELEGRAPH,TELEGRAPH WIRES(UNLAWFUL POSSESSION)ACT 1950",Distributed,default_distributed,1
Bagalkote,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,Distributed,default_distributed,16
Bagalkote,PUBLIC JUSTICE,Distributed,default_distributed,2
Bagalkote,PUBLIC NUISANCE,Evening,criminological_prior,1
Bagalkote,PUBLIC SAFETY,Evening,criminological_prior,81
Bagalkote,RAPE,Distributed,default_distributed,41
Bagalkote,REPRESENTATION OF PEOPLE ACT 1951 & 1988,Distributed,default_distributed,53
Bagalkote,RIOTS,Evening,criminological_prior,831
Bagalkote,ROBBERY,Night,criminological_prior,98
Bagalkote,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Distributed,default_distributed,364
Bagalkote,SEDITION,Distributed,default_distributed,2
Bagalkote,SUICIDE,Distributed,default_distributed,97
Bagalkote,THEFT,Afternoon,criminological_prior,1746
Bagalkote,UNNATURAL SEX,Distributed,default_distributed,3
Bagalkote,WRONGFUL RESTRAINT/CONFINEMENT,Distributed,default_distributed,46
Ballari,ADULTERATION,Distributed,default_distributed,3
Ballari,AFFRAY,Evening,criminological_prior,21
Ballari,ANIMAL,Distributed,default_distributed,26
Ballari,ARMS ACT 1959,Distributed,default_distributed,7
Ballari,ARSON,Distributed,default_distributed,36
Ballari,ASSAULT,Distributed,default_distributed,10
Ballari,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,Distributed,default_distributed,3
Ballari,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,8
Ballari,ATTEMPT TO MURDER,Night,criminological_prior,377
Ballari,Attempting to commit offences,Distributed,default_distributed,48
Ballari,BURGLARY - DAY,Daytime,category_encoded,140
Ballari,BURGLARY - NIGHT,Night,category_encoded,620
Ballari,CASES OF HURT,Distributed,default_distributed,1252
Ballari,CHEATING,Distributed,default_distributed,670
Ballari,CHILDREN ACT,Distributed,default_distributed,93
Ballari,COMMUNAL / RELIGION,Distributed,default_distributed,18
Ballari,CONSUMER,Distributed,default_distributed,315
Ballari,COPY RIGHT ACT 1957,Distributed,default_distributed,18
Ballari,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",Evening,criminological_prior,27
Ballari,COUNTERFEITING,Distributed,default_distributed,2
Ballari,CRIMES RELATED TO WOMEN,Distributed,default_distributed,290
Ballari,CRIMINAL BREACH OF TRUST,Distributed,default_distributed,67
Ballari,CRIMINAL CONSPIRACY,Distributed,default_distributed,7
Ballari,CRIMINAL INTIMIDATION,Distributed,default_distributed,176
Ballari,CRIMINAL MISAPPROPRIATION,Distributed,default_distributed,2
Ballari,CRIMINAL TRESPASS,Afternoon,criminological_prior,208
Ballari,CRUELTY BY HUSBAND,Distributed,default_distributed,390
Ballari,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,8
Ballari,CYBER CRIME,Distributed,default_distributed,335
Ballari,Concealment of birth by secret disposal of Child,Distributed,default_distributed,12
Ballari,CrPC,Distributed,default_distributed,2623
Ballari,DACOITY,Night,criminological_prior,13
Ballari,DEATHS DUE TO RASHNESS/NEGLIGENCE,Distributed,default_distributed,41
Ballari,DEFAMATION,Distributed,default_distributed,1
Ballari,DOWRY DEATHS,Distributed,default_distributed,27
Ballari,Disobedience to Order Promulgated by PublicServan,Distributed,default_distributed,66
Ballari,ELECTION,Distributed,default_distributed,105
Ballari,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,Distributed,default_distributed,7
Ballari,EXPLOSIVES,Distributed,default_distributed,18
Ballari,EXPOSURE AND ABANDONMENT OF CHILD,Distributed,default_distributed,18
Ballari,FOREST,Distributed,default_distributed,1
Ballari,FORGERY,Distributed,default_distributed,44
Ballari,Giving false information respecting an offence com,Distributed,default_distributed,1
Ballari,Human Trafficking,Distributed,default_distributed,1
Ballari,IMMORAL TRAFFIC,Night,criminological_prior,44
Ballari,INDIAN MOTOR VEHICLE,Distributed,default_distributed,3
Ballari,INSULTING MODESTY OF WOMEN (EVE TEASING),Distributed,default_distributed,4
Ballari,KARNATAKA POLICE ACT 1963,Evening,criminological_prior,5460
Ballari,KIDNAPPING AND ABDUCTION,Distributed,default_distributed,432
Ballari,Karnataka State Local Act,Distributed,default_distributed,2734
Ballari,MISCHIEF,Distributed,default_distributed,53
Ballari,MISSING PERSON,Distributed,default_distributed,1416
Ballari,MOLESTATION,Distributed,default_distributed,558
Ballari,MOTOR VEHICLE ACCIDENTS FATAL,Evening,criminological_prior,1583
Ballari,MOTOR VEHICLE ACCIDENTS NON-FATAL,Evening,criminological_prior,2983
Ballari,MURDER,Night,criminological_prior,191
Ballari,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Night,criminological_prior,164
Ballari,NEGLIGENT ACT,Evening,criminological_prior,308
Ballari,OF ABETMENT,Distributed,default_distributed,1
Ballari,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Distributed,default_distributed,156
Ballari,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Distributed,default_distributed,2
Ballari,OFFENCES PROMOTING ENEMITY,Distributed,default_distributed,4
Ballari,OFFENCES RELATED TO MARRIAGE,Distributed,default_distributed,12
Ballari,POCSO,Distributed,default_distributed,272
Ballari,POISONING-PROFESSIONAL,Distributed,default_distributed,1
Ballari,PORNOGRAPHY,Distributed,default_distributed,3
Ballari,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,Distributed,default_distributed,16
Ballari,PUBLIC NUISANCE,Evening,criminological_prior,13
Ballari,PUBLIC SAFETY,Evening,criminological_prior,474
Ballari,RAPE,Distributed,default_distributed,61
Ballari,REPRESENTATION OF PEOPLE ACT 1951 & 1988,Distributed,default_distributed,22
Ballari,RIOTS,Evening,criminological_prior,673
Ballari,ROBBERY,Night,criminological_prior,162
Ballari,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Distributed,default_distributed,232
Ballari,SLAVERY,Distributed,default_distributed,1
Ballari,SUICIDE,Distributed,default_distributed,96
Ballari,THEFT,Afternoon,criminological_prior,2031
Ballari,WRONGFUL RESTRAINT/CONFINEMENT,Distributed,default_distributed,106
Belagavi,ADULTERATION,Distributed,default_distributed,22
Belagavi,AFFRAY,Evening,criminological_prior,41
Belagavi,ANIMAL,Distributed,default_distributed,25
Belagavi,ANTIQUES (CULTURAL PROPERTY),Distributed,default_distributed,1
Belagavi,ARMS ACT 1959,Distributed,default_distributed,35
Belagavi,ARSON,Distributed,default_distributed,63
Belagavi,ASSAULT,Distributed,default_distributed,7
Belagavi,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,6
Belagavi,ATTEMPT TO MURDER,Night,criminological_prior,1000
Belagavi,Attempting to commit offences,Distributed,default_distributed,23
Belagavi,BONDED LABOUR SYSTEM,Distributed,default_distributed,4
Belagavi,BURGLARY - DAY,Daytime,category_encoded,219
Belagavi,BURGLARY - NIGHT,Night,category_encoded,1218
Belagavi,CASES OF HURT,Distributed,default_distributed,3563
Belagavi,CHEATING,Distributed,default_distributed,980
Belagavi,CHILDREN ACT,Distributed,default_distributed,83
Belagavi,COMMUNAL / RELIGION,Distributed,default_distributed,96
Belagavi,CONSUMER,Distributed,default_distributed,164
Belagavi,COPY RIGHT ACT 1957,Distributed,default_distributed,6
Belagavi,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",Evening,criminological_prior,32
Belagavi,COUNTERFEITING,Distributed,default_distributed,6
Belagavi,CRIMES RELATED TO WOMEN,Distributed,default_distributed,119
Belagavi,CRIMINAL BREACH OF TRUST,Distributed,default_distributed,111
Belagavi,CRIMINAL CONSPIRACY,Distributed,default_distributed,5
Belagavi,CRIMINAL INTIMIDATION,Distributed,default_distributed,657
Belagavi,CRIMINAL MISAPPROPRIATION,Distributed,default_distributed,3
Belagavi,CRIMINAL TRESPASS,Afternoon,criminological_prior,369
Belagavi,CRUELTY BY HUSBAND,Distributed,default_distributed,905
Belagavi,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,22
Belagavi,CYBER CRIME,Distributed,default_distributed,206
Belagavi,Concealment of birth by secret disposal of Child,Distributed,default_distributed,28
Belagavi,CrPC,Distributed,default_distributed,7053
Belagavi,DACOITY,Night,criminological_prior,71
Belagavi,DEATHS DUE TO RASHNESS/NEGLIGENCE,Distributed,default_distributed,75
Belagavi,DEATHS-MISCARRIAGE,Distributed,default_distributed,1
Belagavi,DOWRY DEATHS,Distributed,default_distributed,23
Belagavi,Disobedience to Order Promulgated by PublicServan,Distributed,default_distributed,163
Belagavi,ELECTION,Distributed,default_distributed,106
Belagavi,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,Distributed,default_distributed,13
Belagavi,EXPLOSIVES,Distributed,default_distributed,30
Belagavi,EXPOSURE AND ABANDONMENT OF CHILD,Distributed,default_distributed,21
Belagavi,FALSE EVIDENCE,Distributed,default_distributed,6
Belagavi,FOREIGNER,Distributed,default_distributed,1
Belagavi,FOREST,Distributed,default_distributed,8
Belagavi,FORGERY,Distributed,default_distributed,191
Belagavi,Failure to appear to Court,Distributed,default_distributed,3
Belagavi,Human Trafficking,Distributed,default_distributed,1
Belagavi,IMMORAL TRAFFIC,Night,criminological_prior,17
Belagavi,INDIAN MOTOR VEHICLE,Distributed,default_distributed,2
Belagavi,INSULTING MODESTY OF WOMEN (EVE TEASING),Distributed,default_distributed,8
Belagavi,KARNATAKA POLICE ACT 1963,Evening,criminological_prior,6507
Belagavi,KIDNAPPING AND ABDUCTION,Distributed,default_distributed,606
Belagavi,Karnataka State Local Act,Distributed,default_distributed,4377
Belagavi,MISCHIEF,Distributed,default_distributed,75
Belagavi,MISSING PERSON,Distributed,default_distributed,3292
Belagavi,MOLESTATION,Distributed,default_distributed,1979
Belagavi,MOTOR VEHICLE ACCIDENTS FATAL,Evening,criminological_prior,5356
Belagavi,MOTOR VEHICLE ACCIDENTS NON-FATAL,Evening,criminological_prior,10113
Belagavi,MURDER,Night,criminological_prior,583
Belagavi,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Night,criminological_prior,295
Belagavi,NEGLIGENT ACT,Evening,criminological_prior,403
Belagavi,OF ABETMENT,Distributed,default_distributed,3
Belagavi,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Distributed,default_distributed,292
Belagavi,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Distributed,default_distributed,3
Belagavi,OFFENCES PROMOTING ENEMITY,Distributed,default_distributed,17
Belagavi,OFFENCES RELATED TO MARRIAGE,Distributed,default_distributed,27
Belagavi,POCSO,Distributed,default_distributed,745
Belagavi,POISONING-PROFESSIONAL,Distributed,default_distributed,3
Belagavi,PORNOGRAPHY,Distributed,default_distributed,2
Belagavi,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,Distributed,default_distributed,68
Belagavi,PUBLIC NUISANCE,Evening,criminological_prior,2
Belagavi,PUBLIC SAFETY,Evening,criminological_prior,338
Belagavi,RAPE,Distributed,default_distributed,186
Belagavi,REPRESENTATION OF PEOPLE ACT 1951 & 1988,Distributed,default_distributed,66
Belagavi,RIOTS,Evening,criminological_prior,2384
Belagavi,ROBBERY,Night,criminological_prior,223
Belagavi,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Distributed,default_distributed,577
Belagavi,SEDITION,Distributed,default_distributed,1
Belagavi,SUICIDE,Distributed,default_distributed,259
Belagavi,THEFT,Afternoon,criminological_prior,2889
Belagavi,UNNATURAL SEX,Distributed,default_distributed,6
Belagavi,WRONGFUL RESTRAINT/CONFINEMENT,Distributed,default_distributed,80
Belagavi City,AFFRAY,Evening,criminological_prior,59
Belagavi City,ANIMAL,Distributed,default_distributed,19
Belagavi City,ARMS ACT 1959,Distributed,default_distributed,14
Belagavi City,ARSON,Distributed,default_distributed,59
Belagavi City,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,6
Belagavi City,ATTEMPT TO MURDER,Night,criminological_prior,451
Belagavi City,Attempting to commit offences,Distributed,default_distributed,17
Belagavi City,BURGLARY - DAY,Daytime,category_encoded,266
Belagavi City,BURGLARY - NIGHT,Night,category_encoded,845
Belagavi City,CASES OF HURT,Distributed,default_distributed,1224
Belagavi City,CHEATING,Distributed,default_distributed,815
Belagavi City,CHILDREN ACT,Distributed,default_distributed,8
Belagavi City,COMMUNAL / RELIGION,Distributed,default_distributed,30
Belagavi City,CONSUMER,Distributed,default_distributed,35
Belagavi City,COPY RIGHT ACT 1957,Distributed,default_distributed,10
Belagavi City,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",Evening,criminological_prior,1
Belagavi City,COUNTERFEITING,Distributed,default_distributed,5
Belagavi City,CRIMES RELATED TO WOMEN,Distributed,default_distributed,141
Belagavi City,CRIMINAL BREACH OF TRUST,Distributed,default_distributed,31
Belagavi City,CRIMINAL CONSPIRACY,Distributed,default_distributed,2
Belagavi City,CRIMINAL INTIMIDATION,Distributed,default_distributed,275
Belagavi City,CRIMINAL MISAPPROPRIATION,Distributed,default_distributed,3
Belagavi City,CRIMINAL TRESPASS,Afternoon,criminological_prior,96
Belagavi City,CRUELTY BY HUSBAND,Distributed,default_distributed,521
Belagavi City,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,3
Belagavi City,CYBER CRIME,Distributed,default_distributed,343
Belagavi City,Concealment of birth by secret disposal of Child,Distributed,default_distributed,2
Belagavi City,CrPC,Distributed,default_distributed,2359
Belagavi City,DACOITY,Night,criminological_prior,59
Belagavi City,DEATHS DUE TO RASHNESS/NEGLIGENCE,Distributed,default_distributed,81
Belagavi City,DEATHS-MISCARRIAGE,Distributed,default_distributed,3
Belagavi City,DEFAMATION,Distributed,default_distributed,1
Belagavi City,DOWRY DEATHS,Distributed,default_distributed,8
Belagavi City,Disobedience to Order Promulgated by PublicServan,Distributed,default_distributed,21
Belagavi City,ELECTION,Distributed,default_distributed,32
Belagavi City,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,Distributed,default_distributed,9
Belagavi City,EXPLOSIVES,Distributed,default_distributed,3
Belagavi City,EXPOSURE AND ABANDONMENT OF CHILD,Distributed,default_distributed,10
Belagavi City,FALSE EVIDENCE,Distributed,default_distributed,4
Belagavi City,FOREIGNER,Distributed,default_distributed,12
Belagavi City,FORGERY,Distributed,default_distributed,27
Belagavi City,Failure to appear to Court,Distributed,default_distributed,11
Belagavi City,IMMORAL TRAFFIC,Night,criminological_prior,35
Belagavi City,INSULTING MODESTY OF WOMEN (EVE TEASING),Distributed,default_distributed,7
Belagavi City,KARNATAKA POLICE ACT 1963,Evening,criminological_prior,1408
Belagavi City,KIDNAPPING AND ABDUCTION,Distributed,default_distributed,295
Belagavi City,Karnataka State Local Act,Distributed,default_distributed,695
Belagavi City,MISCHIEF,Distributed,default_distributed,94
Belagavi City,MISSING PERSON,Distributed,default_distributed,1372
Belagavi City,MOLESTATION,Distributed,default_distributed,316
Belagavi City,MOTOR VEHICLE ACCIDENTS FATAL,Evening,criminological_prior,1106
Belagavi City,MOTOR VEHICLE ACCIDENTS NON-FATAL,Evening,criminological_prior,3621
Belagavi City,MURDER,Night,criminological_prior,165
Belagavi City,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Night,criminological_prior,172
Belagavi City,NEGLIGENT ACT,Evening,criminological_prior,63
Belagavi City,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Distributed,default_distributed,127
Belagavi City,OFFENCES PROMOTING ENEMITY,Distributed,default_distributed,78
Belagavi City,OFFENCES RELATED TO MARRIAGE,Distributed,default_distributed,6
Belagavi City,POCSO,Distributed,default_distributed,182
Belagavi City,POISONING-PROFESSIONAL,Distributed,default_distributed,1
Belagavi City,PORNOGRAPHY,Distributed,default_distributed,3
Belagavi City,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,Distributed,default_distributed,7
Belagavi City,PUBLIC NUISANCE,Evening,criminological_prior,13
Belagavi City,PUBLIC SAFETY,Evening,criminological_prior,37
Belagavi City,RAPE,Distributed,default_distributed,39
Belagavi City,REPRESENTATION OF PEOPLE ACT 1951 & 1988,Distributed,default_distributed,26
Belagavi City,RIOTS,Evening,criminological_prior,690
Belagavi City,ROBBERY,Night,criminological_prior,211
Belagavi City,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Distributed,default_distributed,138
Belagavi City,SLAVERY,Distributed,default_distributed,3
Belagavi City,SUICIDE,Distributed,default_distributed,104
Belagavi City,THEFT,Afternoon,criminological_prior,1913
Belagavi City,UNNATURAL SEX,Distributed,default_distributed,2
Belagavi City,WRONGFUL RESTRAINT/CONFINEMENT,Distributed,default_distributed,27
Bengaluru City,ADULTERATION,Distributed,default_distributed,14
Bengaluru City,AFFRAY,Evening,criminological_prior,598
Bengaluru City,ANIMAL,Distributed,default_distributed,400
Bengaluru City,ANTIQUES (CULTURAL PROPERTY),Distributed,default_distributed,3
Bengaluru City,ARMS ACT 1959,Distributed,default_distributed,595
Bengaluru City,ARSON,Distributed,default_distributed,562
Bengaluru City,ASSAULT,Distributed,default_distributed,67
Bengaluru City,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,Distributed,default_distributed,4
Bengaluru City,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,38
Bengaluru City,ATTEMPT TO MURDER,Night,criminological_prior,4131
Bengaluru City,Attempting to commit offences,Distributed,default_distributed,10
Bengaluru City,BONDED LABOUR SYSTEM,Distributed,default_distributed,22
Bengaluru City,BURGLARY - DAY,Daytime,category_encoded,2330
Bengaluru City,BURGLARY - NIGHT,Night,category_encoded,7890
Bengaluru City,CASES OF HURT,Distributed,default_distributed,23116
Bengaluru City,CHEATING,Distributed,default_distributed,22716
Bengaluru City,CHILDREN ACT,Distributed,default_distributed,380
Bengaluru City,CINEMATOGRAPH ACT 1952,Distributed,default_distributed,2
Bengaluru City,COMMUNAL / RELIGION,Distributed,default_distributed,113
Bengaluru City,CONSUMER,Distributed,default_distributed,310
Bengaluru City,COPY RIGHT ACT 1957,Distributed,default_distributed,1048
Bengaluru City,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",Evening,criminological_prior,2357
Bengaluru City,COUNTERFEITING,Distributed,default_distributed,135
Bengaluru City,CRIMES RELATED TO WOMEN,Distributed,default_distributed,6077
Bengaluru City,CRIMINAL BREACH OF TRUST,Distributed,default_distributed,1267
Bengaluru City,CRIMINAL CONSPIRACY,Distributed,default_distributed,66
Bengaluru City,CRIMINAL INTIMIDATION,Distributed,default_distributed,3587
Bengaluru City,CRIMINAL MISAPPROPRIATION,Distributed,default_distributed,13
Bengaluru City,CRIMINAL TRESPASS,Afternoon,criminological_prior,3417
Bengaluru City,CRUELTY BY HUSBAND,Distributed,default_distributed,3983
Bengaluru City,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,155
Bengaluru City,CYBER CRIME,Distributed,default_distributed,64599
Bengaluru City,Concealment of birth by secret disposal of Child,Distributed,default_distributed,113
Bengaluru City,CrPC,Distributed,default_distributed,10878
Bengaluru City,DACOITY,Night,criminological_prior,2752
Bengaluru City,DEATHS DUE TO RASHNESS/NEGLIGENCE,Distributed,default_distributed,1136
Bengaluru City,DEATHS-MISCARRIAGE,Distributed,default_distributed,26
Bengaluru City,DEFAMATION,Distributed,default_distributed,17
Bengaluru City,DEFENCE FORCES OFFENCES RELATING TO (also relating to desertion),Distributed,default_distributed,3
Bengaluru City,DOCUMENTS & PROPERTY MARKS,Distributed,default_distributed,3
Bengaluru City,DOWRY DEATHS,Distributed,default_distributed,309
Bengaluru City,Disobedience to Order Promulgated by PublicServan,Distributed,default_distributed,324
Bengaluru City,ELECTION,Distributed,default_distributed,266
Bengaluru City,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,Distributed,default_distributed,65
Bengaluru City,EXPLOSIVES,Distributed,default_distributed,61
Bengaluru City,EXPOSURE AND ABANDONMENT OF CHILD,Distributed,default_distributed,156
Bengaluru City,FALSE EVIDENCE,Distributed,default_distributed,35
Bengaluru City,FOREIGNER,Distributed,default_distributed,330
Bengaluru City,FOREST,Distributed,default_distributed,1
Bengaluru City,FORGERY,Distributed,default_distributed,741
Bengaluru City,Failure to appear to Court,Distributed,default_distributed,1234
Bengaluru City,Giving false information respecting an offence com,Distributed,default_distributed,1
Bengaluru City,Human Trafficking,Distributed,default_distributed,7
Bengaluru City,IMMORAL TRAFFIC,Night,criminological_prior,1084
Bengaluru City,IMPERSONATION,Distributed,default_distributed,12
Bengaluru City,INDIAN ELECTRICITY ACT,Distributed,default_distributed,1
Bengaluru City,INDIAN MOTOR VEHICLE,Distributed,default_distributed,3
Bengaluru City,INFANTICIDE,Distributed,default_distributed,1
Bengaluru City,INSULTING MODESTY OF WOMEN (EVE TEASING),Distributed,default_distributed,420
Bengaluru City,KARNATAKA POLICE ACT 1963,Evening,criminological_prior,5075
Bengaluru City,KIDNAPPING AND ABDUCTION,Distributed,default_distributed,7924
Bengaluru City,Karnataka State Local Act,Distributed,default_distributed,6304
Bengaluru City,MISCHIEF,Distributed,default_distributed,1033
Bengaluru City,MISSING PERSON,Distributed,default_distributed,39234
Bengaluru City,MOLESTATION,Distributed,default_distributed,6455
Bengaluru City,MOTOR VEHICLE ACCIDENTS FATAL,Evening,criminological_prior,5886
Bengaluru City,MOTOR VEHICLE ACCIDENTS NON-FATAL,Evening,criminological_prior,30107
Bengaluru City,MURDER,Night,criminological_prior,1575
Bengaluru City,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Night,criminological_prior,16247
Bengaluru City,NATIONAL SECURITY ACT,Distributed,default_distributed,1
Bengaluru City,NEGLIGENT ACT,Evening,criminological_prior,15141
Bengaluru City,OF ABETMENT,Distributed,default_distributed,8
Bengaluru City,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Distributed,default_distributed,1611
Bengaluru City,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Distributed,default_distributed,26
Bengaluru City,OFFENCES PROMOTING ENEMITY,Distributed,default_distributed,97
Bengaluru City,OFFENCES RELATED TO MARRIAGE,Distributed,default_distributed,94
Bengaluru City,OFFICIAL SECURITY RELATED ACTS,Distributed,default_distributed,6
Bengaluru City,PASSPORT ACT,Distributed,default_distributed,212
Bengaluru City,POCSO,Distributed,default_distributed,3236
Bengaluru City,POISONING-PROFESSIONAL,Distributed,default_distributed,15
Bengaluru City,PORNOGRAPHY,Distributed,default_distributed,60
