node,node_type,degree,weighted_degree,cases,community_id,pagerank,betweenness,is_hub,top_districts
UNLAWFUL ACTIVITIES(Prevention)ACT 1967,crime_head,2,31,17,2,0.000856,0.005417,False,Bengaluru City; Chikkamagaluru; Mangaluru City
LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,act,4,681,315,6,0.000823,3.7e-05,False,
Transportation of Animal Act 1978,act,11,2004,432,0,0.000822,2.1e-05,False,
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,12,1971,867,0,0.000814,8.1e-05,False,
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",act,7,1998,1151,4,0.000803,0.000127,False,
KARNATAKA LAND REVENUE ACT 1964,act,9,2842,1135,0,0.0008,0.00026,False,
"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,16,2456,1181,5,0.000794,0.000595,False,
WRONGFUL RESTRAINT/CONFINEMENT,crime_head,2,3478,3469,2,0.000789,0.0,False,Mandya; Bengaluru City; Raichur
FORGERY,crime_head,5,3372,3317,2,0.000786,1e-05,False,Bengaluru City; Belagavi; Bengaluru Rural
KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,act,5,549,270,6,0.000785,0.000701,False,
Attempting to commit offences,crime_head,2,1514,1505,2,0.000784,0.005417,False,Tumakuru; Uttara Kannada; Bengaluru Rural
"INDIAN ARMS ACT, 1959",act,18,2097,1262,5,0.000774,0.007255,False,
"EXPLOSIVE SUBSTANCES ACT, 1908",act,5,771,378,8,0.00077,1.3e-05,False,
AFFRAY,crime_head,2,3207,3191,2,0.000749,0.0,False,Bengaluru City; Mysuru; Hubballi-Dharwad City
DEATHS DUE TO RASHNESS/NEGLIGENCE,crime_head,3,3154,2976,0,0.000746,0.0,False,Bengaluru City; Shivamogga; Tumakuru
"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,6,1351,504,3,0.000725,6.4e-05,False,
"THE CENTRAL MOTOR VEHICLES RULES, 1989",act,7,3366,1147,0,0.000719,0.000269,False,
"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",act,6,1707,742,2,0.000717,0.004733,False,
ARSON,crime_head,5,2705,2550,5,0.000705,3e-06,False,Bengaluru City; Hassan; Shivamogga
PASSPORT ACT,crime_head,5,471,246,7,0.000702,1e-05,False,Bengaluru City; Mangaluru City; Shivamogga
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",act,5,839,607,4,0.000689,8e-06,False,
"MOTOR VEHICLE ACT, 1954",act,12,1438,532,0,0.00068,0.000284,False,
DOWRY DEATHS,crime_head,3,2668,1484,2,0.000666,0.0,False,Bengaluru City; Bengaluru Rural; Hassan
"BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",act,4,235,155,2,0.000664,0.000508,False,
"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,15,1825,861,5,0.000658,0.000493,False,
The Central Motor Vehicle Rules 2015,act,13,1563,374,0,0.000656,0.00022,False,
(r)(s) IPC 1860,act,4,609,245,1,0.000656,0.0,False,
"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",act,4,346,103,6,0.000655,0.0,False,
KARNATAKA MONEY LENDERS ACT 1961,act,7,1424,579,2,0.000644,0.000299,False,
"(r),3(1)(s),3(2)(va) IPC 1860",act,4,605,235,1,0.000642,0.0,False,
"UNLAWFUL ACTIVITIES (PREVENTION) ACT, 1967",act,1,14,25,2,0.000639,0.0,False,
"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",act,16,1823,891,5,0.000633,0.0008,False,
"RAILWAYS ACT, 1989",act,5,301,185,5,0.000615,2.8e-05,False,
(10) IPC 1860,act,3,569,229,1,0.000614,0.0,False,
BONDED LABOUR SYSTEM,crime_head,3,190,117,2,0.00061,5e-06,False,Mysuru; Bengaluru City; Bengaluru Rural
"(r),3(1)(s),3(2)(v-a) IPC 1860",act,3,540,218,1,0.000606,0.0,False,
(V) IPC 1860,act,9,717,255,1,0.000604,0.000961,False,
"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",act,4,1130,705,4,0.000604,8.2e-05,False,
KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,15,1798,928,5,0.000601,0.000799,False,
(va) IPC 1860,act,8,586,219,1,0.000599,0.000877,False,
"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,4,523,175,1,0.000597,0.0,False,
COMMUNAL / RELIGION,crime_head,5,2068,1955,2,0.000597,2.1e-05,False,Uttara Kannada; Bengaluru City; Kalaburagi
INDIAN ELECTRICITY ACT (AMEND.) 2003,act,11,755,381,0,0.000584,0.000147,False,
"The Karnataka essential services maintenance act, 2013",act,2,52,37,2,0.000574,0.0,False,
KARNATAKA NEW SAND POLICY 2011,act,6,1376,437,0,0.00057,4e-05,False,
KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,act,7,593,234,2,0.000568,0.000314,False,
OFFICIAL SECURITY RELATED ACTS,crime_head,2,50,37,2,0.000567,0.0,False,Bengaluru City; Hassan; Mandya
"PROTECTION OF CIVIL RIGHTS ACT,1955",act,2,100,73,2,0.000564,0.0,False,
"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",act,5,508,359,3,0.000564,1.9e-05,False,
"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,10,916,232,0,0.000563,2.1e-05,False,
"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,10,1558,626,4,0.000551,0.000203,False,
"REGISTRATION OF FOREIGNERS ACT, 1939",act,7,309,102,7,0.00055,7.3e-05,False,
"(s),3(1)(r) IPC 1860",act,4,471,169,1,0.000548,0.0,False,
Failure to appear to Court,crime_head,1,1660,1660,2,0.000538,0.0,False,Bengaluru City; Mangaluru City; Kalaburagi
(v-a) IPC 1860,act,6,418,150,1,0.000538,5.4e-05,False,
(B) IPC 1860,act,8,373,185,7,0.000537,0.001302,False,
(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,4,743,308,3,0.000529,0.0,False,
"EXPLOSIVES ACT, 1884",act,6,457,256,8,0.000521,4.5e-05,False,
(r) IPC 1860,act,5,372,154,1,0.000521,0.0,False,
CIVIL RIGHTS,crime_head,2,75,42,2,0.000517,0.0,False,Chitradurga; Mysuru; Raichur
"GAS SUPPLY ACT(LPG ACT REGULATION AND SUPPLY DISTRIBUTION ORDER 2000),1939",act,4,258,112,6,0.000505,3.8e-05,False,
KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,act,6,841,438,0,0.0005,5.6e-05,False,
CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,act,4,382,279,3,0.000493,0.0,False,
INDIAN TELEGRAPH ACT - 1885,act,4,124,70,5,0.000493,1.6e-05,False,
ADULTERATION,crime_head,4,255,157,4,0.00049,1.6e-05,False,Raichur; Vijayapura; Belagavi
"(D) INDIAN MOTOR VEHICLES ACT, 1988",act,7,687,221,0,0.00049,5.6e-05,False,
(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,3,591,264,3,0.000484,0.0,False,
(r)(s)(2)(va) IPC 1860,act,3,313,130,1,0.000477,0.0,False,
KARNATAKA FOREST RULES,act,5,590,210,0,0.000468,0.000182,False,
(x) IPC 1860,act,3,290,111,1,0.000463,0.0,False,
"(i),4,6,8 IPC 1860",act,4,136,34,6,0.000453,0.0,False,
INDIAN ELECTRICITY ACT,crime_head,4,294,142,0,0.000453,9e-06,False,Chamarajanagar; Chikkamagaluru; Mysuru
KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,act,5,774,265,0,0.000444,2.8e-05,False,
Explosive Rules 2008,act,3,209,77,8,0.000444,0.0,False,
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,crime_head,5,815,665,0,0.000442,2.9e-05,False,Bengaluru City; Shivamogga; Tumakuru
(s) IPC 1860,act,4,225,98,1,0.00044,0.0,False,
INSULTING MODESTY OF WOMEN (EVE TEASING),crime_head,2,928,917,2,0.000437,0.0,False,Bengaluru City; Uttara Kannada; Kalaburagi
"FOREIGNERS ORDER ACT, 1948",act,3,115,64,7,0.00043,3.1e-05,False,
"JUVENILE JUSTICE ACT, 2000",act,5,414,227,3,0.000427,0.000145,False,
"EPIDEMIC DISEASES ACT, 1897",act,8,793,317,4,0.000425,0.000203,False,
EXPOSURE AND ABANDONMENT OF CHILD,crime_head,1,835,835,2,0.000425,0.0,False,Bengaluru City; Tumakuru; Karnataka Railways
LOTTERY REGULATION ACT 1998,act,2,207,189,0,0.00042,0.0,False,
Liquified Petroleum Gas (Regulation of Supply & Distribution) Order 2000,act,2,156,92,6,0.000419,0.0,False,
PUBLIC NUISANCE,crime_head,5,693,513,4,0.000417,7e-06,False,Bengaluru City; Chitradurga; Raichur
(10)(11) IPC 1860,act,3,202,76,1,0.000415,0.0,False,
"(r),3(1) (s) IPC 1860",act,4,175,73,1,0.000414,0.0,False,
B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,3,350,155,3,0.000414,0.0,False,
"(r) (s),3(2)(va) IPC 1860",act,3,202,71,1,0.000414,0.0,False,
"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",act,5,439,203,2,0.000412,0.000112,False,
"WILD LIFE (PROTECTION) ACT, 1972",act,6,335,203,5,0.000411,0.000359,False,
"Karnataka Prevention of Damage to Public Property Act, 1984",act,7,491,262,5,0.000409,0.000182,False,
"COTPA, Cigarettes and Other Tobacco Products Act (Amendment) Bill 2015",act,3,152,94,4,0.000408,1.8e-05,False,
(5) IPC 1860,act,5,249,107,1,0.000407,0.000874,False,
KARNATAKA MOTOR VEHICLE RULE,act,6,760,280,0,0.000404,0.000212,False,
(II) IPC 1860,act,3,310,116,3,0.000402,0.0,False,
(A) Transportation of Animal Act 1978,act,7,377,81,0,0.000401,1.6e-05,False,
(r) (s) IPC 1860,act,3,152,65,1,0.000398,0.0,False,
(2)(v) IPC 1860,act,5,193,85,1,0.000397,0.000877,False,
RAILWAYS ACT,crime_head,2,61,49,5,0.000397,0.0,False,Karnataka Railways; Chikkamagaluru; Mangaluru City
"(r),3(1)(s),3(1)(w) IPC 1860",act,4,155,63,1,0.000396,0.0,False,
"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,286,145,3,0.000395,0.0,False,
The Banning of Unregulated Deposit Schemes Ordinance 2019,act,5,267,107,2,0.000391,0.000112,False,
"(r)(s),3(2)(5a) IPC 1860",act,3,139,54,1,0.000389,0.0,False,
OFFENCES RELATED TO MARRIAGE,crime_head,2,398,379,2,0.000388,0.0,False,Bengaluru City; Belagavi; Bengaluru Rural
"KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",act,6,495,263,5,0.000386,0.00014,False,
OFFENCES PROMOTING ENEMITY,crime_head,3,558,534,2,0.000386,0.0,False,Bengaluru City; Belagavi City; Dakshina Kannada
TRADE MARKS ACT 1999,act,5,198,86,2,0.000385,0.000507,False,
FOREST,crime_head,3,264,133,0,0.000385,0.0,False,Bengaluru Rural; Vijayapura; Mysuru City
"(b) EXPLOSIVE SUBSTANCES ACT, 1908",act,3,105,40,8,0.000384,0.0,False,
Concealment of birth by secret disposal of Child,crime_head,1,534,534,2,0.000384,0.0,False,Bengaluru City; Belagavi; Bidar
"POST & TELEGRAPH,TELEGRAPH WIRES(UNLAWFUL POSSESSION)ACT 1950",crime_head,2,42,21,5,0.000384,0.0,False,Bengaluru City; Bengaluru Rural; Udupi
(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,5,376,113,0,0.000382,3.7e-05,False,
CHIT FUNDS ACT 1982,act,3,457,233,2,0.000382,2.8e-05,False,
"/181 INDIAN MOTOR VEHICLES ACT, 1988",act,8,321,89,0,0.00038,0.000166,False,
(w)(i)(ii) IPC 1860,act,5,150,58,3,0.000379,0.000794,False,
(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,4,170,62,1,0.000379,0.000797,False,
KARNATAKA LOTTERY AND PRIZE COMPITATION CONTROL AND TAX ACT 1951,act,2,121,95,0,0.000377,0.0,False,
(D) IPC 1860,act,6,269,89,0,0.000377,5.6e-05,False,
"The Muslim Women(Protection of Rights on Marriage) Act, 2019",act,5,338,141,2,0.000375,5e-06,False,
Prevention of Cruelty to Animals (Slaughter House) Rules 2001,act,5,256,85,0,0.000375,1.6e-05,False,
"(n),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,213,108,3,0.000374,0.0,False,
"Rules Of The Roads Regulations, 1989",act,4,519,188,0,0.000374,3e-06,False,
(b) IPC 1860,act,2,72,58,8,0.000374,0.0,False,
"(d),102 IPC 1860",act,5,948,388,0,0.000372,5e-06,False,
"PETROLEUM ACT, 1934",act,4,96,49,6,0.000365,0.000614,False,
"(v-a),3(1)(s),3(1)(r) IPC 1860",act,3,107,40,1,0.000364,0.0,False,
A PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,3,171,76,3,0.00036,0.0,False,
"(w)(i)(ii),3(2)(va) IPC 1860",act,4,101,42,3,0.00036,0.000797,False,
"ENVIRONMENT (PROTECTION) ACT, 1986",act,5,259,104,0,0.000359,3.5e-05,False,
(w) IPC 1860,act,3,77,48,1,0.000358,0.000797,False,
"Prohibition of Electronic Cigarettes(Production,Manufacture,Import, Export,Transport,Sale, Distribution,Storage and Advertisement) Act 2019",act,1,81,84,4,0.000358,0.0,False,
"WILD ANIMAL PROTECTION ACT, 1972",act,3,147,93,0,0.000358,3e-06,False,
"(II),6 IPC 1860",act,3,144,65,3,0.000358,0.0,False,
(n) Prohibition of Child Marriage Act 2006,act,3,162,55,3,0.000358,0.0,False,
The banning of unregulated deposit schemes act 2019,act,4,299,157,2,0.000357,0.000112,False,
FOOD SAFETY AND STANDARDS ACT-2006,act,4,92,51,4,0.000357,0.000417,False,
(10) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,3,96,33,1,0.000356,0.0,False,
ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,crime_head,1,333,333,2,0.000356,0.0,False,Bengaluru City; Bidar; Hubballi-Dharwad City
"(II),5(L),6 IPC 1860",act,2,119,70,3,0.000356,0.0,False,
KARNATAKA EDUCATION ACT 1983 AS AMENDED UPTODATE,act,3,260,154,0,0.000354,2.8e-05,False,
(A) IPC 1860,act,7,202,127,0,0.000354,0.000138,False,
"(r),3(2)(va) IPC 1860",act,2,63,39,1,0.000354,0.0,False,
The Karnataka Prisons (Amendment) Act-2022,act,3,207,133,0,0.000354,0.000712,False,
(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,2,144,72,3,0.000353,0.0,False,
COUNTERFEITING,crime_head,1,313,314,2,0.000353,0.0,False,Bengaluru City; Mangaluru City; Bengaluru Rural
(D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,3,137,72,0,0.000351,1.6e-05,False,
-1(B) (b) IPC 1860,act,5,172,79,5,0.000351,4e-06,False,
"(d),102 KARNATAKA POLICE ACT, 1963",act,5,518,193,0,0.000351,2.8e-05,False,
(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,3,81,32,1,0.00035,0.0,False,
(v-a) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,4,92,31,1,0.00035,0.000797,False,
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,crime_head,1,281,282,2,0.000349,0.0,False,Bidar; Bengaluru City; Yadgir
"(A),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",act,4,141,57,0,0.000347,1.6e-05,False,
ASSAULT,crime_head,1,269,269,2,0.000347,0.0,False,Bengaluru City; Mandya; Raichur
Human Trafficking,crime_head,3,169,104,2,0.000347,2e-06,False,Mangaluru City; Tumakuru; Hubballi-Dharwad City
"PREVENTION OF FOOD ADULTERATION ACT, 1954",act,2,61,34,6,0.000347,0.0,False,
"(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,3,126,46,3,0.000347,0.0,False,
"(va),3(1) (r) (s) IPC 1860",act,2,52,26,1,0.000346,0.0,False,
"(V),3(2)(v-a) IPC 1860",act,2,55,36,1,0.000346,0.0,False,
"The Prize Chits and Money Circulation Schemes (Banning) Act, 1978",act,4,106,40,2,0.000346,4e-06,False,
FALSE EVIDENCE,crime_head,1,255,255,2,0.000346,0.0,False,Bengaluru City; Bidar; Mandya
The Karnataka Protection of Interest Depositors in Financial Establishment Act 2004,act,3,227,117,2,0.000345,2.8e-05,False,
"(n) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,3,120,41,3,0.000345,0.0,False,
