act,count
LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,315
Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,310
(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,308
KARNATAKA MOTOR VEHICLE RULE,280
CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,279
KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,270
KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,265
(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,264
"KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",263
"Karnataka Prevention of Damage to Public Property Act, 1984",262
"EXPLOSIVES ACT, 1884",256
(V) IPC 1860,255
(r)(s) IPC 1860,245
"(r),3(1)(s),3(2)(va) IPC 1860",235
KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,234
CHIT FUNDS ACT 1982,233
"(A) INDIAN MOTOR VEHICLES ACT, 1988",232
(10) IPC 1860,229
"JUVENILE JUSTICE ACT, 2000",227
"(D) INDIAN MOTOR VEHICLES ACT, 1988",221
(va) IPC 1860,219
"(r),3(1)(s),3(2)(v-a) IPC 1860",218
KARNATAKA FOREST RULES,210
"WILD LIFE (PROTECTION) ACT, 1972",203
"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",203
"(d),102 KARNATAKA POLICE ACT, 1963",193
LOTTERY REGULATION ACT 1998,189
"Rules Of The Roads Regulations, 1989",188
(B) IPC 1860,185
"RAILWAYS ACT, 1989",185
"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",175
"(s),3(1)(r) IPC 1860",169
The banning of unregulated deposit schemes act 2019,157
B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,155
"BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",155
KARNATAKA EDUCATION ACT 1983 AS AMENDED UPTODATE,154
(r) IPC 1860,154
(v-a) IPC 1860,150
Private Security Regulation act 2005,148
"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",145
"The Muslim Women(Protection of Rights on Marriage) Act, 2019",141
"KARNATAKA PROHIBITION OF BEGGARY ACT, 1975",140
The Karnataka Prisons (Amendment) Act-2022,133
(r)(s)(2)(va) IPC 1860,130
(A) IPC 1860,127
The Karnataka Protection of Interest Depositors in Financial Establishment Act 2004,117
(II) IPC 1860,116
(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,113
"KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",112
"GAS SUPPLY ACT(LPG ACT REGULATION AND SUPPLY DISTRIBUTION ORDER 2000),1939",112
(x) IPC 1860,111
"(n),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",108
The Banning of Unregulated Deposit Schemes Ordinance 2019,107
(5) IPC 1860,107
"PREVENTION OF INSULT TO NATIONAL HONOURS ACT, 1971",104
"ENVIRONMENT (PROTECTION) ACT, 1986",104
"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",103
"REGISTRATION OF FOREIGNERS ACT, 1939",102
"RELIGIOUS INSTITUTIONS (PREVENTION OF MISUSE) ACT, 1988",98
(s) IPC 1860,98
KARNATAKA LOTTERY AND PRIZE COMPITATION CONTROL AND TAX ACT 1951,95
"COTPA, Cigarettes and Other Tobacco Products Act (Amendment) Bill 2015",94
"WILD ANIMAL PROTECTION ACT, 1972",93
Liquified Petroleum Gas (Regulation of Supply & Distribution) Order 2000,92
"/181 INDIAN MOTOR VEHICLES ACT, 1988",89
(D) IPC 1860,89
TRADE MARKS ACT 1999,86
(2)(v) IPC 1860,85
Prevention of Cruelty to Animals (Slaughter House) Rules 2001,85
KARNATAKA PRISONERS ACT - 1963,84
"The Prohibition of Employment as Manual Scavengers and their Rehabilitation Act, 2013",84
"Prohibition of Electronic Cigarettes(Production,Manufacture,Import, Export,Transport,Sale, Distribution,Storage and Advertisement) Act 2019",84
(A) Transportation of Animal Act 1978,81
-1(B) (b) IPC 1860,79
"KARNATAKA IRRIGATION ACT, 1965",78
Explosive Rules 2008,77
(10)(11) IPC 1860,76
A PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,76
"(r),3(1) (s) IPC 1860",73
"PROTECTION OF CIVIL RIGHTS ACT,1955",73
(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,72
(D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,72
"(r) (s),3(2)(va) IPC 1860",71
Karnataka Muncipal Corporation Act 1976,71
INDIAN TELEGRAPH ACT - 1885,70
"(II),5(L),6 IPC 1860",70
"NEGOTIABLE INSTRUMENTS ACT, 1881",69
(d) IPC 1860,66
(r) (s) IPC 1860,65
Karnataka Electricity Act 2003,65
"(II),6 IPC 1860",65
"FOREIGNERS ORDER ACT, 1948",64
"(r),3(1)(s),3(1)(w) IPC 1860",63
"JUVENILE JUSTICE ACT, 1986",63
(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,62
(w)(i)(ii) IPC 1860,58
(b) IPC 1860,58
"(A),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",57
DRUGS CONTROL ACT 1950,56
"PRISONS ACT, 1894",56
(n) Prohibition of Child Marriage Act 2006,55
"(f),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",55
"(r)(s),3(2)(5a) IPC 1860",54
THE KARNATAKA PREVENTION OF CHARGING EXORBITANT INTEREST ACT 2004,53
The Karnataka Phohibition of Violence against Medicare service personnel and Damage to Property in Medicare Service Institutions Act 2009,52
"Maintenance and Welfare of Parents and Senior Citizens Act, 2007",52
"A,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",51
FOOD SAFETY AND STANDARDS ACT-2006,51
"PETROLEUM ACT, 1934",49
"KARNATAKA CO-OPERATIVE SOCIETIES ACT, 1959",49
KARNATAKA PANCHAYAT ACT - 1993,48
"(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",48
(w) IPC 1860,48
"ANCIENT MONUMENT & ARCH.SITES & REMAINS ACT,1958",46
"(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",46
"THE SPECIFIED BANK NOTES(CESSATIONOF LIABILITIES)ACT, 2017",46
(1A) IPC 1860,45
KARNATAKA ELECTRICITY REFORM ACT 1999,45
"(II),6 Prohibition of Child Marriage Act 2006",44
"REGISTRATION ACT, 1908",43
KARNATAKA REGISTRATION ACT 1908,43
"(w)(i)(ii),3(2)(va) IPC 1860",42
"(n) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",41
"(v-a),3(1)(s),3(1)(r) IPC 1860",40
"The Prize Chits and Money Circulation Schemes (Banning) Act, 1978",40
"(b) EXPLOSIVE SUBSTANCES ACT, 1908",40
"(n) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",39
"(r),3(2)(va) IPC 1860",39
"(n),34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",39
"Karnataka Prevention and Eradication of Inhuman Evil Practices and Black Magic Act, 2017",39
/181 IPC 1860,39
(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,38
(B) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,37
"The Karnataka essential services maintenance act, 2013",37
"(ii) (B) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",36
"(V),3(2)(v-a) IPC 1860",36
"PREVENTION OF CORRUPTION ACT, 1988",35
Cigarettes and Other Tobacco Products (Packging and Labelling) amendment Rules - 2014,34
"(i),4,6,8 IPC 1860",34
"PREVENTION OF FOOD ADULTERATION ACT, 1954",34
(10) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,33
"(ii) A NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",33
(A) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,33
(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015,32
"(3) KARNATAKA POLICE ACT, 1963",32
KARNATAKA MINING ACT,32
"-1(B) (b),4 IPC 1860",32
Indian Telegraph Act 1985,32
"(I),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",31
(ii)(A) IPC 1860,31
(v-a) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,31
(5a) IPC 1860,31
"IRRIGATION ACT, 1963",30
"(r),3(1)(s),3(2)(V) IPC 1860",30
"(n),344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",30
IMMIGRATION ACT,30
"(ii)(A) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",30
(11) IPC 1860,29
(A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,29
"ESSENTIAL SERVICES MAINTENANCE ACT, 1981",28
"(ii) B NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",28
"(s),3(1)(r),3(2)(va) IPC 1860",27
(2) IPC 1860,27
KARNATAKA PREVENTION OF ANIMAL SACRIFICES ACT 1959,27
(W) (I) IPC 1860,27
FERTILIZER ACT,27
(r)(s) The SC & ST (Prevention of Atrocities) Amendment Act 2015,27
"THE KARNATAKA PROHIBITION OF SMOKING AND PROTECTION OF HEALTH OF NON SMOKERS ACT, 2001",27
(n) The SC & ST (Prevention of Atrocities) Amendment Act 2015,26
(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,26
The Specified Bank Notes (Cessation of Liabilities) Act 2017,26
"(n),366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",26
"(r)(s),3(2)(v-a) IPC 1860",26
(X) IPC 1860,26
(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,26
"INDIAN FOREST ACT, 1927",26
"(va),3(1) (r) (s) IPC 1860",26
"(n),354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",26
"DRUGS AND COSMETICS ACT, 1940",25
(V) The SC & ST (Prevention of Atrocities) Amendment Act 2015,25
"Indian Treasure Trove Act, 1878",25
Karanata State Public Records Act-2010,25
"B,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",25
(n) CHILD MARRIAGE RESTRAINT ACT,25
"UNLAWFUL ACTIVITIES (PREVENTION) ACT, 1967",25
(10) The SC & ST (Prevention of Atrocities) Amendment Act 2015,25
"(r),3(1)(s) The SC & ST (Prevention of Atrocities) Amendment Act 2015",24
"(I),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",24
(5) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,24
"(E),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",24
"(n),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",24
(II) Prohibition of Child Marriage Act 2006,24
"(D),11(1) (A) INDIAN MOTOR VEHICLES ACT, 1988",24
KARNATAKA RACE BETTING ACT,24
"(w)(i)(ii),3 (2)(v) IPC 1860",24
(ii) A IPC 1860,24
"MOTOR VEHICLE (TAX) ACT, 1958",23
(a) IPC 1860,23
"(r),3(1) (s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",23
"(II),6,5(L) IPC 1860",23
(w)(i) IPC 1860,23
(D) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,23
"(va),3(1)(r) IPC 1860",22
"(va),3(1)(s),3(1)(r) IPC 1860",22
"(r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",22
"THE BANGALORE WATER SUPPLY AND SEWERAGE ACT, 1964",22
"THE KARNATAKA REGULATION OF STONE CRUSHERS ACT, 2011",22
"KARNATAKA PRESERVATION OF TREES ACT, 1976",22
"(r),3(2)(v-a) IPC 1860",22
"(i)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",21
"INDECENT REPREN. OF WOMEN (PROHIBITION) ACT, 1986",21
"(s),3(1)(r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",21
(W) (I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,21
"(r),3(1)(s) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",21
(2) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,21
"(r),3(1)(s),3(1)(w),3(2)(va) IPC 1860",21
"(w),3 (2)(v) IPC 1860",21
(q) Karnataka SC/ST & Other B .C. [ Reservation Of Appointment ACT] -1990,20
"(V),3(1)(s),3(1)(r) IPC 1860",20
"Karnataka Prevention and Eradication of Inhuman Evil Practices and Black Magic Bill, 2017",20
"(r),3(1)(s),3(2)(V),3(2)(v-a) IPC 1860",20
"(II),5(L),6 Prohibition of Child Marriage Act 2006",20
"-ii INDIAN MOTOR VEHICLES ACT, 1988",20
KARNATAKA AYURVEDIC & UNANI PRACT. REGI. & MEDICAL PRACT. MISC. PROV. ACT,20
"(s),3(1) (r) IPC 1860",20
"KARNATAKA TREASURE TROVE ACT, 1962",20
"(r),3(1)(s),3(1)(w),3(2)(v-a) IPC 1860",20
"(B),4 IPC 1860",20
(B) INFORMATION TECHNOLOGY ACT 2000,20
(1) IPC 1860,20
(A) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,20
"(E),11(1) (D),11(1) (A) INDIAN MOTOR VEHICLES ACT, 1988",20
"ESSENTIAL COMMODITIES (LICENSING) ORDER, 1986",19
CEA (Measures Relating to Safety & Electric Supply) Regulations 2010,19
"(A),177 IPC 1860",19
"The Karnataka Protection of Right to Freedom of Religion Ordinance, 2022",19
"(w),3(2)(va) IPC 1860",19
"The Commissions for Protection of Child Rights Act, 2005",19
"(A) ESSENTIAL COMMODITIES ACT, 1955",19
"(10),21(1),21(2),21(3),21(4) INDIAN MOTOR VEHICLES ACT, 1988",19
"(r) (s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",18
(v-a) The SC & ST (Prevention of Atrocities) Amendment Act 2015,18
"A,376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",18
"(r),3(1)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",18
(x) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,18
"(r),3(1)(s),3(1)(w)(i)(ii) IPC 1860",18
"(r),3(1)(s),3(2)(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015",18
"(n),376(3),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17
"(r),3(2)(V) IPC 1860",17
"(A) KARNATAKA POLICE ACT, 1963",17
THE FERTILISER (CONTROL) ORDER,17
"(va) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",17
"(w),3(2)(V) IPC 1860",17
(w)(i)(ii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,17
(r) The SC & ST (Prevention of Atrocities) Amendment Act 2015,17
"(f),376(2)(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17
"(r),3(1)(s),3(2)(v-a),3(1)(w) IPC 1860",17
"(r),3(1)(s),3 (2)(v) IPC 1860",17
"(A),230 (A),177 IPC 1860",17
(A) KARNATAKA NEW SAND POLICY 2011,17
"(s),3(2)(va) IPC 1860",16
"(r),3(1) (s),3(2)(5a) IPC 1860",16
"The Karnataka Essential Commodities (Maintenance of Accounts, Display of Prices and Stocks) Order, 1981",16
(w) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,16
"(r),3(1)(s) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",16
"(va),3(1)(r),3(1)(s) IPC 1860",16
"(5a),3(1)(r)(s) IPC 1860",16
(ii) (B) IPC 1860,16
(va) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,16
(1A) KARNATAKA LAND REVENUE ACT 1964,16
Central Electricity Authority Regulations 2010,16
(E) IPC 1860,16
"(W) (I) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",16
"INDIAN MEDICAL COUNCIL ACT, 1956",16
"(a)(b)(c),4(1)(A) ESSENTIAL COMMODITIES ACT, 1955",16
"(h),5(1),5(4) IPC 1860",16
(v-a) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,15
"(s),3(1)(r),3(2)(v-a) IPC 1860",15
"(n),366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",15
"(s),3(2)(v-a) IPC 1860",15
"(w),3(1)(s),3(1)(r) IPC 1860",15
(L) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,15
"(n),363,366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",15
"(i),4,6,8 KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016",15
KARNATAKA LAND GRABBING PROHIBITION BILL 2007,15
(c) IPC 1860,15
(f) IPC 1860,15
"(r),3(1)(s),3(1)(w)(i)(ii),3(2)(va) IPC 1860",15
"(D),11(1) (E) INDIAN MOTOR VEHICLES ACT, 1988",15
"(r)(s),3(2)(5a) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",15
"(r),2(v) IPC 1860",15
"(n),376(1) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",14
Cigarettes and Other Tobacco Products (Packging and Labelling) Rules - 2008,14
"(i),8 ESSENTIAL COMMODITIES ACT, 1955",14
(ii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,14
KARNATAKA PRISONERS RULE 1974,14
"(r),3(2)(va),3(1)(s) IPC 1860",14
(V) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,14
"(d) KARNATAKA POLICE ACT, 1963",14
"PREVENTION OF ANIMAL SACRIFICE ACT, 1959",14
"(f),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",14
"THE PETROLEUM AND MINERALS PIPELINES ACT, 1962",14
THE KARNATAKA GROUND WATER (REGULATION AND CONTROL OF DEVELOPMENT AND MANAGEMENT) ACT 2011,13
(1) (A) (B) IPC 1860,13
"(s),3(1) (r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",13
National Highway Authority Act 1956,13
MOTOR SPIRIT & HIGH SPEED DIESEL ORDER ACT 1999,13
"ANTIQUES AND ART TREASURES ACT, 1972",13
"THE FOREIGNERS (AMENDMENT) ACT, 2004",13
(5a) The SC & ST (Prevention of Atrocities) Amendment Act 2015,13
"Kerosene (Restriction on use and Fixation of selling price) Act, 1993",13
"(va),3 (2)(v) IPC 1860",13
"(r)(s) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",13
"(v-a),3(2)(V) IPC 1860",13
"(II),5(L),5(n),6 IPC 1860",13
"(b),63 IPC 1860",13
"The Poisons Act, 1919",13
TOBACCO BOARD (AMENDMENT) ACT 1975,13
"RiGHT OF PERSONS WITH DISABILITY ACT, 2016",13
"FIRE FORCE ACT, 1964",13
(iii) INFORMATION TECHNOLOGY ACT 2000,13
"(n),114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",13
(D) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,13
"(va),0 IPC 1860",13
"(1A),21(2),21(3),21(4),21(4A),21(5) IPC 1860",13
"(h),5,9 IPC 1860",13
"(n),504,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12
"(va),3(1)(w) IPC 1860",12
"(w),3(2)(v-a) IPC 1860",12
"(r),3(1) (s),3(2)(v-a) IPC 1860",12
KARNATAKA PRIVATE MEDICAL INISTITUTION ACT 2007,12
"(i) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",12
[1] [a] IPC 1860,12
"(r),3(1)(s),3(2)(v-a),3(2)(V) IPC 1860",12
"(n),149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12
"(r),3(2)(v-a),3(1) (s) IPC 1860",12
"(10),21(5) KARNATAKA LAND REVENUE ACT 1964",12
"(r),3(2)(5a) IPC 1860",12
"EMBLEMS & NAME (PREV. OF IMPROPER USE)ACT,1950",12
The Ancient Monuments and Archeological sites and Remains(Amendment and Violations Act 2010),12
"(f),376(2)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12
"(n),343 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12
(s) The SC & ST (Prevention of Atrocities) Amendment Act 2015,12
(A) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,12
"(D),12 KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",12
"(B) THE DISASTER MANAGEMENT ACT, 2005",11
"(f),376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",11
"(f),376(2)(I),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",11
(4) IPC 1860,11
"COMPANIES ACT, 1956",11
"(a),4(2) (h),5(1),5(3) THE DISASTER MANAGEMENT ACT, 2005",11
"The Karnataka Land Grabbing Prohibition Act, 2011",11
"(i),4,8 KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016",11
"(v-a),3(2)(V),3(1)(s),3(1)(r) IPC 1860",11
The Immigration Act 1983,11
"FOREIGN CONTRIBUTION (REGULATION) ACT, 1952",11
"(r)(s),3(1) (W) (I) IPC 1860",11
"(A),21 IPC 1860",11
"(10),3(2)(5) IPC 1860",11
"(w)(i)(ii),3(2)(V) IPC 1860",11
(e) IPC 1860,11
(ii) B IPC 1860,11
The Bangalore Water Supply and Sewerage (Amendment) Act 2011,11
"INDIAN POST OFFICE ACT, 1898",11
"The Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Bill, 2016",11
Karnataka Control of Organised Crime Act -2000,11
"(A),11(1) (D) IPC 1860",11
Transport of Animal (amendment) Rules 2001,11
"(a)(i) GAS SUPPLY ACT(LPG ACT REGULATION AND SUPPLY DISTRIBUTION ORDER 2000),1939",11
"(ii) C NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",11
"(1A) INDIAN MOTOR VEHICLES ACT, 1988",11
"(n),363 The SC & ST (Prevention of Atrocities) Amendment Act 2015",11
(ii)(I)(n)/6 IPC 1860,11
"(II),6 CHILD MARRIAGE RESTRAINT ACT",11
(2)(v) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,10
"(r)(s),3(2)(V) IPC 1860",10
(2) INFORMATION TECHNOLOGY ACT 2000,10
(xi) IPC 1860,10
"(r) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",10
"(s),3(1)(r) The SC & ST (Prevention of Atrocities) Amendment Act 2015",10
