case_id,person_token,role,district,year
SYN-C-00045,PT-d57835c4873d,accused,Bengaluru Urban,2023
SYN-C-00046,PT-50a702fcaf51,accused,Bengaluru Urban,2019
SYN-C-00047,PT-cc89a2417a64,accused,Bengaluru Urban,2022
SYN-C-00048,PT-5d8129e9ff21,accused,Bengaluru Urban,2022
SYN-C-00049,PT-ed2edf053809,accused,Mysuru,2020
SYN-C-00049,PT-b3ae05726503,accused,Mysuru,2020
SYN-C-00050,PT-d4fbb22dd2f1,accused,Bengaluru Urban,2021
SYN-C-00051,PT-69af6c67e37a,accused,Bengaluru Urban,2023
SYN-C-00051,PT-112e744f290c,accused,Bengaluru Urban,2023
SYN-C-00052,PT-491e4bb95e4d,accused,Belagavi,2023
SYN-C-00052,PT-d361089c6fd6,accused,Belagavi,2023
SYN-C-00053,PT-90fbec1baf81,accused,Bengaluru Urban,2021
SYN-C-00054,PT-a16d0ab99428,accused,Bengaluru Urban,2020
SYN-C-00054,PT-3f1aa004e6bc,accused,Bengaluru Urban,2020
SYN-C-00055,PT-09a9ad90a306,accused,Bengaluru Urban,2019
SYN-C-00055,PT-94fd8117985a,accused,Bengaluru Urban,2019
SYN-C-00056,PT-e9f17de22f12,accused,Kalaburagi,2021
SYN-C-00057,PT-f9651074cf41,accused,Bengaluru Urban,2021
SYN-C-00057,PT-c924fd215fa5,accused,Bengaluru Urban,2021
SYN-C-00058,PT-9f0836d56202,accused,Tumakuru,2022
SYN-C-00058,PT-e0ce425f2764,accused,Tumakuru,2022
SYN-C-00059,PT-2d2079529a6e,accused,Bengaluru Urban,2022
SYN-C-00059,PT-a5264512a918,accused,Bengaluru Urban,2022
SYN-C-00060,PT-8977ac447529,accused,Bengaluru Urban,2023
SYN-C-00061,PT-49f0b6d2a5a2,accused,Bengaluru Urban,2023
SYN-C-00061,PT-dea182d72e5b,accused,Bengaluru Urban,2023
SYN-C-00062,PT-ed2edf053809,accused,Bengaluru Urban,2023
SYN-C-00063,PT-e9f17de22f12,accused,Bengaluru Urban,2019
SYN-C-00063,PT-8db7457cebd8,accused,Bengaluru Urban,2019
SYN-C-00064,PT-6707c01eae16,accused,Bengaluru Urban,2021
SYN-C-00064,PT-51d28000d351,accused,Bengaluru Urban,2021
SYN-C-00065,PT-389f9f40f1a7,accused,Bengaluru Urban,2020
SYN-C-00065,PT-a2a85cfc0ccf,accused,Bengaluru Urban,2020
SYN-C-00066,PT-389f9f40f1a7,accused,Bengaluru Urban,2021
SYN-C-00066,PT-07bb978d86de,accused,Bengaluru Urban,2021
SYN-C-00067,PT-189a8e0d0242,accused,Bengaluru Urban,2019
SYN-C-00068,PT-fdb71087e858,accused,Tumakuru,2021
SYN-C-00069,PT-90fbec1baf81,accused,Bengaluru Urban,2019
SYN-C-00070,PT-1ba063f73667,accused,Bengaluru Urban,2023
SYN-C-00071,PT-d57835c4873d,accused,Bengaluru Urban,2020
SYN-C-00071,PT-d16cd5b25fc0,accused,Bengaluru Urban,2020
SYN-C-00072,PT-e53eac173218,accused,Mysuru,2020
SYN-C-00073,PT-82ef14f97589,accused,Bengaluru Urban,2023
SYN-C-00073,PT-32515d99566f,accused,Bengaluru Urban,2023
SYN-C-00074,PT-f1b9851cda2c,accused,Bengaluru Urban,2019
SYN-C-00074,PT-91b92510a9b9,accused,Bengaluru Urban,2019
SYN-C-00075,PT-d2d410b2b20e,accused,Mysuru,2019
SYN-C-00075,PT-bcf7879735d4,accused,Mysuru,2019
SYN-C-00076,PT-50adbfcec420,accused,Tumakuru,2019
SYN-C-00076,PT-633fc1cd83dd,accused,Tumakuru,2019
SYN-C-00077,PT-f7f824ec3edf,accused,Mysuru,2022
SYN-C-00077,PT-a4b28e67e7b4,accused,Mysuru,2022
SYN-C-00078,PT-5d8129e9ff21,accused,Bengaluru Urban,2022
SYN-C-00079,PT-c0db464d88e2,accused,Bengaluru Urban,2019
SYN-C-00080,PT-6da2a8fc1848,accused,Bengaluru Urban,2019
SYN-C-00081,PT-c0db464d88e2,accused,Mysuru,2023
SYN-C-00082,PT-acf55546599a,accused,Bengaluru Urban,2022
SYN-C-00083,PT-9209070d06f2,accused,Bengaluru Urban,2019
SYN-C-00083,PT-b03937c96654,accused,Bengaluru Urban,2019
SYN-C-00084,PT-9fb05786e45e,accused,Mysuru,2021
SYN-C-00085,PT-d1cd8111276a,accused,Bengaluru Urban,2023
SYN-C-00086,PT-de447b7a8fba,accused,Bengaluru Urban,2022
SYN-C-00086,PT-621a6279c929,accused,Bengaluru Urban,2022
SYN-C-00087,PT-8f2c062c1114,accused,Bengaluru Urban,2021
SYN-C-00087,PT-3925494a66d3,accused,Bengaluru Urban,2021
SYN-C-00088,PT-186f7dd1aedc,accused,Bengaluru Urban,2021
SYN-C-00089,PT-c0db464d88e2,accused,Bengaluru Urban,2020
SYN-C-00090,PT-a4e239e96190,accused,Belagavi,2021
SYN-C-00090,PT-9106f5aa9d13,accused,Belagavi,2021
SYN-C-00091,PT-12e6ea51cc14,accused,Mysuru,2020
SYN-C-00092,PT-f8e52738a9b6,accused,Bengaluru Urban,2022
SYN-C-00093,PT-498e24d57f13,accused,Bengaluru Urban,2022
SYN-C-00094,PT-107eb704209a,accused,Bengaluru Urban,2020
SYN-C-00094,PT-63fa04e4ece5,accused,Bengaluru Urban,2020
SYN-C-00095,PT-d37ab6bf0657,accused,Bengaluru Urban,2023
SYN-C-00095,PT-debcb8d1edda,accused,Bengaluru Urban,2023
SYN-C-00096,PT-3cc24e0b758f,accused,Belagavi,2021
SYN-C-00096,PT-0336dc843612,accused,Belagavi,2021
SYN-C-00096,PT-f51f6480af36,accused,Belagavi,2021
SYN-C-00097,PT-d10040551765,accused,Bengaluru Urban,2021
SYN-C-00097,PT-8b900b2e721c,accused,Bengaluru Urban,2021
SYN-C-00098,PT-64877faa7769,accused,Belagavi,2021
SYN-C-00098,PT-fd2c950a3e17,accused,Belagavi,2021
SYN-C-00098,PT-9db0ded0c0a8,accused,Belagavi,2021
SYN-C-00099,PT-60ff49185d3e,accused,Bengaluru Urban,2019
SYN-C-00099,PT-d4fbb22dd2f1,accused,Bengaluru Urban,2019
SYN-C-00099,PT-da78997699a7,accused,Bengaluru Urban,2019
SYN-C-00099,PT-f2779299c8fd,accused,Bengaluru Urban,2019
SYN-C-00100,PT-3933e8d1e2fd,accused,Tumakuru,2021
SYN-C-00100,PT-1326c2aa8fe1,accused,Tumakuru,2021
SYN-C-00101,PT-189a8e0d0242,accused,Bengaluru Urban,2023
SYN-C-00101,PT-63951de968b7,accused,Bengaluru Urban,2023
SYN-C-00102,PT-de447b7a8fba,accused,Bengaluru Urban,2021
SYN-C-00103,PT-d4fbb22dd2f1,accused,Bengaluru Urban,2022
SYN-C-00104,PT-9fb05786e45e,accused,Mysuru,2020
SYN-C-00104,PT-a992f89fa8e6,accused,Mysuru,2020
SYN-C-00105,PT-6b98810d274d,accused,Bengaluru Urban,2021
SYN-C-00105,PT-90f1bfa30dab,accused,Bengaluru Urban,2021
SYN-C-00106,PT-70dcb0f6e363,accused,Bengaluru Urban,2022
SYN-C-00107,PT-15b5f60b12bd,accused,Bengaluru Urban,2023
SYN-C-00107,PT-2ac35f657e93,accused,Bengaluru Urban,2023
SYN-C-00108,PT-107eb704209a,accused,Bengaluru Urban,2021
SYN-C-00109,PT-3cc24e0b758f,accused,Bengaluru Urban,2022
SYN-C-00109,PT-beac0d56316b,accused,Bengaluru Urban,2022
SYN-C-00110,PT-6707c01eae16,accused,Bengaluru Urban,2023
SYN-C-00111,PT-7a6cde5a7a9f,accused,Mysuru,2022
SYN-C-00112,PT-906a7bd3245d,accused,Bengaluru Urban,2019
SYN-C-00113,PT-eb8133893722,accused,Mysuru,2023
SYN-C-00113,PT-fba8ff6efb8a,accused,Mysuru,2023
SYN-C-00114,PT-60ff49185d3e,accused,Belagavi,2019
SYN-C-00115,PT-061d9627dfd3,accused,Bengaluru Urban,2023
SYN-C-00116,PT-1ba063f73667,accused,Kalaburagi,2021
SYN-C-00116,PT-6ec984cf728e,accused,Kalaburagi,2021
SYN-C-00117,PT-fb2998be8f3b,accused,Bengaluru Urban,2019
SYN-C-00118,PT-b48c72ce3f65,accused,Bengaluru Urban,2021
SYN-C-00118,PT-c697727b0118,accused,Bengaluru Urban,2021
SYN-C-00119,PT-09a9ad90a306,accused,Kalaburagi,2021
SYN-C-00120,PT-66f55ef2b7ab,accused,Belagavi,2020
SYN-C-00121,PT-f9651074cf41,accused,Bengaluru Urban,2023
SYN-C-00122,PT-82c78b54162c,accused,Kalaburagi,2019
SYN-C-00123,PT-69af6c67e37a,accused,Bengaluru Urban,2022
SYN-C-00124,PT-dbdb99d7d8fb,accused,Bengaluru Urban,2023
SYN-C-00125,PT-6707c01eae16,accused,Bengaluru Urban,2020
SYN-C-00125,PT-a6fe9fdfe437,accused,Bengaluru Urban,2020
SYN-C-00126,PT-a16d0ab99428,accused,Bengaluru Urban,2019
SYN-C-00127,PT-906a7bd3245d,accused,Bengaluru Urban,2021
SYN-C-00128,PT-f7f824ec3edf,accused,Bengaluru Urban,2019
SYN-C-00128,PT-ec633e81077b,accused,Bengaluru Urban,2019
SYN-C-00129,PT-de447b7a8fba,accused,Bengaluru Urban,2021
SYN-C-00130,PT-48db25cbb1fa,accused,Tumakuru,2020
SYN-C-00130,PT-4bd3127bf847,accused,Tumakuru,2020
SYN-C-00131,PT-a16d0ab99428,accused,Bengaluru Urban,2022
SYN-C-00132,PT-1ba063f73667,accused,Bengaluru Urban,2021
SYN-C-00132,PT-f0c20aa78065,accused,Bengaluru Urban,2021
SYN-C-00133,PT-4106a2dfa2e9,accused,Bengaluru Urban,2020
SYN-C-00133,PT-75aac64af3d2,accused,Bengaluru Urban,2020
SYN-C-00134,PT-18f058b63bed,accused,Tumakuru,2020
SYN-C-00135,PT-1ec453ba768d,accused,Bengaluru Urban,2021
SYN-C-00135,PT-23f846f2fd8b,accused,Bengaluru Urban,2021
SYN-C-00136,PT-8bb403603d28,accused,Tumakuru,2022
SYN-C-00137,PT-186f7dd1aedc,accused,Bengaluru Urban,2022
SYN-C-00138,PT-d51d30282929,accused,Bengaluru Urban,2022
SYN-C-00139,PT-f3b272084b9b,accused,Mysuru,2021
SYN-C-00139,PT-067d1eabc248,accused,Mysuru,2021
SYN-C-00140,PT-e9f17de22f12,accused,Bengaluru Urban,2023
SYN-C-00140,PT-482aa305fd81,accused,Bengaluru Urban,2023
SYN-C-00141,PT-50a702fcaf51,accused,Bengaluru Urban,2022
SYN-C-00141,PT-87ea491c4aa5,accused,Bengaluru Urban,2022
SYN-C-00142,PT-291fcb7cf7b8,accused,Bengaluru Urban,2021
SYN-C-00142,PT-d8e0eda950b6,accused,Bengaluru Urban,2021
SYN-C-00143,PT-442076ee3be1,accused,Mysuru,2021
SYN-C-00144,PT-985a9621838d,accused,Bengaluru Urban,2021
SYN-C-00144,PT-b84635a97f44,accused,Bengaluru Urban,2021
SYN-C-00145,PT-d08fc58b0b4b,accused,Mysuru,2023
SYN-C-00146,PT-c840153b9631,accused,Belagavi,2023
SYN-C-00147,PT-9f7f42766bfe,accused,Bengaluru Urban,2021
SYN-C-00148,PT-340c5bdd3ab5,accused,Bengaluru Urban,2022
SYN-C-00149,PT-f2fd892f9644,accused,Tumakuru,2020
SYN-C-00149,PT-9baa287e017a,accused,Tumakuru,2020
SYN-C-00149,PT-37af8549ac08,accused,Tumakuru,2020
SYN-C-00150,PT-9209070d06f2,accused,Bengaluru Urban,2020
SYN-C-00150,PT-5094cac97c69,accused,Bengaluru Urban,2020
SYN-C-00151,PT-15b5f60b12bd,accused,Kalaburagi,2021
SYN-C-00151,PT-3028cc5e3ee9,accused,Kalaburagi,2021
SYN-C-00152,PT-99739af8c16a,accused,Bengaluru Urban,2023
SYN-C-00152,PT-48bb83656f31,accused,Bengaluru Urban,2023
SYN-C-00153,PT-829861310679,accused,Bengaluru Urban,2023
SYN-C-00154,PT-1ba063f73667,accused,Bengaluru Urban,2023
SYN-C-00155,PT-186f7dd1aedc,accused,Tumakuru,2022
SYN-C-00155,PT-6c294f7f958f,accused,Tumakuru,2022
SYN-C-00156,PT-2d2079529a6e,accused,Bengaluru Urban,2021
SYN-C-00156,PT-5fd08f3d5745,accused,Bengaluru Urban,2021
SYN-C-00157,PT-82ef14f97589,accused,Bengaluru Urban,2021
SYN-C-00158,PT-9f0836d56202,accused,Bengaluru Urban,2019
SYN-C-00159,PT-fb2998be8f3b,accused,Belagavi,2022
SYN-C-00159,PT-7aeda455131f,accused,Belagavi,2022
SYN-C-00160,PT-70dcb0f6e363,accused,Bengaluru Urban,2019
SYN-C-00160,PT-041377c9cfd6,accused,Bengaluru Urban,2019
SYN-C-00161,PT-d1cd8111276a,accused,Mysuru,2022
SYN-C-00161,PT-44d924e0ed8c,accused,Mysuru,2022
SYN-C-00162,PT-09a9ad90a306,accused,Kalaburagi,2023
SYN-C-00163,PT-8bb403603d28,accused,Bengaluru Urban,2019
SYN-C-00163,PT-0885c4474dd1,accused,Bengaluru Urban,2019
SYN-C-00164,PT-4106a2dfa2e9,accused,Bengaluru Urban,2023
SYN-C-00165,PT-985a9621838d,accused,Bengaluru Urban,2022
SYN-C-00165,PT-c7658c154cfa,accused,Bengaluru Urban,2022
SYN-C-00166,PT-49f0b6d2a5a2,accused,Bengaluru Urban,2022
SYN-C-00166,PT-394693ab5471,accused,Bengaluru Urban,2022
SYN-C-00167,PT-d1cd8111276a,accused,Bengaluru Urban,2023
SYN-C-00167,PT-6f49fb897a32,accused,Bengaluru Urban,2023
SYN-C-00168,PT-498e24d57f13,accused,Bengaluru Urban,2020
SYN-C-00168,PT-cae4b6b2944b,accused,Bengaluru Urban,2020
SYN-C-00169,PT-8bb403603d28,accused,Tumakuru,2021
SYN-C-00169,PT-03c1778157c7,accused,Tumakuru,2021
SYN-C-00170,PT-51fba6eb0ecf,accused,Bengaluru Urban,2022
SYN-C-00171,PT-6da2a8fc1848,accused,Bengaluru Urban,2023
SYN-C-00171,PT-60ee40427279,accused,Bengaluru Urban,2023
SYN-C-00172,PT-40fc085e5107,accused,Bengaluru Urban,2023
SYN-C-00172,PT-de981ce86a71,accused,Bengaluru Urban,2023
SYN-C-00173,PT-8f2c062c1114,accused,Bengaluru Urban,2019
SYN-C-00173,PT-79c1af3cb03b,accused,Bengaluru Urban,2019
SYN-C-00174,PT-b7f9364954f9,accused,Belagavi,2023
SYN-C-00175,PT-cc8e155c20fe,accused,Bengaluru Urban,2021
SYN-C-00176,PT-48033c5d14d9,accused,Bengaluru Urban,2023
SYN-C-00177,PT-e63e05a2c06f,accused,Kalaburagi,2021
SYN-C-00178,PT-72a1266778d5,accused,Bengaluru Urban,2023
SYN-C-00178,PT-8b39b9c23fc8,accused,Bengaluru Urban,2023
SYN-C-00179,PT-b48c72ce3f65,accused,Bengaluru Urban,2019
SYN-C-00179,PT-d0fbf318cd37,accused,Bengaluru Urban,2019
SYN-C-00180,PT-dbdb99d7d8fb,accused,Mysuru,2022
SYN-C-00180,PT-bec46eefa4f8,accused,Mysuru,2022
SYN-C-00181,PT-88965ac86edb,accused,Kalaburagi,2020
SYN-C-00181,PT-7225b1e9ae84,accused,Kalaburagi,2020
SYN-C-00182,PT-9fb05786e45e,accused,Mysuru,2021
SYN-C-00182,PT-11e49203c796,accused,Mysuru,2021
SYN-C-00182,PT-13727604ce9f,accused,Mysuru,2021
SYN-C-00183,PT-8f8632f61565,accused,Bengaluru Urban,2022
SYN-C-00183,PT-36b3eba13ed0,accused,Bengaluru Urban,2022
SYN-C-00184,PT-cc8e155c20fe,accused,Mysuru,2022
SYN-C-00184,PT-26e5fbca8482,accused,Mysuru,2022
SYN-C-00185,PT-03dc6d0c9ddc,accused,Belagavi,2022
SYN-C-00185,PT-f64a0bf85eab,accused,Belagavi,2022
SYN-C-00186,PT-74382df4f4fe,accused,Belagavi,2021
SYN-C-00186,PT-8a70f9d1af96,accused,Belagavi,2021
SYN-C-00187,PT-132c71bf8956,accused,Belagavi,2020
SYN-C-00187,PT-3997deadd6ec,accused,Belagavi,2020
SYN-C-00188,PT-1ba063f73667,accused,Bengaluru Urban,2020
SYN-C-00188,PT-10098e894a95,accused,Bengaluru Urban,2020
SYN-C-00189,PT-5f0898172c0e,accused,Bengaluru Urban,2020
SYN-C-00189,PT-d247102db56c,accused,Bengaluru Urban,2020
SYN-C-00190,PT-9f7f42766bfe,accused,Bengaluru Urban,2019
SYN-C-00190,PT-92b60bb9423e,accused,Bengaluru Urban,2019
SYN-C-00191,PT-914673afb7d1,accused,Bengaluru Urban,2022
SYN-C-00191,PT-666d8c32e0ae,accused,Bengaluru Urban,2022
SYN-C-00192,PT-d51d30282929,accused,Belagavi,2021
SYN-C-00192,PT-bf7f6b47d292,accused,Belagavi,2021
SYN-C-00193,PT-d4fbb22dd2f1,accused,Bengaluru Urban,2022
SYN-C-00193,PT-302bada74f46,accused,Bengaluru Urban,2022
SYN-C-00194,PT-8977ac447529,accused,Bengaluru Urban,2019
SYN-C-00194,PT-76d7f70b5cbe,accused,Bengaluru Urban,2019
SYN-C-00195,PT-d10040551765,accused,Bengaluru Urban,2023
SYN-C-00195,PT-2f7f18c8b9cd,accused,Bengaluru Urban,2023
SYN-C-00196,PT-d1cd8111276a,accused,Belagavi,2020
SYN-C-00197,PT-8bb403603d28,accused,Bengaluru Urban,2020
SYN-C-00198,PT-03dc6d0c9ddc,accused,Tumakuru,2019
SYN-C-00198,PT-66bd70d56513,accused,Tumakuru,2019
SYN-C-00199,PT-82ef14f97589,accused,Bengaluru Urban,2022
SYN-C-00200,PT-340c5bdd3ab5,accused,Kalaburagi,2021
SYN-C-00200,PT-3f98344df5ee,accused,Kalaburagi,2021
SYN-C-00201,PT-498e24d57f13,accused,Bengaluru Urban,2023
SYN-C-00201,PT-761651b5b820,accused,Bengaluru Urban,2023
SYN-C-00201,PT-8c3855bdf463,accused,Bengaluru Urban,2023
SYN-C-00202,PT-dfa32d232107,accused,Bengaluru Urban,2023
SYN-C-00203,PT-f3b272084b9b,accused,Bengaluru Urban,2019
SYN-C-00204,PT-8f8632f61565,accused,Bengaluru Urban,2022
SYN-C-00204,PT-f8c4daac4079,accused,Bengaluru Urban,2022
SYN-C-00205,PT-b49113f68853,accused,Belagavi,2022
SYN-C-00206,PT-50adbfcec420,accused,Kalaburagi,2020
SYN-C-00206,PT-85a80a38b362,accused,Kalaburagi,2020
SYN-C-00207,PT-f1b9851cda2c,accused,Tumakuru,2021
SYN-C-00208,PT-d08fc58b0b4b,accused,Mysuru,2019
SYN-C-00209,PT-d4fbb22dd2f1,accused,Belagavi,2022
SYN-C-00209,PT-e09c2cdff774,accused,Belagavi,2022
SYN-C-00210,PT-8f8632f61565,accused,Bengaluru Urban,2021
SYN-C-00210,PT-e34f8ed1ac09,accused,Bengaluru Urban,2021
SYN-C-00211,PT-cc89a2417a64,accused,Bengaluru Urban,2020
SYN-C-00212,PT-50adbfcec420,accused,Bengaluru Urban,2019
SYN-C-00213,PT-8f2c062c1114,accused,Bengaluru Urban,2023
SYN-C-00213,PT-26c69fe405d8,accused,Bengaluru Urban,2023
SYN-C-00214,PT-5400017a00b8,accused,Kalaburagi,2020
SYN-C-00214,PT-916f28800992,accused,Kalaburagi,2020
SYN-C-00214,PT-13b03a874374,accused,Kalaburagi,2020
SYN-C-00215,PT-ed2edf053809,accused,Bengaluru Urban,2020
SYN-C-00216,PT-132c71bf8956,accused,Mysuru,2019
SYN-C-00216,PT-c52cc7348c2a,accused,Mysuru,2019
SYN-C-00217,PT-f83e5c311b82,accused,Kalaburagi,2020
SYN-C-00218,PT-48033c5d14d9,accused,Bengaluru Urban,2019
SYN-C-00218,PT-e6c99c90182a,accused,Bengaluru Urban,2019
SYN-C-00219,PT-e9f17de22f12,accused,Bengaluru Urban,2023
SYN-C-00219,PT-29a47a7a0fa9,accused,Bengaluru Urban,2023
SYN-C-00220,PT-5a05177ea328,accused,Mysuru,2021
SYN-C-00220,PT-2a2f322ec789,accused,Mysuru,2021
SYN-C-00221,PT-e63e05a2c06f,accused,Bengaluru Urban,2019
SYN-C-00221,PT-db232347c2c6,accused,Bengaluru Urban,2019
SYN-C-00222,PT-c27186992457,accused,Bengaluru Urban,2022
SYN-C-00222,PT-becd25469354,accused,Bengaluru Urban,2022
SYN-C-00223,PT-ed2edf053809,accused,Bengaluru Urban,2023
SYN-C-00223,PT-e03a67de9b7d,accused,Bengaluru Urban,2023
SYN-C-00224,PT-9209070d06f2,accused,Bengaluru Urban,2023
SYN-C-00224,PT-37e956c9f045,accused,Bengaluru Urban,2023
SYN-C-00225,PT-78e7635d29dc,accused,Bengaluru Urban,2019
SYN-C-00225,PT-d4167459a1e0,accused,Bengaluru Urban,2019
SYN-C-00226,PT-2d2079529a6e,accused,Bengaluru Urban,2023
SYN-C-00226,PT-4e3a322ee287,accused,Bengaluru Urban,2023
SYN-C-00227,PT-b49113f68853,accused,Bengaluru Urban,2023
SYN-C-00227,PT-5640a5523a68,accused,Bengaluru Urban,2023
SYN-C-00228,PT-48033c5d14d9,accused,Kalaburagi,2022
SYN-C-00229,PT-5366d4c3d647,accused,Kalaburagi,2020
SYN-C-00229,PT-5446854b918d,accused,Kalaburagi,2020
SYN-C-00230,PT-88965ac86edb,accused,Bengaluru Urban,2020
SYN-C-00230,PT-ca9ba6442020,accused,Bengaluru Urban,2020
SYN-C-00231,PT-9f0836d56202,accused,Bengaluru Urban,2023
SYN-C-00231,PT-21028e4f59df,accused,Bengaluru Urban,2023
SYN-C-00232,PT-12e6ea51cc14,accused,Mysuru,2020
SYN-C-00233,PT-dbdb99d7d8fb,accused,Mysuru,2021
SYN-C-00233,PT-1248fe077ce9,accused,Mysuru,2021
SYN-C-00234,PT-6b98810d274d,accused,Bengaluru Urban,2019
SYN-C-00235,PT-087a31ba66a3,accused,Belagavi,2021
SYN-C-00236,PT-88965ac86edb,accused,Bengaluru Urban,2023
SYN-C-00236,PT-b6131b98a537,accused,Bengaluru Urban,2023
