src,src_type,dst,dst_type,weight,log_weight,src_community,dst_community
IPC 1860,act,DACOITY,crime_head,5253,8.567,2,5
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,4412,8.392,1,1
IPC 1860,act,"THE DISASTER MANAGEMENT ACT, 2005",act,4290,8.364,2,4
IPC 1860,act,KARNATAKA POLICE ACT 1963,crime_head,4094,8.318,2,4
IPC 1860,act,RAPE,crime_head,3974,8.288,2,1
IPC 1860,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,3965,8.286,2,1
IPC 1860,act,CRIMINAL BREACH OF TRUST,crime_head,3721,8.222,2,2
IPC 1860,act,MISCHIEF,crime_head,3551,8.175,2,5
IPC 1860,act,"KARNATAKA EXCISE ACT, 1965",act,3492,8.159,2,4
IPC 1860,act,WRONGFUL RESTRAINT/CONFINEMENT,crime_head,3468,8.152,2,2
"ESSENTIAL COMMODITIES ACT, 1955",act,CONSUMER,crime_head,3316,8.107,6,6
IPC 1860,act,FORGERY,crime_head,3314,8.106,2,2
IPC 1860,act,AFFRAY,crime_head,3190,8.068,2,2
IPC 1860,act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,3051,8.024,2,4
IPC 1860,act,DEATHS DUE TO RASHNESS/NEGLIGENCE,crime_head,2973,7.998,2,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,Karnataka State Local Act,crime_head,2958,7.993,0,0
IPC 1860,act,Disobedience to Order Promulgated by PublicServan,crime_head,2703,7.902,2,4
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",act,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",crime_head,2683,7.895,4,4
IPC 1860,act,"CODE OF CRIMINAL PROCEDURE, 1973",act,2658,7.886,2,0
IPC 1860,act,ELECTION,crime_head,2627,7.874,2,4
Karnataka State Local Act,crime_head,KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,act,2586,7.858,0,4
IPC 1860,act,ARSON,crime_head,2548,7.843,2,5
CRUELTY BY HUSBAND,crime_head,"DOWRY PROHIBITION ACT, 1961",act,2505,7.826,2,2
THEFT,crime_head,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,2501,7.825,0,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,2227,7.709,0,0
IPC 1860,act,Prohibition of Child Marriage Act 2006,act,2173,7.684,2,3
Karnataka State Local Act,crime_head,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,2147,7.672,0,0
"IMMORAL TRAFFIC PREVENTION ACT, 1956",act,IMMORAL TRAFFIC,crime_head,2084,7.643,2,2
POCSO,crime_head,Prohibition of Child Marriage Act 2006,act,2073,7.637,3,3
"INDIAN MOTOR VEHICLES ACT, 1988",act,THEFT,crime_head,2026,7.614,0,0
Karnataka State Local Act,crime_head,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,2022,7.612,0,4
IPC 1860,act,COMMUNAL / RELIGION,crime_head,1952,7.577,2,2
THEFT,crime_head,"CODE OF CRIMINAL PROCEDURE, 1973",act,1928,7.565,0,0
IPC 1860,act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1884,7.542,2,3
PUBLIC SAFETY,crime_head,"THE DISASTER MANAGEMENT ACT, 2005",act,1839,7.518,4,4
POCSO,crime_head,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1827,7.511,3,3
Karnataka State Local Act,crime_head,"THE DISASTER MANAGEMENT ACT, 2005",act,1769,7.479,0,4
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,Prohibition of Child Marriage Act 2006,act,1747,7.466,3,3
Karnataka State Local Act,crime_head,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,1742,7.463,0,0
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,1734,7.459,0,0
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,1685,7.43,1,1
IPC 1860,act,Failure to appear to Court,crime_head,1660,7.415,2,2
IPC 1860,act,"ARMS ACT, 1959",act,1616,7.388,2,5
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,ANIMAL,crime_head,1594,7.375,0,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,1587,7.37,0,0
PUBLIC SAFETY,crime_head,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,1585,7.369,4,4
IPC 1860,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,1555,7.35,2,1
IPC 1860,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,1545,7.343,2,0
IPC 1860,act,Attempting to commit offences,crime_head,1504,7.317,2,2
IPC 1860,act,DOWRY DEATHS,crime_head,1478,7.299,2,2
"COPYRIGHT ACT, 1957",act,COPY RIGHT ACT 1957,crime_head,1406,7.249,2,2
IPC 1860,act,"IMMORAL TRAFFIC PREVENTION ACT, 1956",act,1266,7.144,2,2
IPC 1860,act,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",crime_head,1221,7.108,2,4
IPC 1860,act,CHILD MARRIAGE RESTRAINT ACT,act,1198,7.089,2,3
THEFT,crime_head,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,1193,7.085,0,0
IPC 1860,act,CONSUMER,crime_head,1178,7.072,2,6
"DOWRY PROHIBITION ACT, 1961",act,DOWRY DEATHS,crime_head,1177,7.072,2,2
IPC 1860,act,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,crime_head,1149,7.048,2,5
IPC 1860,act,IMMORAL TRAFFIC,crime_head,1143,7.042,2,2
IPC 1860,act,"COTPA, Cigarettes and Other Tobacco Products,Act 2003",act,1142,7.041,2,4
IPC 1860,act,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,1138,7.038,2,5
IPC 1860,act,"THE CENTRAL MOTOR VEHICLES RULES, 1989",act,1133,7.034,2,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,"THE CENTRAL MOTOR VEHICLES RULES, 1989",act,1132,7.033,0,0
IPC 1860,act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,1127,7.028,2,0
IPC 1860,act,"ESSENTIAL COMMODITIES ACT, 1955",act,1106,7.009,2,6
"ARMS ACT, 1959",act,ARMS ACT 1959,crime_head,1101,7.005,5,5
"INDIAN MOTOR VEHICLES ACT, 1988",act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,1080,6.986,0,0
POCSO,crime_head,CHILD MARRIAGE RESTRAINT ACT,act,1077,6.983,3,3
IPC 1860,act,KARNATAKA FOREST ACT 1963,act,1037,6.945,2,0
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,CHILD MARRIAGE RESTRAINT ACT,act,976,6.884,3,3
IPC 1860,act,KARNATAKA LAND REVENUE ACT 1964,act,957,6.865,2,0
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,949,6.856,1,1
IPC 1860,act,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,943,6.85,2,1
Karnataka State Local Act,crime_head,KARNATAKA LAND REVENUE ACT 1964,act,921,6.827,0,0
IPC 1860,act,INSULTING MODESTY OF WOMEN (EVE TEASING),crime_head,917,6.822,2,2
"INDIAN MOTOR VEHICLES ACT, 1988",act,PUBLIC SAFETY,crime_head,903,6.807,0,4
IPC 1860,act,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,898,6.801,2,5
IPC 1860,act,ANIMAL,crime_head,886,6.788,2,0
IPC 1860,act,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",act,870,6.77,2,5
"INDIAN MOTOR VEHICLES ACT, 1988",act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,847,6.743,0,0
MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,"THE CENTRAL MOTOR VEHICLES RULES, 1989",act,847,6.743,0,0
IPC 1860,act,"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",act,845,6.741,2,4
IPC 1860,act,EXPOSURE AND ABANDONMENT OF CHILD,crime_head,835,6.729,2,2
IPC 1860,act,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,833,6.726,2,5
IPC 1860,act,"INDIAN ARMS ACT, 1959",act,816,6.706,2,5
"CODE OF CRIMINAL PROCEDURE, 1973",act,"KARNATAKA POLICE ACT, 1963",act,815,6.704,0,4
"KARNATAKA POLICE ACT, 1963",act,PUBLIC SAFETY,crime_head,779,6.659,4,4
IPC 1860,act,REPRESENTATION OF PEOPLE ACT 1951 & 1988,crime_head,771,6.649,2,4
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",act,REPRESENTATION OF PEOPLE ACT 1951 & 1988,crime_head,764,6.64,4,4
THEFT,crime_head,"KARNATAKA POLICE ACT, 1963",act,757,6.631,0,4
IPC 1860,act,KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,act,756,6.629,2,4
Karnataka State Local Act,crime_head,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,727,6.59,0,0
Karnataka State Local Act,crime_head,KARNATAKA FOREST ACT 1963,act,707,6.562,0,0
IPC 1860,act,"Juvenile Justice (Care and Protection of Children) Act, 2015",act,673,6.513,2,3
IPC 1860,act,CHILDREN ACT,crime_head,667,6.504,2,3
IPC 1860,act,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,crime_head,660,6.494,2,0
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",act,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",act,613,6.42,7,7
Prohibition of Child Marriage Act 2006,act,CHILDREN ACT,crime_head,604,6.405,3,3
Karnataka State Local Act,crime_head,"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",act,601,6.4,0,2
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(r),3(1)(s) IPC 1860",act,597,6.394,1,1
IPC 1860,act,EXPLOSIVES,crime_head,581,6.366,2,8
ARMS ACT 1959,crime_head,"INDIAN ARMS ACT, 1959",act,578,6.361,5,5
"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",crime_head,"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",act,573,6.353,4,4
IPC 1860,act,"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",act,572,6.351,2,2
CONSUMER,crime_head,KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,act,568,6.344,6,6
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,crime_head,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,563,6.335,5,5
POCSO,crime_head,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,560,6.33,3,1
IPC 1860,act,CrPC,crime_head,558,6.326,2,0
IPC 1860,act,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,547,6.306,2,4
IPC 1860,act,"COPYRIGHT ACT, 1957",act,537,6.288,2,2
IPC 1860,act,OFFENCES PROMOTING ENEMITY,crime_head,534,6.282,2,2
IPC 1860,act,Concealment of birth by secret disposal of Child,crime_head,534,6.282,2,2
Karnataka State Local Act,crime_head,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,531,6.277,0,0
EXPLOSIVES,crime_head,"EXPLOSIVE ACT, 1884",act,528,6.271,8,8
REPRESENTATION OF PEOPLE ACT 1951 & 1988,crime_head,"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",act,525,6.265,4,4
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,521,6.258,3,1
IPC 1860,act,PUBLIC NUISANCE,crime_head,513,6.242,2,4
IPC 1860,act,"MOTOR VEHICLE ACT, 1954",act,501,6.219,2,0
"THE DISASTER MANAGEMENT ACT, 2005",act,Disobedience to Order Promulgated by PublicServan,crime_head,494,6.205,4,4
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,486,6.188,3,3
"Juvenile Justice (Care and Protection of Children) Act, 2015",act,CHILDREN ACT,crime_head,482,6.18,3,3
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,ANIMAL,crime_head,478,6.172,0,0
IPC 1860,act,ARMS ACT 1959,crime_head,469,6.153,2,5
"ESSENTIAL COMMODITIES ACT, 1955",act,KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,act,463,6.14,6,6
IPC 1860,act,"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",act,457,6.127,2,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,ANIMAL,crime_head,455,6.122,0,0
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,KARNATAKA LAND REVENUE ACT 1964,act,448,6.107,0,0
Karnataka State Local Act,crime_head,KARNATAKA MONEY LENDERS ACT 1961,act,447,6.105,0,2
"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",act,KARNATAKA MONEY LENDERS ACT 1961,act,443,6.096,2,2
IPC 1860,act,KARNATAKA MONEY LENDERS ACT 1961,act,439,6.087,2,2
IPC 1860,act,COPY RIGHT ACT 1957,crime_head,437,6.082,2,2
IPC 1860,act,KARNATAKA NEW SAND POLICY 2011,act,436,6.08,2,0
Prohibition of Child Marriage Act 2006,act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,420,6.043,3,3
IPC 1860,act,"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,419,6.04,2,3
"FOREIGNERS ACT, 1946",act,FOREIGNER,crime_head,402,5.999,7,7
"ESSENTIAL COMMODITIES ACT, 1955",act,"PDS CONTROLING ORDER, 1992",act,397,5.986,6,6
CONSUMER,crime_head,"PDS CONTROLING ORDER, 1992",act,395,5.981,6,6
DACOITY,crime_head,"ARMS ACT, 1959",act,395,5.981,5,5
POCSO,crime_head,"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,394,5.979,3,3
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,391,5.971,0,0
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,Transportation of Animal Act 1978,act,388,5.964,0,0
IPC 1860,act,"EXPLOSIVE ACT, 1884",act,388,5.964,2,8
"CODE OF CRIMINAL PROCEDURE, 1973",act,"(d),102 IPC 1860",act,387,5.961,0,0
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,382,5.948,3,1
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,crime_head,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,382,5.948,5,5
MURDER,crime_head,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,372,5.922,1,1
"THE DISASTER MANAGEMENT ACT, 2005",act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,371,5.919,4,4
IPC 1860,act,OFFENCES RELATED TO MARRIAGE,crime_head,369,5.914,2,2
"KARNATAKA POLICE ACT, 1963",act,Karnataka State Local Act,crime_head,360,5.889,4,0
Karnataka State Local Act,crime_head,KARNATAKA NEW SAND POLICY 2011,act,360,5.889,0,0
IPC 1860,act,INDIAN ELECTRICITY ACT (AMEND.) 2003,act,359,5.886,2,0
ATTEMPT TO MURDER,crime_head,"ARMS ACT, 1959",act,359,5.886,5,5
CHILD MARRIAGE RESTRAINT ACT,act,CHILDREN ACT,crime_head,350,5.861,3,3
POCSO,crime_head,The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,349,5.858,3,1
NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,crime_head,"FOREIGNERS ACT, 1946",act,344,5.844,7,7
EXPLOSIVES,crime_head,"EXPLOSIVE SUBSTANCES ACT, 1908",act,340,5.832,8,8
ANIMAL,crime_head,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,339,5.829,0,0
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,336,5.82,3,1
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,KARNATAKA LAND REVENUE ACT 1964,act,336,5.82,0,0
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,334,5.814,3,3
IPC 1860,act,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,crime_head,333,5.811,2,2
Karnataka State Local Act,crime_head,KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,act,325,5.787,0,0
ELECTION,crime_head,"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",act,320,5.771,4,4
IPC 1860,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,317,5.762,2,0
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,KARNATAKA NEW SAND POLICY 2011,act,316,5.759,0,0
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,314,5.753,0,0
CHILDREN ACT,crime_head,"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",act,313,5.749,3,3
IPC 1860,act,COUNTERFEITING,crime_head,313,5.749,2,2
IPC 1860,act,The Central Motor Vehicle Rules 2015,act,310,5.74,2,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,The Central Motor Vehicle Rules 2015,act,309,5.737,0,0
IPC 1860,act,"EPIDEMIC DISEASES ACT, 1897",act,308,5.733,2,4
IPC 1860,act,(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,306,5.727,2,3
PUBLIC SAFETY,crime_head,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,303,5.717,4,4
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,Transportation of Animal Act 1978,act,302,5.714,0,0
INFORMATION TECHNOLOGY ACT 2000,act,CHEATING,crime_head,298,5.7,2,2
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,"(r),3(1)(s) IPC 1860",act,297,5.697,1,1
POCSO,crime_head,(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,297,5.697,3,3
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,"(r),3(1)(s) IPC 1860",act,294,5.687,1,1
CONSUMER,crime_head,Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,act,293,5.684,6,6
IPC 1860,act,Transportation of Animal Act 1978,act,287,5.663,2,0
ANIMAL,crime_head,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,285,5.656,0,0
CONSUMER,crime_head,LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,act,281,5.642,6,6
IPC 1860,act,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,crime_head,281,5.642,2,2
KIDNAPPING AND ABDUCTION,crime_head,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,277,5.628,3,3
ATTEMPT TO MURDER,crime_head,"DOWRY PROHIBITION ACT, 1961",act,276,5.624,5,2
IPC 1860,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,275,5.62,2,0
IPC 1860,act,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,crime_head,273,5.613,2,7
IPC 1860,act,ASSAULT,crime_head,269,5.598,2,2
IPC 1860,act,KARNATAKA MOTOR VEHICLE RULE,act,267,5.591,2,0
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",act,"FOREIGNERS ACT, 1946",act,266,5.587,7,7
"KARNATAKA POLICE ACT, 1963",act,Disobedience to Order Promulgated by PublicServan,crime_head,264,5.58,4,4
IPC 1860,act,(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,263,5.576,2,3
"KARNATAKA POLICE ACT, 1963",act,"THE DISASTER MANAGEMENT ACT, 2005",act,263,5.576,4,4
CHILDREN ACT,crime_head,CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,act,262,5.572,3,3
MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,"MOTOR VEHICLE ACT, 1954",act,262,5.572,0,0
IPC 1860,act,"KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",act,259,5.561,2,5
IPC 1860,act,"Karnataka Prevention of Damage to Public Property Act, 1984",act,258,5.557,2,5
POCSO,crime_head,(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,256,5.549,3,3
IPC 1860,act,FALSE EVIDENCE,crime_head,255,5.545,2,2
"INDIAN MOTOR VEHICLES ACT, 1988",act,Transportation of Animal Act 1978,act,254,5.541,0,0
