rule_type,antecedent_type,antecedent,consequent_type,consequent,cases,support,confidence,lift,reading
co_occurrence,act,"COTPA, Cigarettes and Other Tobacco Products,Act 2003",crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",2683,0.001602,0.9696,487.8,"In 97% of Cotpa, Cigarettes And Other Tobacco Products,Act 2003 cases, Cotpa, Cigarettes And Other Tobacco Products also appears (2,683 cases, 487.8x more often than chance)."
co_occurrence,crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",act,"COTPA, Cigarettes and Other Tobacco Products,Act 2003",2683,0.001602,0.8059,487.8,"In 81% of Cotpa, Cigarettes And Other Tobacco Products cases, Cotpa, Cigarettes And Other Tobacco Products,Act 2003 also appears (2,683 cases, 487.8x more often than chance)."
co_occurrence,act,"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",573,0.000342,0.944,474.9,"In 94% of Cigarettes And Other Tobacco Products (Prohibition Of Advertisement And Regulation Of Trade And Commerce, Production,Supply And Distribution) Rules - 2004 cases, Cotpa, Cigarettes And Other Tobacco Products also appears (573 cases, 474.9x more often than chance)."
co_occurrence,crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",act,"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",573,0.000342,0.1721,474.9,"In 17% of Cotpa, Cigarettes And Other Tobacco Products cases, Cigarettes And Other Tobacco Products (Prohibition Of Advertisement And Regulation Of Trade And Commerce, Production,Supply And Distribution) Rules - 2004 also appears (573 cases, 474.9x more often than chance)."
co_occurrence,act,"INDIAN ARMS ACT, 1959",crime_head,ARMS ACT 1959,578,0.000345,0.458,464.59,"In 46% of Indian Arms Act, 1959 cases, Arms Act 1959 also appears (578 cases, 464.6x more often than chance)."
co_occurrence,crime_head,ARMS ACT 1959,act,"INDIAN ARMS ACT, 1959",578,0.000345,0.3501,464.59,"In 35% of Arms Act 1959 cases, Indian Arms Act, 1959 also appears (578 cases, 464.6x more often than chance)."
co_occurrence,act,"ARMS ACT, 1959",crime_head,ARMS ACT 1959,1101,0.000657,0.4333,439.52,"In 43% of Arms Act, 1959 cases, Arms Act 1959 also appears (1,101 cases, 439.5x more often than chance)."
co_occurrence,crime_head,ARMS ACT 1959,act,"ARMS ACT, 1959",1101,0.000657,0.6669,439.52,"In 67% of Arms Act 1959 cases, Arms Act, 1959 also appears (1,101 cases, 439.5x more often than chance)."
co_occurrence,act,KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,crime_head,CONSUMER,568,0.000339,0.9643,434.5,"In 96% of Karnataka Essential Commodities (Public Distribution System) Public Control Order 2016 cases, Consumer also appears (568 cases, 434.5x more often than chance)."
co_occurrence,crime_head,CONSUMER,act,KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,568,0.000339,0.1528,434.5,"In 15% of Consumer cases, Karnataka Essential Commodities (Public Distribution System) Public Control Order 2016 also appears (568 cases, 434.5x more often than chance)."
co_occurrence,act,"ESSENTIAL COMMODITIES ACT, 1955",crime_head,CONSUMER,3316,0.00198,0.9407,423.85,"In 94% of Essential Commodities Act, 1955 cases, Consumer also appears (3,316 cases, 423.8x more often than chance)."
co_occurrence,crime_head,CONSUMER,act,"ESSENTIAL COMMODITIES ACT, 1955",3316,0.00198,0.8921,423.85,"In 89% of Consumer cases, Essential Commodities Act, 1955 also appears (3,316 cases, 423.8x more often than chance)."
co_occurrence,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",crime_head,ANIMAL,1594,0.000952,0.434,346.75,"In 43% of Prevention Of Cruelty To Animals Act, 1960 cases, Animal also appears (1,594 cases, 346.8x more often than chance)."
co_occurrence,crime_head,ANIMAL,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",1594,0.000952,0.7605,346.75,"In 76% of Animal cases, Prevention Of Cruelty To Animals Act, 1960 also appears (1,594 cases, 346.8x more often than chance)."
co_occurrence,act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",1734,0.001035,0.6116,278.88,"In 61% of Karntaka Prevention Of Cow Slanghter & Cattle Prevention Act-1964 cases, Prevention Of Cruelty To Animals Act, 1960 also appears (1,734 cases, 278.9x more often than chance)."
co_occurrence,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,1734,0.001035,0.4721,278.88,"In 47% of Prevention Of Cruelty To Animals Act, 1960 cases, Karntaka Prevention Of Cow Slanghter & Cattle Prevention Act-1964 also appears (1,734 cases, 278.9x more often than chance)."
co_occurrence,act,Prohibition of Child Marriage Act 2006,crime_head,CHILDREN ACT,604,0.000361,0.2178,173.21,"In 22% of Prohibition Of Child Marriage Act 2006 cases, Children Act also appears (604 cases, 173.2x more often than chance)."
co_occurrence,crime_head,CHILDREN ACT,act,Prohibition of Child Marriage Act 2006,604,0.000361,0.2868,173.21,"In 29% of Children Act cases, Prohibition Of Child Marriage Act 2006 also appears (604 cases, 173.2x more often than chance)."
co_occurrence,act,"(r),3(1)(s) IPC 1860",crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,597,0.000356,0.9755,115.08,"In 98% of (R),3(1)(S) Ipc 1860 cases, Scheduled Caste And The Scheduled Tribes also appears (597 cases, 115.1x more often than chance)."
co_occurrence,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,1685,0.001006,0.8991,106.07,"In 90% of Scheduled Castes And Scheduled Tribes (Prevention Of Atrocities) Amendment Ordinance 2014 cases, Scheduled Caste And The Scheduled Tribes also appears (1,685 cases, 106.1x more often than chance)."
co_occurrence,crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1685,0.001006,0.1187,106.07,"In 12% of Scheduled Caste And The Scheduled Tribes cases, Scheduled Castes And Scheduled Tribes (Prevention Of Atrocities) Amendment Ordinance 2014 also appears (1,685 cases, 106.1x more often than chance)."
co_occurrence,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,4412,0.002634,0.8641,101.94,"In 86% of The Sc & St (Prevention Of Atrocities) Amendment Act 2015 cases, Scheduled Caste And The Scheduled Tribes also appears (4,412 cases, 101.9x more often than chance)."
co_occurrence,crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,4412,0.002634,0.3108,101.94,"In 31% of Scheduled Caste And The Scheduled Tribes cases, The Sc & St (Prevention Of Atrocities) Amendment Act 2015 also appears (4,412 cases, 101.9x more often than chance)."
co_occurrence,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,7557,0.004512,0.8464,99.86,"In 85% of Sc And The St (Prevention Of Attrocities) Act, 1989 cases, Scheduled Caste And The Scheduled Tribes also appears (7,557 cases, 99.9x more often than chance)."
co_occurrence,crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",7557,0.004512,0.5323,99.86,"In 53% of Scheduled Caste And The Scheduled Tribes cases, Sc And The St (Prevention Of Attrocities) Act, 1989 also appears (7,557 cases, 99.9x more often than chance)."
co_occurrence,act,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,949,0.000567,0.8252,97.35,"In 83% of The Scheduled Castes And The Scheduled Tribes (Prevention Of Atrocities) Amendment Bill, 2015 cases, Scheduled Caste And The Scheduled Tribes also appears (949 cases, 97.4x more often than chance)."
co_occurrence,act,"DOWRY PROHIBITION ACT, 1961",crime_head,CRIMES RELATED TO WOMEN,14302,0.00854,0.7679,89.65,"In 77% of Dowry Prohibition Act, 1961 cases, Crimes Related To Women also appears (14,302 cases, 89.7x more often than chance)."
co_occurrence,crime_head,CRIMES RELATED TO WOMEN,act,"DOWRY PROHIBITION ACT, 1961",14302,0.00854,0.997,89.65,"In 100% of Crimes Related To Women cases, Dowry Prohibition Act, 1961 also appears (14,302 cases, 89.7x more often than chance)."
co_occurrence,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,9174,0.005478,0.8887,83.94,"In 89% of Karnataka Minor Mineral Consistent Rule 1994 cases, Mmdr (Mines And Minerals Regulation Of Development) Act 1957 also appears (9,174 cases, 83.9x more often than chance)."
co_occurrence,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,9174,0.005478,0.5174,83.94,"In 52% of Mmdr (Mines And Minerals Regulation Of Development) Act 1957 cases, Karnataka Minor Mineral Consistent Rule 1994 also appears (9,174 cases, 83.9x more often than chance)."
co_occurrence,act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,crime_head,POCSO,1827,0.001091,0.9656,81.45,"In 97% of (N) Protection Of Children From Sexual Offences Act 2012 cases, Pocso also appears (1,827 cases, 81.5x more often than chance)."
co_occurrence,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,crime_head,POCSO,16238,0.009696,0.9412,79.39,"In 94% of Protection Of Children From Sexual Offences Act 2012 cases, Pocso also appears (16,238 cases, 79.4x more often than chance)."
co_occurrence,crime_head,POCSO,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,16238,0.009696,0.8179,79.39,"In 82% of Pocso cases, Protection Of Children From Sexual Offences Act 2012 also appears (16,238 cases, 79.4x more often than chance)."
co_occurrence,crime_head,DOWRY DEATHS,act,"DOWRY PROHIBITION ACT, 1961",1177,0.000703,0.7931,71.32,"In 79% of Dowry Deaths cases, Dowry Prohibition Act, 1961 also appears (1,177 cases, 71.3x more often than chance)."
co_occurrence,act,Prohibition of Child Marriage Act 2006,crime_head,POCSO,2073,0.001238,0.7476,63.06,"In 75% of Prohibition Of Child Marriage Act 2006 cases, Pocso also appears (2,073 cases, 63.1x more often than chance)."
co_occurrence,crime_head,POCSO,act,Prohibition of Child Marriage Act 2006,2073,0.001238,0.1044,63.06,"In 10% of Pocso cases, Prohibition Of Child Marriage Act 2006 also appears (2,073 cases, 63.1x more often than chance)."
co_occurrence,act,CHILD MARRIAGE RESTRAINT ACT,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,976,0.000583,0.6455,62.66,"In 65% of Child Marriage Restraint Act cases, Protection Of Children From Sexual Offences Act 2012 also appears (976 cases, 62.7x more often than chance)."
co_occurrence,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,Prohibition of Child Marriage Act 2006,1747,0.001043,0.1013,61.16,"In 10% of Protection Of Children From Sexual Offences Act 2012 cases, Prohibition Of Child Marriage Act 2006 also appears (1,747 cases, 61.2x more often than chance)."
co_occurrence,act,Prohibition of Child Marriage Act 2006,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,1747,0.001043,0.63,61.16,"In 63% of Prohibition Of Child Marriage Act 2006 cases, Protection Of Children From Sexual Offences Act 2012 also appears (1,747 cases, 61.2x more often than chance)."
co_occurrence,act,CHILD MARRIAGE RESTRAINT ACT,crime_head,POCSO,1077,0.000643,0.7123,60.08,"In 71% of Child Marriage Restraint Act cases, Pocso also appears (1,077 cases, 60.1x more often than chance)."
co_occurrence,act,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,19251,0.011495,0.9964,59.9,"In 100% of Narcotic Drugs And Psychotropic Substances Act, 1985 cases, Narcotic Drugs & Pshycotropic Substances also appears (19,251 cases, 59.9x more often than chance)."
co_occurrence,crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,act,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",19251,0.011495,0.6911,59.9,"In 69% of Narcotic Drugs & Pshycotropic Substances cases, Narcotic Drugs And Psychotropic Substances Act, 1985 also appears (19,251 cases, 59.9x more often than chance)."
co_occurrence,act,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,9195,0.00549,0.9946,59.8,"In 99% of Narcotic Drugs & Psychotropic Substances Act, 1985 cases, Narcotic Drugs & Pshycotropic Substances also appears (9,195 cases, 59.8x more often than chance)."
co_occurrence,crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,act,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",9195,0.00549,0.3301,59.8,"In 33% of Narcotic Drugs & Pshycotropic Substances cases, Narcotic Drugs & Psychotropic Substances Act, 1985 also appears (9,195 cases, 59.8x more often than chance)."
co_occurrence,act,INFORMATION TECHNOLOGY ACT 2000,crime_head,CYBER CRIME,52270,0.031211,0.9815,20.94,"In 98% of Information Technology Act 2000 cases, Cyber Crime also appears (52,270 cases, 20.9x more often than chance)."
co_occurrence,crime_head,CYBER CRIME,act,INFORMATION TECHNOLOGY ACT 2000,52270,0.031211,0.6658,20.94,"In 67% of Cyber Crime cases, Information Technology Act 2000 also appears (52,270 cases, 20.9x more often than chance)."
co_occurrence,act,INFORMATION TECHNOLOGY ACT 2008,crime_head,CYBER CRIME,26173,0.015628,0.9725,20.75,"In 97% of Information Technology Act 2008 cases, Cyber Crime also appears (26,173 cases, 20.7x more often than chance)."
co_occurrence,crime_head,CYBER CRIME,act,INFORMATION TECHNOLOGY ACT 2008,26173,0.015628,0.3334,20.75,"In 33% of Cyber Crime cases, Information Technology Act 2008 also appears (26,173 cases, 20.7x more often than chance)."
co_occurrence,act,"KARNATAKA EXCISE ACT, 1965",crime_head,Karnataka State Local Act,60735,0.036265,0.9928,18.32,"In 99% of Karnataka Excise Act, 1965 cases, Karnataka State Local Act also appears (60,735 cases, 18.3x more often than chance)."
co_occurrence,crime_head,Karnataka State Local Act,act,"KARNATAKA EXCISE ACT, 1965",60735,0.036265,0.6693,18.32,"In 67% of Karnataka State Local Act cases, Karnataka Excise Act, 1965 also appears (60,735 cases, 18.3x more often than chance)."
co_occurrence,act,KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,crime_head,Karnataka State Local Act,2586,0.001544,0.9349,17.25,"In 93% of Karnataka Open Place Disfigurement Act 1951 & 1981 cases, Karnataka State Local Act also appears (2,586 cases, 17.3x more often than chance)."
co_occurrence,act,"THE DISASTER MANAGEMENT ACT, 2005",crime_head,PUBLIC SAFETY,1839,0.001098,0.4116,16.26,"In 41% of The Disaster Management Act, 2005 cases, Public Safety also appears (1,839 cases, 16.3x more often than chance)."
co_occurrence,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,crime_head,Karnataka State Local Act,8931,0.005333,0.8652,15.97,"In 87% of Karnataka Minor Mineral Consistent Rule 1994 cases, Karnataka State Local Act also appears (8,931 cases, 16.0x more often than chance)."
co_occurrence,act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",crime_head,PUBLIC SAFETY,1585,0.000946,0.4042,15.97,"In 40% of The Karnataka Epidemic Diseases Act, 2020 cases, Public Safety also appears (1,585 cases, 16.0x more often than chance)."
co_occurrence,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,crime_head,Karnataka State Local Act,14967,0.008937,0.8442,15.58,"In 84% of Mmdr (Mines And Minerals Regulation Of Development) Act 1957 cases, Karnataka State Local Act also appears (14,967 cases, 15.6x more often than chance)."
co_occurrence,crime_head,Karnataka State Local Act,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,14967,0.008937,0.1649,15.58,"In 16% of Karnataka State Local Act cases, Mmdr (Mines And Minerals Regulation Of Development) Act 1957 also appears (14,967 cases, 15.6x more often than chance)."
co_occurrence,act,"KARNATAKA POLICE (AMENDMENT) ACT, 2021",crime_head,KARNATAKA POLICE ACT 1963,5401,0.003225,0.9969,15.52,"In 100% of Karnataka Police (Amendment) Act, 2021 cases, Karnataka Police Act 1963 also appears (5,401 cases, 15.5x more often than chance)."
co_occurrence,act,"KARNATAKA POLICE ACT, 1963",crime_head,KARNATAKA POLICE ACT 1963,102277,0.061071,0.9694,15.09,"In 97% of Karnataka Police Act, 1963 cases, Karnataka Police Act 1963 also appears (102,277 cases, 15.1x more often than chance)."
co_occurrence,crime_head,KARNATAKA POLICE ACT 1963,act,"KARNATAKA POLICE ACT, 1963",102277,0.061071,0.9507,15.09,"In 95% of Karnataka Police Act 1963 cases, Karnataka Police Act, 1963 also appears (102,277 cases, 15.1x more often than chance)."
co_occurrence,act,KARNATAKA LAND REVENUE ACT 1964,crime_head,Karnataka State Local Act,921,0.00055,0.8115,14.98,"In 81% of Karnataka Land Revenue Act 1964 cases, Karnataka State Local Act also appears (921 cases, 15.0x more often than chance)."
co_occurrence,act,"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",crime_head,Karnataka State Local Act,601,0.000359,0.81,14.95,"In 81% of Karnataka Prohibition Of Charging Exorbitant Interest Act, 2004 cases, Karnataka State Local Act also appears (601 cases, 14.9x more often than chance)."
co_occurrence,act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,crime_head,Karnataka State Local Act,2147,0.001282,0.7573,13.98,"In 76% of Karntaka Prevention Of Cow Slanghter & Cattle Prevention Act-1964 cases, Karnataka State Local Act also appears (2,147 cases, 14.0x more often than chance)."
co_occurrence,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,crime_head,Karnataka State Local Act,727,0.000434,0.6544,12.08,"In 65% of The Karnataka Prevention Of Slaughter And Preservation Of Cattle Act-2020 cases, Karnataka State Local Act also appears (727 cases, 12.1x more often than chance)."
co_occurrence,act,"CODE OF CRIMINAL PROCEDURE, 1973",crime_head,CrPC,137926,0.082357,0.9828,11.93,"In 98% of Code Of Criminal Procedure, 1973 cases, Crpc also appears (137,926 cases, 11.9x more often than chance)."
co_occurrence,crime_head,CrPC,act,"CODE OF CRIMINAL PROCEDURE, 1973",137926,0.082357,0.9999,11.93,"In 100% of Crpc cases, Code Of Criminal Procedure, 1973 also appears (137,926 cases, 11.9x more often than chance)."
co_occurrence,act,"DOWRY PROHIBITION ACT, 1961",crime_head,CRUELTY BY HUSBAND,2505,0.001496,0.1345,11.7,"In 13% of Dowry Prohibition Act, 1961 cases, Cruelty By Husband also appears (2,505 cases, 11.7x more often than chance)."
co_occurrence,crime_head,CRUELTY BY HUSBAND,act,"DOWRY PROHIBITION ACT, 1961",2505,0.001496,0.1301,11.7,"In 13% of Cruelty By Husband cases, Dowry Prohibition Act, 1961 also appears (2,505 cases, 11.7x more often than chance)."
co_occurrence,act,KARNATAKA FOREST ACT 1963,crime_head,Karnataka State Local Act,707,0.000422,0.6324,11.67,"In 63% of Karnataka Forest Act 1963 cases, Karnataka State Local Act also appears (707 cases, 11.7x more often than chance)."
co_occurrence,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,crime_head,Karnataka State Local Act,531,0.000317,0.6125,11.3,"In 61% of The Karnataka Prevention Of Slaughter And Preservation Of Cattle Ordinance-2020 cases, Karnataka State Local Act also appears (531 cases, 11.3x more often than chance)."
co_occurrence,act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",crime_head,Karnataka State Local Act,2022,0.001207,0.5157,9.52,"In 52% of The Karnataka Epidemic Diseases Act, 2020 cases, Karnataka State Local Act also appears (2,022 cases, 9.5x more often than chance)."
co_occurrence,act,"THE CENTRAL MOTOR VEHICLES RULES, 1989",act,"INDIAN MOTOR VEHICLES ACT, 1988",1132,0.000676,0.9869,9.06,"In 99% of The Central Motor Vehicles Rules, 1989 cases, Indian Motor Vehicles Act, 1988 also appears (1,132 cases, 9.1x more often than chance)."
co_occurrence,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",crime_head,Karnataka State Local Act,1742,0.00104,0.4743,8.75,"In 47% of Prevention Of Cruelty To Animals Act, 1960 cases, Karnataka State Local Act also appears (1,742 cases, 8.8x more often than chance)."
spatial_affinity,district,Karnataka Railways,crime_head,THEFT,7128,0.004256,0.7209,7.59,"72% of all cases filed in Karnataka Railways are Theft (7,128 cases, 7.6x the state average)."
co_occurrence,act,"THE DISASTER MANAGEMENT ACT, 2005",crime_head,Karnataka State Local Act,1769,0.001056,0.3959,7.31,"In 40% of The Disaster Management Act, 2005 cases, Karnataka State Local Act also appears (1,769 cases, 7.3x more often than chance)."
co_occurrence,crime_head,NEGLIGENT ACT,act,"INDIAN MOTOR VEHICLES ACT, 1988",15300,0.009136,0.6752,6.2,"In 68% of Negligent Act cases, Indian Motor Vehicles Act, 1988 also appears (15,300 cases, 6.2x more often than chance)."
co_occurrence,act,"INDIAN MOTOR VEHICLES ACT, 1988",crime_head,MOTOR VEHICLE ACCIDENTS FATAL,49804,0.029738,0.2731,5.51,"In 27% of Indian Motor Vehicles Act, 1988 cases, Motor Vehicle Accidents Fatal also appears (49,804 cases, 5.5x more often than chance)."
co_occurrence,crime_head,MOTOR VEHICLE ACCIDENTS FATAL,act,"INDIAN MOTOR VEHICLES ACT, 1988",49804,0.029738,0.5998,5.51,"In 60% of Motor Vehicle Accidents Fatal cases, Indian Motor Vehicles Act, 1988 also appears (49,804 cases, 5.5x more often than chance)."
spatial_affinity,crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Mangaluru City,2788,0.001665,0.1001,5.31,"Narcotic Drugs & Pshycotropic Substances cases are 5.3x more concentrated in Mangaluru City than the statewide average (2,788 cases)."
co_occurrence,act,"THE CENTRAL MOTOR VEHICLES RULES, 1989",crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,847,0.000506,0.7384,5.09,"In 74% of The Central Motor Vehicles Rules, 1989 cases, Motor Vehicle Accidents Non-Fatal also appears (847 cases, 5.1x more often than chance)."
spatial_affinity,crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Mandya,569,0.00034,0.164,4.6,Wrongful Restraint/Confinement cases are 4.6x more concentrated in Mandya than the statewide average (569 cases).
co_occurrence,act,"INDIAN MOTOR VEHICLES ACT, 1988",crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,109666,0.065483,0.6014,4.15,"In 60% of Indian Motor Vehicles Act, 1988 cases, Motor Vehicle Accidents Non-Fatal also appears (109,666 cases, 4.1x more often than chance)."
co_occurrence,crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,act,"INDIAN MOTOR VEHICLES ACT, 1988",109666,0.065483,0.4513,4.15,"In 45% of Motor Vehicle Accidents Non-Fatal cases, Indian Motor Vehicles Act, 1988 also appears (109,666 cases, 4.1x more often than chance)."
spatial_affinity,crime_head,CYBER CRIME,district,Bengaluru City,64599,0.038573,0.8229,3.24,"Cyber Crime cases are 3.2x more concentrated in Bengaluru City than the statewide average (64,599 cases)."
spatial_affinity,district,Bengaluru City,crime_head,CYBER CRIME,64599,0.038573,0.1519,3.24,"15% of all cases filed in Bengaluru City are Cyber Crime (64,599 cases, 3.2x the state average)."
spatial_affinity,crime_head,PUBLIC SAFETY,district,Bengaluru City,32222,0.01924,0.7603,2.99,"Public Safety cases are 3.0x more concentrated in Bengaluru City than the statewide average (32,222 cases)."
spatial_affinity,district,Ballari,crime_head,KARNATAKA POLICE ACT 1963,5460,0.00326,0.1921,2.99,"19% of all cases filed in Ballari are Karnataka Police Act 1963 (5,460 cases, 3.0x the state average)."
