cluster_id,centroid_lat,centroid_lng,n_points,total_count,canonical_name,radius_km,top_category,deployment_note
82,12.90177,76.39529,77,5406,Hassan,7.87,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~5,406 FIRs concentrated near Hassan (radius ~7.87 km). Dominant crime head in Hassan: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
55,12.6593,76.48971,21,5397,Mandya,4.06,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~5,397 FIRs concentrated near Mandya (radius ~4.06 km). Dominant crime head in Mandya: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
299,15.27401,76.36299,80,5154,Vijayanagara,7.28,KARNATAKA POLICE ACT 1963,"~5,154 FIRs concentrated near Vijayanagara (radius ~7.28 km). Dominant crime head in Vijayanagara: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
455,17.91281,77.51242,92,4857,Bidar,6.59,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~4,857 FIRs concentrated near Bidar (radius ~6.59 km). Dominant crime head in Bidar: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
130,13.29959,77.54198,101,4786,Bengaluru Rural,6.91,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~4,786 FIRs concentrated near Bengaluru Rural (radius ~6.91 km). Dominant crime head in Bengaluru Rural: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
176,13.60417,77.51372,42,4687,Chikkaballapura,4.96,Karnataka State Local Act,"~4,687 FIRs concentrated near Chikkaballapura (radius ~4.96 km). Dominant crime head in Chikkaballapura: Karnataka State Local Act. Prioritise patrol / resource deployment."
47,12.6015,77.03307,63,4488,Mandya,6.68,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~4,488 FIRs concentrated near Mandya (radius ~6.68 km). Dominant crime head in Mandya: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
360,16.16582,75.67281,75,4290,Bagalkote,6.2,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~4,290 FIRs concentrated near Bagalkote (radius ~6.2 km). Dominant crime head in Bagalkote: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
406,16.71107,76.81202,59,4273,Yadgir,8.83,CrPC,"~4,273 FIRs concentrated near Yadgir (radius ~8.83 km). Dominant crime head in Yadgir: Crpc. Prioritise patrol / resource deployment."
14,12.1198,76.68329,77,4238,Mysuru,8.69,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~4,238 FIRs concentrated near Mysuru (radius ~8.69 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
311,15.43024,76.52979,41,4155,Koppal,4.6,KARNATAKA POLICE ACT 1963,"~4,155 FIRs concentrated near Koppal (radius ~4.6 km). Dominant crime head in Koppal: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
248,14.52083,75.80521,71,4099,Davanagere,5.92,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~4,099 FIRs concentrated near Davanagere (radius ~5.92 km). Dominant crime head in Davanagere: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
52,12.65746,77.21475,60,4024,Ramanagara,5.32,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~4,024 FIRs concentrated near Ramanagara (radius ~5.32 km). Dominant crime head in Ramanagara: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
256,14.61923,75.63325,47,4007,Haveri,5.12,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~4,007 FIRs concentrated near Haveri (radius ~5.12 km). Dominant crime head in Haveri: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
79,12.88286,75.01617,108,3932,Dakshina Kannada,7.57,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,932 FIRs concentrated near Dakshina Kannada (radius ~7.57 km). Dominant crime head in Dakshina Kannada: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
16,12.15215,77.10434,84,3904,Chamarajanagar,7.5,Karnataka State Local Act,"~3,904 FIRs concentrated near Chamarajanagar (radius ~7.5 km). Dominant crime head in Chamarajanagar: Karnataka State Local Act. Prioritise patrol / resource deployment."
88,12.94991,75.78989,38,3882,Hassan,4.47,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,882 FIRs concentrated near Hassan (radius ~4.47 km). Dominant crime head in Hassan: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
197,13.79995,76.28009,19,3870,Chitradurga,3.43,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,870 FIRs concentrated near Chitradurga (radius ~3.43 km). Dominant crime head in Chitradurga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
233,14.31022,76.64996,25,3868,Chitradurga,4.44,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,868 FIRs concentrated near Chitradurga (radius ~4.44 km). Dominant crime head in Chitradurga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
136,13.31013,76.2597,32,3648,Hassan,4.61,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,648 FIRs concentrated near Hassan (radius ~4.61 km). Dominant crime head in Hassan: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
96,13.01527,77.01088,112,3601,Tumakuru,7.86,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,601 FIRs concentrated near Tumakuru (radius ~7.86 km). Dominant crime head in Tumakuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
74,12.82584,76.75994,29,3528,Mandya,4.7,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,528 FIRs concentrated near Mandya (radius ~4.7 km). Dominant crime head in Mandya: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
266,14.7856,75.39483,59,3495,Haveri,5.1,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,495 FIRs concentrated near Haveri (radius ~5.1 km). Dominant crime head in Haveri: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
335,15.78092,76.76474,39,3409,Raichur,5.15,KARNATAKA POLICE ACT 1963,"~3,409 FIRs concentrated near Raichur (radius ~5.15 km). Dominant crime head in Raichur: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
71,12.80001,77.38064,44,3377,Ramanagara,4.61,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,377 FIRs concentrated near Ramanagara (radius ~4.61 km). Dominant crime head in Ramanagara: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
228,14.26675,75.35336,48,3372,Shivamogga,5.24,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,372 FIRs concentrated near Shivamogga (radius ~5.24 km). Dominant crime head in Shivamogga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
147,13.39615,77.86085,56,3360,Chikkaballapura,5.18,Karnataka State Local Act,"~3,360 FIRs concentrated near Chikkaballapura (radius ~5.18 km). Dominant crime head in Chikkaballapura: Karnataka State Local Act. Prioritise patrol / resource deployment."
177,13.65014,74.68469,107,3357,Udupi,8.24,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,357 FIRs concentrated near Udupi (radius ~8.24 km). Dominant crime head in Udupi: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
408,16.76342,77.13448,64,3329,Yadgir,5.04,CrPC,"~3,329 FIRs concentrated near Yadgir (radius ~5.04 km). Dominant crime head in Yadgir: Crpc. Prioritise patrol / resource deployment."
36,12.44047,76.38016,56,3274,Mysuru,4.66,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,274 FIRs concentrated near Mysuru (radius ~4.66 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
68,12.78577,76.06043,62,3271,Hassan,6.54,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,271 FIRs concentrated near Hassan (radius ~6.54 km). Dominant crime head in Hassan: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
70,12.77985,76.24989,35,3253,Hassan,4.62,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,253 FIRs concentrated near Hassan (radius ~4.62 km). Dominant crime head in Hassan: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
459,18.04602,77.2112,39,3233,Bidar,4.99,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,233 FIRs concentrated near Bidar (radius ~4.99 km). Dominant crime head in Bidar: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
211,14.02053,75.9297,46,3210,Davanagere,4.73,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,210 FIRs concentrated near Davanagere (radius ~4.73 km). Dominant crime head in Davanagere: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
72,12.79991,77.50973,39,3209,Ramanagara,4.64,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,209 FIRs concentrated near Ramanagara (radius ~4.64 km). Dominant crime head in Ramanagara: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
35,12.45705,75.9709,92,3167,Kodagu,7.37,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,167 FIRs concentrated near Kodagu (radius ~7.37 km). Dominant crime head in Kodagu: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
34,12.42572,75.73474,54,3153,Kodagu,5.28,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,153 FIRs concentrated near Kodagu (radius ~5.28 km). Dominant crime head in Kodagu: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
32,12.38,77.06008,20,3148,Mandya,4.35,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,148 FIRs concentrated near Mandya (radius ~4.35 km). Dominant crime head in Mandya: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
107,13.11017,77.16971,38,3147,Ramanagara,4.57,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,147 FIRs concentrated near Ramanagara (radius ~4.57 km). Dominant crime head in Ramanagara: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
42,12.49973,76.67026,27,3077,Mandya,4.19,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,077 FIRs concentrated near Mandya (radius ~4.19 km). Dominant crime head in Mandya: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
169,13.57474,75.99483,83,3063,Chikkamagaluru,7.16,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,063 FIRs concentrated near Chikkamagaluru (radius ~7.16 km). Dominant crime head in Chikkamagaluru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
453,17.87319,76.95342,52,3019,Bidar,5.01,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,019 FIRs concentrated near Bidar (radius ~5.01 km). Dominant crime head in Bidar: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
305,15.35041,76.15095,51,3004,Koppal,4.53,KARNATAKA POLICE ACT 1963,"~3,004 FIRs concentrated near Koppal (radius ~4.53 km). Dominant crime head in Koppal: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
58,12.67999,77.46937,50,3000,Ramanagara,4.72,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~3,000 FIRs concentrated near Ramanagara (radius ~4.72 km). Dominant crime head in Ramanagara: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
97,12.99942,77.94018,56,2971,Kolar,4.7,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,971 FIRs concentrated near Kolar (radius ~4.7 km). Dominant crime head in Kolar: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
269,14.82072,74.13092,64,2943,Uttara Kannada,6.84,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,943 FIRs concentrated near Uttara Kannada (radius ~6.84 km). Dominant crime head in Uttara Kannada: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
21,12.21064,76.90027,46,2941,Mysuru,4.66,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,941 FIRs concentrated near Mysuru (radius ~4.66 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
195,13.77981,77.7899,52,2902,Chikkaballapura,4.62,Karnataka State Local Act,"~2,902 FIRs concentrated near Chikkaballapura (radius ~4.62 km). Dominant crime head in Chikkaballapura: Karnataka State Local Act. Prioritise patrol / resource deployment."
192,13.74052,76.90026,48,2899,Tumakuru,4.73,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,899 FIRs concentrated near Tumakuru (radius ~4.73 km). Dominant crime head in Tumakuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
9,12.04538,76.99421,102,2891,Chamarajanagar,8.55,Karnataka State Local Act,"~2,891 FIRs concentrated near Chamarajanagar (radius ~8.55 km). Dominant crime head in Chamarajanagar: Karnataka State Local Act. Prioritise patrol / resource deployment."
230,14.28005,74.44974,47,2870,Uttara Kannada,4.75,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,870 FIRs concentrated near Uttara Kannada (radius ~4.75 km). Dominant crime head in Uttara Kannada: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
64,12.74988,75.20806,75,2863,Dakshina Kannada,5.72,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,863 FIRs concentrated near Dakshina Kannada (radius ~5.72 km). Dominant crime head in Dakshina Kannada: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
362,16.16632,74.81682,42,2857,Belagavi,4.95,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,857 FIRs concentrated near Belagavi (radius ~4.95 km). Dominant crime head in Belagavi: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
212,14.04005,76.17989,27,2853,Chitradurga,4.62,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,853 FIRs concentrated near Chitradurga (radius ~4.62 km). Dominant crime head in Chitradurga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
209,13.98952,75.68985,44,2823,Shivamogga,4.78,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,823 FIRs concentrated near Shivamogga (radius ~4.78 km). Dominant crime head in Shivamogga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
11,12.08996,76.33016,27,2817,Mysuru,4.35,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,817 FIRs concentrated near Mysuru (radius ~4.35 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
407,16.72852,75.06038,41,2815,Belagavi,4.48,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,815 FIRs concentrated near Belagavi (radius ~4.48 km). Dominant crime head in Belagavi: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
208,13.99521,74.54585,57,2783,Uttara Kannada,5.14,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,783 FIRs concentrated near Uttara Kannada (radius ~5.14 km). Dominant crime head in Uttara Kannada: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
28,12.32998,76.87064,39,2746,Mysuru,4.58,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,746 FIRs concentrated near Mysuru (radius ~4.58 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
384,16.39664,74.3801,69,2738,Belagavi,5.69,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,738 FIRs concentrated near Belagavi (radius ~5.69 km). Dominant crime head in Belagavi: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
237,14.36989,76.18994,22,2697,Chitradurga,4.43,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,697 FIRs concentrated near Chitradurga (radius ~4.43 km). Dominant crime head in Chitradurga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
114,13.17002,75.87984,21,2620,Hassan,4.31,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,620 FIRs concentrated near Hassan (radius ~4.31 km). Dominant crime head in Hassan: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
30,12.33993,76.45008,33,2591,Mysuru,4.58,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,591 FIRs concentrated near Mysuru (radius ~4.58 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
91,12.98047,75.99031,30,2577,Hassan,4.32,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,577 FIRs concentrated near Hassan (radius ~4.32 km). Dominant crime head in Hassan: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
129,13.26052,76.46651,75,2557,Tumakuru,5.72,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,557 FIRs concentrated near Tumakuru (radius ~5.72 km). Dominant crime head in Tumakuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
29,12.33993,76.09015,44,2537,Mysuru,4.67,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,537 FIRs concentrated near Mysuru (radius ~4.67 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
90,12.95989,77.23028,41,2530,Ramanagara,4.63,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,530 FIRs concentrated near Ramanagara (radius ~4.63 km). Dominant crime head in Ramanagara: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
255,14.62301,74.83687,53,2519,Uttara Kannada,5.26,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,519 FIRs concentrated near Uttara Kannada (radius ~5.26 km). Dominant crime head in Uttara Kannada: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
141,13.33985,78.20984,30,2396,Kolar,4.58,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,396 FIRs concentrated near Kolar (radius ~4.58 km). Dominant crime head in Kolar: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
326,15.63939,76.89965,30,2383,Ballari,4.51,KARNATAKA POLICE ACT 1963,"~2,383 FIRs concentrated near Ballari (radius ~4.51 km). Dominant crime head in Ballari: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
102,13.07003,74.99924,58,2383,Dakshina Kannada,4.74,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,383 FIRs concentrated near Dakshina Kannada (radius ~4.74 km). Dominant crime head in Dakshina Kannada: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
325,15.64054,74.50951,49,2380,Belagavi,4.65,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,380 FIRs concentrated near Belagavi (radius ~4.65 km). Dominant crime head in Belagavi: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
186,13.6996,75.24953,33,2379,Shivamogga,4.5,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,379 FIRs concentrated near Shivamogga (radius ~4.5 km). Dominant crime head in Shivamogga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
393,16.50943,75.281,42,2359,Bagalkote,4.52,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~2,359 FIRs concentrated near Bagalkote (radius ~4.52 km). Dominant crime head in Bagalkote: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
