canonical_name,kgis_code,year,month,category,count,expected,anomaly_score,reason
Raichur,06,2023,4,MISSING PERSON,37,14.5,0.787,"Apr 2023: 37 Missing Person in Raichur vs ~14 expected (2.6x, z=3.7) - spike."
Kolar,19,2023,8,THEFT,70,27.8,0.787,"Aug 2023: 70 Theft in Kolar vs ~28 expected (2.5x, z=3.6) - spike."
Yadgir,30,2018,4,CrPC,591,233.3,0.7842,"Apr 2018: 591 Crpc in Yadgir vs ~233 expected (2.5x, z=3.5) - spike."
Uttara Kannada,10,2018,4,THEFT,29,10.9,0.7842,"Apr 2018: 29 Theft in Uttara Kannada vs ~11 expected (2.7x, z=3.5) - spike."
Shivamogga,15,2021,5,Karnataka State Local Act,172,70.1,0.7842,"May 2021: 172 Karnataka State Local Act in Shivamogga vs ~70 expected (2.5x, z=3.7) - spike."
Shivamogga,15,2019,1,KARNATAKA POLICE ACT 1963,130,51.2,0.7814,"Jan 2019: 130 Karnataka Police Act 1963 in Shivamogga vs ~51 expected (2.5x, z=3.5) - spike."
Chikkaballapura,28,2020,5,RIOTS,39,17.8,0.7773,"May 2020: 39 Riots in Chikkaballapura vs ~18 expected (2.2x, z=4.0) - spike."
Chitradurga,13,2016,4,KARNATAKA POLICE ACT 1963,254,117.4,0.7767,"Apr 2016: 254 Karnataka Police Act 1963 in Chitradurga vs ~117 expected (2.2x, z=4.1) - spike."
Bidar,05,2023,6,THEFT,54,23.4,0.7751,"Jun 2023: 54 Theft in Bidar vs ~23 expected (2.3x, z=3.9) - spike."
Tumakuru,18,2018,3,KARNATAKA POLICE ACT 1963,192,89.0,0.7745,"Mar 2018: 192 Karnataka Police Act 1963 in Tumakuru vs ~89 expected (2.2x, z=4.0) - spike."
Bengaluru Rural,21,2023,10,BURGLARY - NIGHT,44,20.9,0.7684,"Oct 2023: 44 Burglary - Night in Bengaluru Rural vs ~21 expected (2.1x, z=4.1) - spike."
Uttara Kannada,10,2022,4,Karnataka State Local Act,71,30.6,0.7682,"Apr 2022: 71 Karnataka State Local Act in Uttara Kannada vs ~31 expected (2.3x, z=3.8) - spike."
Belagavi,01,2023,6,MISSING PERSON,112,53.5,0.7671,"Jun 2023: 112 Missing Person in Belagavi vs ~54 expected (2.1x, z=3.9) - spike."
Vijayanagara,31,2021,7,KARNATAKA POLICE ACT 1963,124,52.8,0.7662,"Jul 2021: 124 Karnataka Police Act 1963 in Vijayanagara vs ~53 expected (2.4x, z=3.7) - spike."
Shivamogga,15,2022,2,RIOTS,40,16.9,0.7601,"Feb 2022: 40 Riots in Shivamogga vs ~17 expected (2.4x, z=3.6) - spike."
Chamarajanagar,27,2016,4,RIOTS,22,9.6,0.7561,"Apr 2016: 22 Riots in Chamarajanagar vs ~10 expected (2.3x, z=3.7) - spike."
Vijayanagara,31,2019,3,THEFT,51,21.6,0.7547,"Mar 2019: 51 Theft in Vijayanagara vs ~22 expected (2.4x, z=3.6) - spike."
Kolar,19,2020,5,RIOTS,35,16.0,0.7409,"May 2020: 35 Riots in Kolar vs ~16 expected (2.2x, z=3.6) - spike."
Gadag,08,2023,11,KARNATAKA POLICE ACT 1963,86,38.8,0.7384,"Nov 2023: 86 Karnataka Police Act 1963 in Gadag vs ~39 expected (2.2x, z=3.6) - spike."
Chikkamagaluru,17,2016,8,KARNATAKA POLICE ACT 1963,50,23.5,0.7376,"Aug 2016: 50 Karnataka Police Act 1963 in Chikkamagaluru vs ~24 expected (2.1x, z=3.6) - spike."
Vijayanagara,31,2023,11,KARNATAKA POLICE ACT 1963,128,59.8,0.7323,"Nov 2023: 128 Karnataka Police Act 1963 in Vijayanagara vs ~60 expected (2.1x, z=3.5) - spike."
Udupi,16,2016,3,CASES OF HURT,42,20.8,0.7268,"Mar 2016: 42 Cases Of Hurt in Udupi vs ~21 expected (2.0x, z=3.8) - spike."
Davanagere,14,2020,4,KARNATAKA POLICE ACT 1963,116,58.6,0.7187,"Apr 2020: 116 Karnataka Police Act 1963 in Davanagere vs ~59 expected (2.0x, z=3.8) - spike."
Bengaluru Rural,21,2023,11,MISSING PERSON,143,76.8,0.6892,"Nov 2023: 143 Missing Person in Bengaluru Rural vs ~77 expected (1.9x, z=3.6) - spike."
Mysuru,26,2023,9,CASES OF HURT,145,92.8,0.6738,"Sep 2023: 145 Cases Of Hurt in Mysuru vs ~93 expected (1.6x, z=4.0) - spike."
Chitradurga,13,2023,5,MOTOR VEHICLE ACCIDENTS FATAL,54,31.0,0.6575,"May 2023: 54 Motor Vehicle Accidents Fatal in Chitradurga vs ~31 expected (1.7x, z=3.5) - spike."
Tumakuru,18,2023,6,CASES OF HURT,98,57.1,0.6567,"Jun 2023: 98 Cases Of Hurt in Tumakuru vs ~57 expected (1.7x, z=3.5) - spike."
Mandya,22,2020,5,CASES OF HURT,126,78.4,0.6449,"May 2020: 126 Cases Of Hurt in Mandya vs ~78 expected (1.6x, z=3.7) - spike."
