src_type,src,dst_type,dst,weight
crime_head,CASES OF HURT,district,Hassan,7398
act,IPC 1860,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",7394
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Bidar,7322
crime_head,THEFT,district,Karnataka Railways,7128
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Mangaluru City,7083
crime_head,MISSING PERSON,district,Bengaluru Rural,7075
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Uttara Kannada,7060
crime_head,CrPC,district,Belagavi,7053
crime_head,CASES OF HURT,district,Mandya,7012
crime_head,CrPC,district,Hassan,6963
act,IPC 1860,act,"KARNATAKA POLICE ACT, 1963",6796
crime_head,KARNATAKA POLICE ACT 1963,district,Belagavi,6507
crime_head,MOLESTATION,district,Bengaluru City,6455
crime_head,Karnataka State Local Act,district,Bengaluru City,6304
crime_head,CrPC,district,Shivamogga,6210
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Davanagere,6194
crime_head,ROBBERY,district,Bengaluru City,6126
crime_head,CASES OF HURT,district,Mysuru,6109
crime_head,CRIMES RELATED TO WOMEN,district,Bengaluru City,6077
crime_head,SUICIDE,act,IPC 1860,6067
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Dakshina Kannada,6038
crime_head,CASES OF HURT,district,Shivamogga,6013
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Bengaluru City,5886
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Chikkamagaluru,5839
crime_head,KARNATAKA POLICE ACT 1963,district,Vijayapura,5638
crime_head,KARNATAKA POLICE ACT 1963,district,Ballari,5460
crime_head,KARNATAKA POLICE ACT 1963,act,"KARNATAKA POLICE (AMENDMENT) ACT, 2021",5401
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Belagavi,5356
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Tumakuru,5351
crime_head,CASES OF HURT,district,Bidar,5254
crime_head,DACOITY,act,IPC 1860,5253
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Mysuru City,5252
crime_head,MISSING PERSON,district,Shivamogga,5216
crime_head,KARNATAKA POLICE ACT 1963,district,Tumakuru,5205
crime_head,Karnataka State Local Act,district,Chikkaballapura,5191
crime_head,KARNATAKA POLICE ACT 1963,district,Raichur,5165
crime_head,CASES OF HURT,district,Tumakuru,5143
crime_head,KARNATAKA POLICE ACT 1963,district,Bengaluru City,5075
crime_head,Karnataka State Local Act,district,Mysuru,5064
crime_head,MISSING PERSON,district,Mandya,4952
crime_head,Karnataka State Local Act,district,Mandya,4887
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Bengaluru Rural,4878
crime_head,CrPC,district,Bidar,4870
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Vijayapura,4774
crime_head,CrPC,district,Mandya,4678
crime_head,MISSING PERSON,district,Tumakuru,4641
crime_head,CrPC,district,Raichur,4552
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Haveri,4503
crime_head,KARNATAKA POLICE ACT 1963,district,Chitradurga,4499
crime_head,KARNATAKA POLICE ACT 1963,district,Koppal,4464
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Kalaburagi,4455
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,4412
crime_head,Karnataka State Local Act,district,Tumakuru,4390
crime_head,Karnataka State Local Act,district,Belagavi,4377
crime_head,MISSING PERSON,district,Mysuru,4313
act,IPC 1860,act,"THE DISASTER MANAGEMENT ACT, 2005",4290
crime_head,CrPC,district,Chikkaballapura,4271
crime_head,KARNATAKA POLICE ACT 1963,district,Shivamogga,4259
crime_head,CASES OF HURT,district,Ramanagara,4246
crime_head,ATTEMPT TO MURDER,district,Bengaluru City,4131
crime_head,CrPC,district,Mysuru,4100
crime_head,KARNATAKA POLICE ACT 1963,act,IPC 1860,4094
crime_head,Karnataka State Local Act,district,Shivamogga,4086
crime_head,CrPC,district,Chitradurga,4067
crime_head,Karnataka State Local Act,district,Hassan,4060
crime_head,CrPC,district,Mangaluru City,4059
crime_head,KARNATAKA POLICE ACT 1963,district,Davanagere,4052
crime_head,THEFT,district,Tumakuru,4034
crime_head,KARNATAKA POLICE ACT 1963,district,Vijayanagara,4007
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Bagalkote,3998
crime_head,CRUELTY BY HUSBAND,district,Bengaluru City,3983
crime_head,CrPC,district,Vijayapura,3978
crime_head,RAPE,act,IPC 1860,3974
act,IPC 1860,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,3965
crime_head,CrPC,district,Chikkamagaluru,3964
crime_head,MISSING PERSON,district,Davanagere,3963
crime_head,MISSING PERSON,district,Ramanagara,3956
crime_head,CrPC,district,Kalaburagi,3932
crime_head,CrPC,district,Haveri,3919
crime_head,CrPC,district,Uttara Kannada,3912
crime_head,CASES OF HURT,district,Chikkamagaluru,3850
crime_head,CASES OF HURT,district,Bengaluru Rural,3831
crime_head,CASES OF HURT,district,Chitradurga,3814
crime_head,Karnataka State Local Act,district,Chitradurga,3764
crime_head,CrPC,district,Tumakuru,3760
crime_head,CRIMINAL BREACH OF TRUST,act,IPC 1860,3721
crime_head,KARNATAKA POLICE ACT 1963,district,Bagalkote,3717
crime_head,THEFT,district,Mysuru City,3715
crime_head,MISSING PERSON,district,Chitradurga,3695
crime_head,THEFT,district,Mandya,3694
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Kolar,3690
crime_head,KARNATAKA POLICE ACT 1963,district,Haveri,3686
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Chikkaballapura,3671
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Mandya,3659
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Belagavi City,3621
crime_head,CRIMINAL INTIMIDATION,district,Bengaluru City,3587
crime_head,CASES OF HURT,district,Belagavi,3563
crime_head,MISCHIEF,act,IPC 1860,3551
crime_head,KARNATAKA POLICE ACT 1963,district,Kalaburagi,3541
crime_head,Karnataka State Local Act,district,Chamarajanagar,3526
act,IPC 1860,act,"KARNATAKA EXCISE ACT, 1965",3492
crime_head,CrPC,district,Davanagere,3476
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Hassan,3474
crime_head,THEFT,district,Ramanagara,3473
crime_head,THEFT,district,Davanagere,3472
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,act,IPC 1860,3468
crime_head,KARNATAKA POLICE ACT 1963,district,Uttara Kannada,3460
crime_head,CRIMINAL TRESPASS,district,Bengaluru City,3417
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Kodagu,3391
crime_head,CrPC,district,Bengaluru Rural,3386
crime_head,Karnataka State Local Act,district,Chikkamagaluru,3317
crime_head,CONSUMER,act,"ESSENTIAL COMMODITIES ACT, 1955",3316
crime_head,FORGERY,act,IPC 1860,3314
crime_head,Karnataka State Local Act,district,Vijayapura,3303
crime_head,CASES OF HURT,district,Chikkaballapura,3296
crime_head,MISSING PERSON,district,Belagavi,3292
crime_head,MISSING PERSON,district,Mysuru City,3283
crime_head,KARNATAKA POLICE ACT 1963,district,Gadag,3273
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Raichur,3261
crime_head,CrPC,district,Ramanagara,3237
crime_head,POCSO,district,Bengaluru City,3236
crime_head,MISSING PERSON,district,Chikkaballapura,3224
crime_head,AFFRAY,act,IPC 1860,3190
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Chamarajanagar,3183
crime_head,MISSING PERSON,district,Hassan,3173
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Kalaburagi City,3168
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Koppal,3165
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Mysuru,3165
crime_head,KARNATAKA POLICE ACT 1963,district,Chikkaballapura,3148
crime_head,KARNATAKA POLICE ACT 1963,district,Bidar,3141
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Vijayapura,3105
crime_head,THEFT,district,Shivamogga,3091
crime_head,CrPC,district,Vijayanagara,3068
act,IPC 1860,act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",3051
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Vijayanagara,3029
crime_head,CASES OF HURT,district,Kalaburagi,3007
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Chitradurga,3004
crime_head,THEFT,district,Mysuru,2992
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Ballari,2983
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,act,IPC 1860,2973
crime_head,Karnataka State Local Act,act,"INDIAN MOTOR VEHICLES ACT, 1988",2958
crime_head,CrPC,district,Kodagu,2952
crime_head,CrPC,district,Bagalkote,2947
crime_head,KARNATAKA POLICE ACT 1963,district,Hubballi-Dharwad City,2941
crime_head,THEFT,district,Belagavi,2889
crime_head,CrPC,district,Chamarajanagar,2884
crime_head,Karnataka State Local Act,district,Ramanagara,2865
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Ramanagara,2861
crime_head,CrPC,district,Udupi,2856
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Hubballi-Dharwad City,2842
crime_head,CrPC,district,Yadgir,2813
crime_head,CASES OF HURT,district,Kodagu,2805
crime_head,Karnataka State Local Act,district,Raichur,2802
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Bagalkote,2791
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Mangaluru City,2788
crime_head,KARNATAKA POLICE ACT 1963,district,Yadgir,2782
crime_head,DACOITY,district,Bengaluru City,2752
crime_head,Karnataka State Local Act,district,Ballari,2734
crime_head,MOLESTATION,district,Shivamogga,2727
crime_head,Disobedience to Order Promulgated by PublicServan,act,IPC 1860,2703
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",act,"COTPA, Cigarettes and Other Tobacco Products,Act 2003",2683
crime_head,CASES OF HURT,district,Mysuru City,2674
crime_head,CHEATING,district,Bengaluru Rural,2665
act,"CODE OF CRIMINAL PROCEDURE, 1973",act,IPC 1860,2658
crime_head,ELECTION,act,IPC 1860,2627
crime_head,CrPC,district,Ballari,2623
crime_head,THEFT,district,Hassan,2623
crime_head,Karnataka State Local Act,act,KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,2586
crime_head,CASES OF HURT,district,Uttara Kannada,2585
crime_head,ARSON,act,IPC 1860,2548
crime_head,CrPC,district,Hubballi-Dharwad City,2539
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Shivamogga,2538
crime_head,MISSING PERSON,district,Kolar,2533
crime_head,CRUELTY BY HUSBAND,act,"DOWRY PROHIBITION ACT, 1961",2505
crime_head,CrPC,district,Kalaburagi City,2505
crime_head,THEFT,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,2501
crime_head,THEFT,district,Raichur,2499
crime_head,CrPC,district,Gadag,2483
crime_head,THEFT,district,Vijayapura,2451
crime_head,CASES OF HURT,district,Vijayapura,2441
crime_head,CASES OF HURT,district,Kolar,2439
crime_head,Karnataka State Local Act,district,Vijayanagara,2425
crime_head,CASES OF HURT,district,Davanagere,2422
crime_head,CrPC,district,Mysuru City,2420
crime_head,THEFT,district,Chitradurga,2408
crime_head,MOLESTATION,district,Mandya,2388
crime_head,RIOTS,district,Belagavi,2384
crime_head,CrPC,district,Dakshina Kannada,2380
crime_head,THEFT,district,Hubballi-Dharwad City,2375
crime_head,CrPC,district,Belagavi City,2359
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Bengaluru City,2357
crime_head,Karnataka State Local Act,district,Bengaluru Rural,2357
crime_head,CASES OF HURT,district,Chamarajanagar,2348
crime_head,THEFT,district,Haveri,2348
crime_head,BURGLARY - DAY,district,Bengaluru City,2330
crime_head,KARNATAKA POLICE ACT 1963,district,Mysuru,2274
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Dharwad,2273
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Raichur,2265
crime_head,CASES OF HURT,district,Raichur,2258
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Bidar,2256
crime_head,MISSING PERSON,district,Chikkamagaluru,2256
crime_head,THEFT,district,Koppal,2230
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,2227
crime_head,KARNATAKA POLICE ACT 1963,district,Mandya,2222
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Yadgir,2215
act,IPC 1860,act,Prohibition of Child Marriage Act 2006,2173
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Kalaburagi,2169
crime_head,MISSING PERSON,district,Uttara Kannada,2152
crime_head,Karnataka State Local Act,act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,2147
crime_head,MOLESTATION,district,Chitradurga,2147
crime_head,MISSING PERSON,district,Haveri,2118
crime_head,Karnataka State Local Act,district,Kalaburagi,2111
crime_head,MISSING PERSON,district,Vijayapura,2098
crime_head,IMMORAL TRAFFIC,act,"IMMORAL TRAFFIC PREVENTION ACT, 1956",2084
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Davanagere,2079
crime_head,POCSO,act,Prohibition of Child Marriage Act 2006,2073
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Chikkaballapura,2059
crime_head,KARNATAKA POLICE ACT 1963,district,Udupi,2054
crime_head,THEFT,district,Ballari,2031
crime_head,THEFT,district,Kalaburagi City,2030
crime_head,THEFT,act,"INDIAN MOTOR VEHICLES ACT, 1988",2026
crime_head,Karnataka State Local Act,act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",2022
crime_head,THEFT,district,Bidar,1997
crime_head,Karnataka State Local Act,district,Bidar,1983
crime_head,Karnataka State Local Act,district,Gadag,1983
crime_head,MOLESTATION,district,Belagavi,1979
crime_head,Karnataka State Local Act,district,Bagalkote,1971
crime_head,KARNATAKA POLICE ACT 1963,district,Dharwad,1963
crime_head,COMMUNAL / RELIGION,act,IPC 1860,1952
crime_head,CASES OF HURT,district,Haveri,1939
crime_head,CrPC,district,K.G.F,1938
crime_head,THEFT,district,Chikkamagaluru,1937
crime_head,Karnataka State Local Act,district,Uttara Kannada,1937
crime_head,Karnataka State Local Act,district,Koppal,1935
crime_head,RIOTS,district,Haveri,1932
crime_head,THEFT,act,"CODE OF CRIMINAL PROCEDURE, 1973",1928
crime_head,KARNATAKA POLICE ACT 1963,district,Kalaburagi City,1924
crime_head,THEFT,district,Belagavi City,1913
crime_head,KARNATAKA POLICE ACT 1963,district,Hassan,1902
crime_head,CrPC,district,Kolar,1900
act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,IPC 1860,1884
crime_head,Karnataka State Local Act,district,Davanagere,1878
crime_head,MOLESTATION,district,Hassan,1878
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Uttara Kannada,1877
crime_head,MOLESTATION,district,Mysuru,1871
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Haveri,1864
crime_head,RIOTS,district,Shivamogga,1860
crime_head,RIOTS,district,Bengaluru City,1853
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Udupi,1849
crime_head,PUBLIC SAFETY,act,"THE DISASTER MANAGEMENT ACT, 2005",1839
crime_head,MISSING PERSON,district,Hubballi-Dharwad City,1829
crime_head,POCSO,act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,1827
crime_head,THEFT,district,Kalaburagi,1806
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Kolar,1801
crime_head,RIOTS,district,Raichur,1797
crime_head,Karnataka State Local Act,act,"THE DISASTER MANAGEMENT ACT, 2005",1769
crime_head,THEFT,district,Vijayanagara,1757
crime_head,THEFT,district,Chikkaballapura,1754
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Koppal,1753
act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,Prohibition of Child Marriage Act 2006,1747
crime_head,THEFT,district,Bagalkote,1746
crime_head,Karnataka State Local Act,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",1742
crime_head,BURGLARY - NIGHT,district,Bengaluru Rural,1740
act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",1734
crime_head,KARNATAKA POLICE ACT 1963,district,Chikkamagaluru,1725
crime_head,CASES OF HURT,district,Mangaluru City,1712
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1685
crime_head,CASES OF HURT,district,Udupi,1684
crime_head,THEFT,district,Mangaluru City,1680
crime_head,THEFT,district,Kolar,1677
crime_head,CASES OF HURT,district,Dakshina Kannada,1671
crime_head,Failure to appear to Court,act,IPC 1860,1660
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Gadag,1637
crime_head,RIOTS,district,Kalaburagi,1635
crime_head,THEFT,district,Gadag,1632
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Chikkamagaluru,1624
act,"ARMS ACT, 1959",act,IPC 1860,1616
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Bengaluru City,1611
crime_head,ANIMAL,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",1594
crime_head,MISSING PERSON,district,Mangaluru City,1591
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,1587
crime_head,PUBLIC SAFETY,act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",1585
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Ballari,1583
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Vijayanagara,1578
crime_head,PUBLIC SAFETY,district,Chitradurga,1576
crime_head,MURDER,district,Bengaluru City,1575
crime_head,CrPC,district,Koppal,1563
crime_head,KARNATAKA POLICE ACT 1963,district,Ramanagara,1561
act,IPC 1860,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1555
act,IPC 1860,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",1545
crime_head,Karnataka State Local Act,district,Yadgir,1541
crime_head,CrPC,district,Dharwad,1539
crime_head,CHEATING,district,Mysuru City,1524
crime_head,MOLESTATION,district,Raichur,1523
crime_head,KIDNAPPING AND ABDUCTION,district,Bengaluru Rural,1517
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Dharwad,1506
crime_head,Attempting to commit offences,act,IPC 1860,1504
crime_head,RIOTS,district,Vijayapura,1500
crime_head,BURGLARY - NIGHT,district,Shivamogga,1484
crime_head,DOWRY DEATHS,act,IPC 1860,1478
crime_head,MISSING PERSON,district,Bagalkote,1477
crime_head,CASES OF HURT,district,Hubballi-Dharwad City,1473
crime_head,Karnataka State Local Act,district,Dharwad,1472
crime_head,MISSING PERSON,district,Raichur,1466
crime_head,MISSING PERSON,district,Chamarajanagar,1461
crime_head,CASES OF HURT,district,Vijayanagara,1449
crime_head,CASES OF HURT,district,Kalaburagi City,1444
crime_head,BURGLARY - NIGHT,district,Mysuru,1427
crime_head,CRIMINAL INTIMIDATION,district,Shivamogga,1417
crime_head,MISSING PERSON,district,Ballari,1416
crime_head,KARNATAKA POLICE ACT 1963,district,Bengaluru Rural,1416
crime_head,CASES OF HURT,district,Yadgir,1414
crime_head,MISSING PERSON,district,Udupi,1411
crime_head,MOLESTATION,district,Ramanagara,1409
crime_head,KARNATAKA POLICE ACT 1963,district,Belagavi City,1408
crime_head,COPY RIGHT ACT 1957,act,"COPYRIGHT ACT, 1957",1406
crime_head,MOLESTATION,district,Chikkamagaluru,1400
crime_head,RIOTS,district,Chikkaballapura,1399
crime_head,CYBER CRIME,district,Bengaluru Rural,1390
crime_head,BURGLARY - NIGHT,district,Mandya,1385
crime_head,KARNATAKA POLICE ACT 1963,district,Chamarajanagar,1377
crime_head,MISSING PERSON,district,Belagavi City,1372
crime_head,RIOTS,district,Chitradurga,1370
crime_head,RIOTS,district,Mysuru,1355
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Bengaluru City,1353
crime_head,BURGLARY - NIGHT,district,Tumakuru,1353
crime_head,CHEATING,district,Shivamogga,1352
crime_head,CHEATING,district,Tumakuru,1332
crime_head,CYBER CRIME,district,Hubballi-Dharwad City,1317
crime_head,RIOTS,district,Davanagere,1298
crime_head,MOLESTATION,district,Davanagere,1295
crime_head,MOLESTATION,district,Tumakuru,1276
crime_head,MISSING PERSON,district,Koppal,1268
crime_head,CRIMINAL BREACH OF TRUST,district,Bengaluru City,1267
act,"IMMORAL TRAFFIC PREVENTION ACT, 1956",act,IPC 1860,1266
crime_head,THEFT,district,Yadgir,1259
crime_head,CASES OF HURT,district,Ballari,1252
crime_head,CASES OF HURT,district,K.G.F,1251
crime_head,MISSING PERSON,district,Vijayanagara,1245
crime_head,MISSING PERSON,district,Kodagu,1235
crime_head,Failure to appear to Court,district,Bengaluru City,1234
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Udupi,1227
crime_head,CASES OF HURT,district,Belagavi City,1224
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,district,Mangaluru City,1223
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",act,IPC 1860,1221
crime_head,BURGLARY - NIGHT,district,Belagavi,1218
crime_head,RIOTS,district,Kolar,1213
crime_head,RIOTS,district,Bengaluru Rural,1210
crime_head,MOLESTATION,district,Bagalkote,1208
