district,dow,month,season,count
Bengaluru Urban,2,11,Post-Monsoon,5715
Bengaluru Urban,2,12,Winter,5357
Bengaluru Urban,3,1,Winter,5151
Bengaluru Urban,3,2,Winter,5914
Bengaluru Urban,3,3,Summer,6320
Bengaluru Urban,3,4,Summer,4769
Bengaluru Urban,3,5,Summer,4584
Bengaluru Urban,3,6,Monsoon,5644
Bengaluru Urban,3,7,Monsoon,5656
Bengaluru Urban,3,8,Monsoon,6166
Bengaluru Urban,3,9,Monsoon,5803
Bengaluru Urban,3,10,Post-Monsoon,5067
Bengaluru Urban,3,11,Post-Monsoon,5329
Bengaluru Urban,3,12,Winter,5588
Bengaluru Urban,4,1,Winter,5022
Bengaluru Urban,4,2,Winter,5332
Bengaluru Urban,4,3,Summer,6037
Bengaluru Urban,4,4,Summer,4357
Bengaluru Urban,4,5,Summer,4385
Bengaluru Urban,4,6,Monsoon,5279
Bengaluru Urban,4,7,Monsoon,5874
Bengaluru Urban,4,8,Monsoon,5407
Bengaluru Urban,4,9,Monsoon,5439
Bengaluru Urban,4,10,Post-Monsoon,4836
Bengaluru Urban,4,11,Post-Monsoon,4932
Bengaluru Urban,4,12,Winter,5636
Bengaluru Urban,5,1,Winter,5061
Bengaluru Urban,5,2,Winter,4966
Bengaluru Urban,5,3,Summer,5533
Bengaluru Urban,5,4,Summer,4766
Bengaluru Urban,5,5,Summer,3941
Bengaluru Urban,5,6,Monsoon,4858
Bengaluru Urban,5,7,Monsoon,5978
Bengaluru Urban,5,8,Monsoon,5212
Bengaluru Urban,5,9,Monsoon,5608
Bengaluru Urban,5,10,Post-Monsoon,4974
Bengaluru Urban,5,11,Post-Monsoon,4553
Bengaluru Urban,5,12,Winter,5487
Bengaluru Urban,6,1,Winter,3087
Bengaluru Urban,6,2,Winter,3125
Bengaluru Urban,6,3,Summer,2943
Bengaluru Urban,6,4,Summer,2595
Bengaluru Urban,6,5,Summer,2488
Bengaluru Urban,6,6,Monsoon,2693
Bengaluru Urban,6,7,Monsoon,3329
Bengaluru Urban,6,8,Monsoon,3083
Bengaluru Urban,6,9,Monsoon,3287
Bengaluru Urban,6,10,Post-Monsoon,3055
Bengaluru Urban,6,11,Post-Monsoon,2633
Bengaluru Urban,6,12,Winter,2955
Bidar,0,1,Winter,553
Bidar,0,2,Winter,491
Bidar,0,3,Summer,455
Bidar,0,4,Summer,558
Bidar,0,5,Summer,503
Bidar,0,6,Monsoon,435
Bidar,0,7,Monsoon,561
Bidar,0,8,Monsoon,367
Bidar,0,9,Monsoon,357
Bidar,0,10,Post-Monsoon,402
Bidar,0,11,Post-Monsoon,376
Bidar,0,12,Winter,368
Bidar,1,1,Winter,465
Bidar,1,2,Winter,496
Bidar,1,3,Summer,515
Bidar,1,4,Summer,545
Bidar,1,5,Summer,496
Bidar,1,6,Monsoon,628
Bidar,1,7,Monsoon,504
Bidar,1,8,Monsoon,448
Bidar,1,9,Monsoon,386
Bidar,1,10,Post-Monsoon,381
Bidar,1,11,Post-Monsoon,429
Bidar,1,12,Winter,372
Bidar,2,1,Winter,489
Bidar,2,2,Winter,524
Bidar,2,3,Summer,461
Bidar,2,4,Summer,503
Bidar,2,5,Summer,408
Bidar,2,6,Monsoon,519
Bidar,2,7,Monsoon,440
Bidar,2,8,Monsoon,405
Bidar,2,9,Monsoon,411
Bidar,2,10,Post-Monsoon,360
Bidar,2,11,Post-Monsoon,443
Bidar,2,12,Winter,377
Bidar,3,1,Winter,464
Bidar,3,2,Winter,488
Bidar,3,3,Summer,502
Bidar,3,4,Summer,626
Bidar,3,5,Summer,458
Bidar,3,6,Monsoon,573
Bidar,3,7,Monsoon,356
Bidar,3,8,Monsoon,495
Bidar,3,9,Monsoon,373
Bidar,3,10,Post-Monsoon,343
Bidar,3,11,Post-Monsoon,417
Bidar,3,12,Winter,387
Bidar,4,1,Winter,490
Bidar,4,2,Winter,442
Bidar,4,3,Summer,530
Bidar,4,4,Summer,531
Bidar,4,5,Summer,429
Bidar,4,6,Monsoon,499
Bidar,4,7,Monsoon,454
Bidar,4,8,Monsoon,419
Bidar,4,9,Monsoon,393
Bidar,4,10,Post-Monsoon,393
Bidar,4,11,Post-Monsoon,417
Bidar,4,12,Winter,403
Bidar,5,1,Winter,506
Bidar,5,2,Winter,472
Bidar,5,3,Summer,469
Bidar,5,4,Summer,536
Bidar,5,5,Summer,435
Bidar,5,6,Monsoon,493
Bidar,5,7,Monsoon,463
Bidar,5,8,Monsoon,376
Bidar,5,9,Monsoon,428
Bidar,5,10,Post-Monsoon,397
Bidar,5,11,Post-Monsoon,443
Bidar,5,12,Winter,412
Bidar,6,1,Winter,555
Bidar,6,2,Winter,424
Bidar,6,3,Summer,470
Bidar,6,4,Summer,608
Bidar,6,5,Summer,451
Bidar,6,6,Monsoon,410
Bidar,6,7,Monsoon,470
Bidar,6,8,Monsoon,352
Bidar,6,9,Monsoon,343
Bidar,6,10,Post-Monsoon,352
Bidar,6,11,Post-Monsoon,358
Bidar,6,12,Winter,325
CID,0,1,Winter,8
CID,0,2,Winter,3
CID,0,3,Summer,7
CID,0,4,Summer,2
CID,0,5,Summer,3
CID,0,6,Monsoon,3
CID,0,7,Monsoon,2
CID,0,12,Winter,2
CID,1,1,Winter,1
CID,1,2,Winter,5
CID,1,3,Summer,7
CID,1,5,Summer,4
CID,1,6,Monsoon,4
CID,1,7,Monsoon,3
CID,1,8,Monsoon,1
CID,1,9,Monsoon,3
CID,1,10,Post-Monsoon,1
CID,1,12,Winter,2
CID,2,1,Winter,5
CID,2,2,Winter,3
CID,2,3,Summer,4
CID,2,4,Summer,5
CID,2,5,Summer,5
CID,2,6,Monsoon,6
CID,2,7,Monsoon,2
CID,2,8,Monsoon,3
CID,2,9,Monsoon,1
CID,2,11,Post-Monsoon,1
CID,2,12,Winter,3
CID,3,1,Winter,4
CID,3,2,Winter,4
CID,3,3,Summer,3
CID,3,5,Summer,6
CID,3,6,Monsoon,2
CID,3,7,Monsoon,1
CID,3,8,Monsoon,2
CID,3,9,Monsoon,1
CID,3,10,Post-Monsoon,1
CID,3,12,Winter,1
CID,4,1,Winter,3
CID,4,2,Winter,1
CID,4,3,Summer,4
CID,4,4,Summer,5
CID,4,5,Summer,5
CID,4,6,Monsoon,5
CID,4,9,Monsoon,1
CID,4,11,Post-Monsoon,4
CID,5,1,Winter,3
CID,5,2,Winter,5
CID,5,4,Summer,1
CID,5,5,Summer,2
CID,5,6,Monsoon,3
CID,5,8,Monsoon,1
CID,5,9,Monsoon,1
CID,5,10,Post-Monsoon,3
CID,5,12,Winter,1
Chamarajanagar,0,1,Winter,285
Chamarajanagar,0,2,Winter,317
Chamarajanagar,0,3,Summer,311
Chamarajanagar,0,4,Summer,415
Chamarajanagar,0,5,Summer,446
Chamarajanagar,0,6,Monsoon,255
Chamarajanagar,0,7,Monsoon,261
Chamarajanagar,0,8,Monsoon,248
Chamarajanagar,0,9,Monsoon,217
Chamarajanagar,0,10,Post-Monsoon,245
Chamarajanagar,0,11,Post-Monsoon,239
Chamarajanagar,0,12,Winter,224
Chamarajanagar,1,1,Winter,284
Chamarajanagar,1,2,Winter,291
Chamarajanagar,1,3,Summer,347
Chamarajanagar,1,4,Summer,434
Chamarajanagar,1,5,Summer,325
Chamarajanagar,1,6,Monsoon,257
Chamarajanagar,1,7,Monsoon,290
Chamarajanagar,1,8,Monsoon,281
Chamarajanagar,1,9,Monsoon,247
Chamarajanagar,1,10,Post-Monsoon,262
Chamarajanagar,1,11,Post-Monsoon,225
Chamarajanagar,1,12,Winter,236
Chamarajanagar,2,1,Winter,285
Chamarajanagar,2,2,Winter,298
Chamarajanagar,2,3,Summer,352
Chamarajanagar,2,4,Summer,373
Chamarajanagar,2,5,Summer,291
Chamarajanagar,2,6,Monsoon,280
Chamarajanagar,2,7,Monsoon,268
Chamarajanagar,2,8,Monsoon,262
Chamarajanagar,2,9,Monsoon,228
Chamarajanagar,2,10,Post-Monsoon,232
Chamarajanagar,2,11,Post-Monsoon,235
Chamarajanagar,2,12,Winter,218
Chamarajanagar,3,1,Winter,281
Chamarajanagar,3,2,Winter,333
Chamarajanagar,3,3,Summer,362
Chamarajanagar,3,4,Summer,318
Chamarajanagar,3,5,Summer,243
Chamarajanagar,3,6,Monsoon,298
Chamarajanagar,3,7,Monsoon,243
Chamarajanagar,3,8,Monsoon,257
Chamarajanagar,3,9,Monsoon,257
Chamarajanagar,3,10,Post-Monsoon,220
Chamarajanagar,3,11,Post-Monsoon,207
Chamarajanagar,3,12,Winter,243
Chamarajanagar,4,1,Winter,251
Chamarajanagar,4,2,Winter,255
Chamarajanagar,4,3,Summer,296
Chamarajanagar,4,4,Summer,355
Chamarajanagar,4,5,Summer,306
Chamarajanagar,4,6,Monsoon,280
Chamarajanagar,4,7,Monsoon,390
Chamarajanagar,4,8,Monsoon,244
Chamarajanagar,4,9,Monsoon,260
Chamarajanagar,4,10,Post-Monsoon,240
Chamarajanagar,4,11,Post-Monsoon,236
Chamarajanagar,4,12,Winter,242
Chamarajanagar,5,1,Winter,262
Chamarajanagar,5,2,Winter,300
Chamarajanagar,5,3,Summer,385
Chamarajanagar,5,4,Summer,304
Chamarajanagar,5,5,Summer,262
Chamarajanagar,5,6,Monsoon,254
Chamarajanagar,5,7,Monsoon,335
Chamarajanagar,5,8,Monsoon,236
Chamarajanagar,5,9,Monsoon,239
Chamarajanagar,5,10,Post-Monsoon,235
Chamarajanagar,5,11,Post-Monsoon,214
Chamarajanagar,5,12,Winter,264
Chamarajanagar,6,1,Winter,224
Chamarajanagar,6,2,Winter,277
Chamarajanagar,6,3,Summer,259
Chamarajanagar,6,4,Summer,364
Chamarajanagar,6,5,Summer,257
Chamarajanagar,6,6,Monsoon,225
Chamarajanagar,6,7,Monsoon,255
Chamarajanagar,6,8,Monsoon,206
Chamarajanagar,6,9,Monsoon,216
Chamarajanagar,6,10,Post-Monsoon,213
Chamarajanagar,6,11,Post-Monsoon,175
Chamarajanagar,6,12,Winter,201
Chikkaballapura,0,1,Winter,423
Chikkaballapura,0,2,Winter,436
Chikkaballapura,0,3,Summer,507
Chikkaballapura,0,4,Summer,501
Chikkaballapura,0,5,Summer,535
Chikkaballapura,0,6,Monsoon,493
Chikkaballapura,0,7,Monsoon,514
Chikkaballapura,0,8,Monsoon,456
Chikkaballapura,0,9,Monsoon,410
Chikkaballapura,0,10,Post-Monsoon,401
Chikkaballapura,0,11,Post-Monsoon,337
Chikkaballapura,0,12,Winter,339
Chikkaballapura,1,1,Winter,386
Chikkaballapura,1,2,Winter,399
Chikkaballapura,1,3,Summer,548
Chikkaballapura,1,4,Summer,466
Chikkaballapura,1,5,Summer,471
Chikkaballapura,1,6,Monsoon,597
Chikkaballapura,1,7,Monsoon,450
Chikkaballapura,1,8,Monsoon,545
Chikkaballapura,1,9,Monsoon,407
Chikkaballapura,1,10,Post-Monsoon,430
Chikkaballapura,1,11,Post-Monsoon,368
Chikkaballapura,1,12,Winter,333
Chikkaballapura,2,1,Winter,490
Chikkaballapura,2,2,Winter,478
Chikkaballapura,2,3,Summer,597
Chikkaballapura,2,4,Summer,473
Chikkaballapura,2,5,Summer,414
Chikkaballapura,2,6,Monsoon,508
Chikkaballapura,2,7,Monsoon,408
Chikkaballapura,2,8,Monsoon,426
Chikkaballapura,2,9,Monsoon,403
Chikkaballapura,2,10,Post-Monsoon,416
Chikkaballapura,2,11,Post-Monsoon,384
Chikkaballapura,2,12,Winter,364
Chikkaballapura,3,1,Winter,383
Chikkaballapura,3,2,Winter,485
Chikkaballapura,3,3,Summer,628
Chikkaballapura,3,4,Summer,482
Chikkaballapura,3,5,Summer,404
Chikkaballapura,3,6,Monsoon,511
Chikkaballapura,3,7,Monsoon,378
Chikkaballapura,3,8,Monsoon,462
Chikkaballapura,3,9,Monsoon,426
Chikkaballapura,3,10,Post-Monsoon,448
Chikkaballapura,3,11,Post-Monsoon,377
Chikkaballapura,3,12,Winter,385
Chikkaballapura,4,1,Winter,395
Chikkaballapura,4,2,Winter,378
Chikkaballapura,4,3,Summer,566
Chikkaballapura,4,4,Summer,485
Chikkaballapura,4,5,Summer,409
Chikkaballapura,4,6,Monsoon,499
Chikkaballapura,4,7,Monsoon,570
Chikkaballapura,4,8,Monsoon,402
Chikkaballapura,4,9,Monsoon,418
Chikkaballapura,4,10,Post-Monsoon,372
Chikkaballapura,4,11,Post-Monsoon,356
Chikkaballapura,4,12,Winter,361
Chikkaballapura,5,1,Winter,390
Chikkaballapura,5,2,Winter,374
Chikkaballapura,5,3,Summer,507
Chikkaballapura,5,4,Summer,536
Chikkaballapura,5,5,Summer,382
Chikkaballapura,5,6,Monsoon,418
Chikkaballapura,5,7,Monsoon,656
Chikkaballapura,5,8,Monsoon,416
Chikkaballapura,5,9,Monsoon,401
Chikkaballapura,5,10,Post-Monsoon,405
Chikkaballapura,5,11,Post-Monsoon,431
Chikkaballapura,5,12,Winter,423
Chikkaballapura,6,1,Winter,349
Chikkaballapura,6,2,Winter,312
Chikkaballapura,6,3,Summer,389
Chikkaballapura,6,4,Summer,439
Chikkaballapura,6,5,Summer,368
Chikkaballapura,6,6,Monsoon,357
Chikkaballapura,6,7,Monsoon,600
Chikkaballapura,6,8,Monsoon,375
Chikkaballapura,6,9,Monsoon,380
Chikkaballapura,6,10,Post-Monsoon,334
Chikkaballapura,6,11,Post-Monsoon,328
Chikkaballapura,6,12,Winter,282
Chikkamagaluru,0,1,Winter,488
Chikkamagaluru,0,2,Winter,511
Chikkamagaluru,0,3,Summer,459
Chikkamagaluru,0,4,Summer,511
Chikkamagaluru,0,5,Summer,510
Chikkamagaluru,0,6,Monsoon,390
Chikkamagaluru,0,7,Monsoon,367
Chikkamagaluru,0,8,Monsoon,385
Chikkamagaluru,0,9,Monsoon,348
Chikkamagaluru,0,10,Post-Monsoon,471
