act,section,count
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",27(b),16487
IPC 1860,468,15627
IPC 1860,354(B),15146
IPC 1860,269,14978
"INDIAN MOTOR VEHICLES ACT, 1988",5,14894
"INDIAN MOTOR VEHICLES ACT, 1988",177,14778
"INDIAN MOTOR VEHICLES ACT, 1988",185,14641
"CODE OF CRIMINAL PROCEDURE, 1973",109,13298
IPC 1860,120B,12823
IPC 1860,114,12739
IPC 1860,471,12179
IPC 1860,376,11870
IPC 1860,465,11612
IPC 1860,302,11299
IPC 1860,392,11249
IPC 1860,353,11078
IPC 1860,188,10374
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,4(1A),10018
IPC 1860,304A,9575
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6,9381
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21,9121
IPC 1860,417,8747
IPC 1860,376(2),8033
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4,7871
IPC 1860,201,7771
IPC 1860,511,7731
IPC 1860,109,7562
IPC 1860,354(A),7375
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(1),7241
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,4(1),7236
IPC 1860,355,7104
"INDIAN MOTOR VEHICLES ACT, 1988",181(3),6301
"INDIAN MOTOR VEHICLES ACT, 1988",134(B),6299
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,42,6227
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(1),6217
IPC 1860,306,6201
"INDIAN MOTOR VEHICLES ACT, 1988",184,5966
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,44,5919
IPC 1860,325,5899
"INDIAN MOTOR VEHICLES ACT, 1988",134,5782
IPC 1860,384,5762
IPC 1860,509,5673
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,12,5349
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20(b),5240
IPC 1860,342,5064
"INDIAN MOTOR VEHICLES ACT, 1988",192,5032
"CODE OF CRIMINAL PROCEDURE, 1973",116(3),4828
IPC 1860,270,4759
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,8,4442
IPC 1860,354(D),4425
IPC 1860,144,4387
The SC & ST (Prevention of Atrocities) Amendment Act 2015,3(1),4377
IPC 1860,366,4374
"INDIAN MOTOR VEHICLES ACT, 1988",5(1),4202
"INDIAN MOTOR VEHICLES ACT, 1988",192(A),4123
IPC 1860,409,4109
"THE DISASTER MANAGEMENT ACT, 2005",51(b),3972
"CODE OF CRIMINAL PROCEDURE, 1973",110(G),3825
IPC 1860,418,3797
IPC 1860,506(B),3732
IPC 1860,397,3689
"INDIAN MOTOR VEHICLES ACT, 1988",129,3672
IPC 1860,332,3652
IPC 1860,399,3528
IPC 1860,402,3484
IPC 1860,366(A),3482
"ESSENTIAL COMMODITIES ACT, 1955",7,3415
"ESSENTIAL COMMODITIES ACT, 1955",3,3405
IPC 1860,408,3333
IPC 1860,160,3294
IPC 1860,381,3244
IPC 1860,506(2),3235
IPC 1860,271,3046
IPC 1860,467,3015
"INDIAN MOTOR VEHICLES ACT, 1988",190(2),2995
IPC 1860,411,2976
IPC 1860,464,2959
"CODE OF CRIMINAL PROCEDURE, 1973",110,2906
IPC 1860,336,2889
IPC 1860,435,2799
IPC 1860,394,2772
"KARNATAKA POLICE (AMENDMENT) ACT, 2021",87,2769
KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,3,2764
Prohibition of Child Marriage Act 2006,9,2707
"CODE OF CRIMINAL PROCEDURE, 1973",41(D),2639
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,43,2533
IPC 1860,415,2478
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(4),2459
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,11,2457
"INDIAN MOTOR VEHICLES ACT, 1988",115,2415
"KARNATAKA POLICE (AMENDMENT) ACT, 2021",78,2409
IPC 1860,327,2326
IPC 1860,463,2324
"CODE OF CRIMINAL PROCEDURE, 1973",102,2308
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,3,2217
IPC 1860,429,2204
"KARNATAKA POLICE ACT, 1963",96(B),2170
IPC 1860,273,2168
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",11(1),2162
"KARNATAKA POLICE ACT, 1963",98,2159
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",27(B),2093
"KARNATAKA POLICE ACT, 1963",80,2060
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,4,2042
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",5(1),2003
"IMMORAL TRAFFIC PREVENTION ACT, 1956",4,1993
IPC 1860,507,1985
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,9,1970
IPC 1860,403,1921
"IMMORAL TRAFFIC PREVENTION ACT, 1956",5,1919
"INDIAN MOTOR VEHICLES ACT, 1988",183,1910
"KARNATAKA POLICE ACT, 1963",79,1909
"INDIAN MOTOR VEHICLES ACT, 1988",56,1857
IPC 1860,395,1803
"IMMORAL TRAFFIC PREVENTION ACT, 1956",3,1797
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),1793
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,8,1769
"CODE OF CRIMINAL PROCEDURE, 1973",108,1757
"ARMS ACT, 1959",25,1749
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,4,1735
"INDIAN MOTOR VEHICLES ACT, 1988",189,1719
INFORMATION TECHNOLOGY ACT 2008,67,1703
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,22,1647
"INDIAN MOTOR VEHICLES ACT, 1988",128(1),1634
IPC 1860,171E,1632
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,3(1),1602
INFORMATION TECHNOLOGY ACT 2000,67,1583
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(L),1554
IPC 1860,304B,1544
"KARNATAKA POLICE ACT, 1963",78(I),1533
IPC 1860,423,1531
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6,1520
"CODE OF CRIMINAL PROCEDURE, 1973",151,1476
IPC 1860,405,1459
"CODE OF CRIMINAL PROCEDURE, 1973",41(1),1453
IPC 1860,229A,1438
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,17,1409
CHILD MARRIAGE RESTRAINT ACT,9,1402
"INDIAN MOTOR VEHICLES ACT, 1988",4,1400
IPC 1860,309,1394
IPC 1860,426,1383
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",24,1376
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(2),1367
IPC 1860,328,1366
Prohibition of Child Marriage Act 2006,10,1354
"COPYRIGHT ACT, 1957",63,1352
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",8(c),1344
IPC 1860,153A,1341
IPC 1860,441,1333
IPC 1860,370,1326
"KARNATAKA POLICE ACT, 1963",78,1304
IPC 1860,494,1301
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,5,1279
IPC 1860,285,1256
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",5(4),1252
"DOWRY PROHIBITION ACT, 1961",6,1239
IPC 1860,295A,1234
"KARNATAKA POLICE ACT, 1963",78(1),1220
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,3(1),1179
IPC 1860,304,1164
IPC 1860,171H,1152
"KARNATAKA EXCISE ACT, 1965",36(B),1147
"CODE OF CRIMINAL PROCEDURE, 1973",41(2),1133
IPC 1860,436,1131
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",20(b),1123
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,44(1),1118
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(3),1118
IPC 1860,474,1113
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,4(A),1098
IPC 1860,376(3),1092
"CODE OF CRIMINAL PROCEDURE, 1973",110(A),1090
IPC 1860,466,1078
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",20B,1076
IPC 1860,287,1074
IPC 1860,425,1055
IPC 1860,290,1051
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",5,1028
INFORMATION TECHNOLOGY ACT 2008,66,1024
IPC 1860,416,1023
KARNATAKA LAND REVENUE ACT 1964,192(A),1010
"INDIAN MOTOR VEHICLES ACT, 1988",66,1001
"INDIAN MOTOR VEHICLES ACT, 1988",39,996
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",11,992
IPC 1860,505(2),989
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,42(1),984
Prohibition of Child Marriage Act 2006,11,980
IPC 1860,354A(1),969
"INDIAN MOTOR VEHICLES ACT, 1988",119,968
"IMMORAL TRAFFIC PREVENTION ACT, 1956",6,966
"INDIAN MOTOR VEHICLES ACT, 1988",17,932
IPC 1860,317,916
INFORMATION TECHNOLOGY ACT 2000,66,906
IPC 1860,344,905
IPC 1860,354C,901
IPC 1860,452,898
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(4A),896
IPC 1860,469,892
IPC 1860,470,889
"KARNATAKA POLICE ACT, 1963",96,882
IPC 1860,295,879
IPC 1860,365,871
"THE CENTRAL MOTOR VEHICLES RULES, 1989",115,871
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,4,864
IPC 1860,284,860
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",6,854
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",20(2),852
"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",3,840
"INDIAN MOTOR VEHICLES ACT, 1988",134(A),832
"INDIAN MOTOR VEHICLES ACT, 1988",192(1),832
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,12,829
"INDIAN ARMS ACT, 1959",25,820
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,12,815
The SC & ST (Prevention of Atrocities) Amendment Act 2015,3(2),804
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,10,802
"KARNATAKA EXCISE ACT, 1965",38A,801
"INDIAN MOTOR VEHICLES ACT, 1988",156,799
"IMMORAL TRAFFIC PREVENTION ACT, 1956",7,798
KARNATAKA FOREST ACT 1963,86,797
IPC 1860,451,793
IPC 1860,424,785
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",4,782
"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(1),779
"FOREIGNERS ACT, 1946",14,761
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4,754
"KARNATAKA POLICE ACT, 1963",103,747
IPC 1860,196,744
"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",4,716
CHILD MARRIAGE RESTRAINT ACT,10,704
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,4,702
"KARNATAKA POLICE ACT, 1963",78(VI),687
IPC 1860,352,679
IPC 1860,286,678
IPC 1860,343,676
IPC 1860,364A,675
"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",3,672
INFORMATION TECHNOLOGY ACT 2000,67(A),657
KARNATAKA FOREST ACT 1963,87,652
"INDIAN MOTOR VEHICLES ACT, 1988",66(1),646
"INDIAN MOTOR VEHICLES ACT, 1988",338,642
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,31(r),637
IPC 1860,177,632
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,5,611
IPC 1860,186,607
IPC 1860,193,602
IPC 1860,141,599
"INDIAN MOTOR VEHICLES ACT, 1988",180(5),593
IPC 1860,187,591
INFORMATION TECHNOLOGY ACT 2008,67(A),585
IPC 1860,376(N),583
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,3,581
"Juvenile Justice (Care and Protection of Children) Act, 2015",75,578
"INDIAN MOTOR VEHICLES ACT, 1988",194D,574
IPC 1860,393,570
IPC 1860,318,568
INFORMATION TECHNOLOGY ACT 2000,67(B),561
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(5),558
IPC 1860,308,556
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",7,554
KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,2(A),554
"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",3,552
IPC 1860,503,551
IPC 1860,421,546
IPC 1860,428,545
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,43(2),544
IPC 1860,146,540
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,18,537
CHILD MARRIAGE RESTRAINT ACT,11,529
IPC 1860,477A,526
IPC 1860,385,522
IPC 1860,278,515
IPC 1860,313,515
"INDIAN MOTOR VEHICLES ACT, 1988",50,513
INFORMATION TECHNOLOGY ACT 2000,66(E),508
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(J),508
"INDIAN MOTOR VEHICLES ACT, 1988",122,506
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,11,504
IPC 1860,153,500
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,31R(13),493
IPC 1860,505(1),492
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,5,492
"KARNATAKA EXCISE ACT, 1965",32(1),490
"KARNATAKA POLICE ACT, 1963",109,488
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",22(C),485
"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",9,482
IPC 1860,500,481
"KARNATAKA EXCISE ACT, 1965",36,480
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,18,479
"THE DISASTER MANAGEMENT ACT, 2005",51,478
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",8C,473
IPC 1860,224,472
IPC 1860,472,465
IPC 1860,171F,463
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,7,463
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",6(b),455
IPC 1860,505,451
IPC 1860,414,438
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,7,438
KARNATAKA LAND REVENUE ACT 1964,73,436
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,32,435
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",5,433
IPC 1860,107,432
IPC 1860,450,428
"INDIAN MOTOR VEHICLES ACT, 1988",190,428
"INDIAN ARMS ACT, 1959",3,423
IPC 1860,181,422
IPC 1860,364,417
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",7(3),416
"INDIAN MOTOR VEHICLES ACT, 1988",218,416
"CODE OF CRIMINAL PROCEDURE, 1973",41(A),415
IPC 1860,199,413
"COPYRIGHT ACT, 1957",51(B),406
KARNATAKA NEW SAND POLICY 2011,31R(13),402
IPC 1860,145,400
IPC 1860,376A,400
KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,12,397
IPC 1860,376(1),393
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",4(2),388
IPC 1860,407,388
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,7,388
KARNATAKA MONEY LENDERS ACT 1961,38,387
KARNATAKA MONEY LENDERS ACT 1961,39,387
IPC 1860,473,386
INFORMATION TECHNOLOGY ACT 2008,66(E),386
IPC 1860,333,386
IPC 1860,386,385
"ARMS ACT, 1959",27,382
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,11(iv),382
"ARMS ACT, 1959",3,381
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20(a),379
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",11(D),378
IPC 1860,120(A),376
"COPYRIGHT ACT, 1957",51(1),374
IPC 1860,212,373
IPC 1860,413,371
KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,4,368
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(L),364
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",5(3A),363
"INDIAN MOTOR VEHICLES ACT, 1988",128,363
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,36,359
IPC 1860,182,358
IPC 1860,192,357
KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,4,356
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,44(2),355
IPC 1860,378,353
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,12,350
"KARNATAKA POLICE ACT, 1963",93,350
IPC 1860,387,349
"(r),3(1)(s) IPC 1860",504,349
"(d),102 IPC 1860",379,347
IPC 1860,489A,347
IPC 1860,268,346
IPC 1860,272,343
IPC 1860,209,341
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",127A,335
"COPYRIGHT ACT, 1957",51,335
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",22(b),330
IPC 1860,200,328
IPC 1860,442,328
IPC 1860,431,327
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,7,326
"KARNATAKA POLICE ACT, 1963",37,321
IPC 1860,499,320
IPC 1860,312,319
IPC 1860,198,317
"ARMS ACT, 1959",25(1B),315
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,3,314
IPC 1860,170,314
"KARNATAKA POLICE ACT, 1963",96(A),311
"ESSENTIAL COMMODITIES ACT, 1955",6(A),310
"(r),3(1)(s) IPC 1860",506,305
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",22,300
"MOTOR VEHICLE ACT, 1954",3,300
Transportation of Animal Act 1978,98,300
Transportation of Animal Act 1978,97,297
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4(2),295
"INDIAN MOTOR VEHICLES ACT, 1988",188,294
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,4,293
"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(2),293
Transportation of Animal Act 1978,96,293
"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",2,291
"INDIAN MOTOR VEHICLES ACT, 1988",194A,291
IPC 1860,166,291
IPC 1860,376(I),291
"KARNATAKA POLICE ACT, 1963",78(C),290
"INDIAN MOTOR VEHICLES ACT, 1988",39(1),289
IPC 1860,422,288
The SC & ST (Prevention of Atrocities) Amendment Act 2015,3,287
IPC 1860,203,286
"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",5(1),285
IPC 1860,167,285
IPC 1860,489B,279
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",21(b),278
IPC 1860,377,278
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,19,277
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",11(A),277
IPC 1860,383,276
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",24,275
"INDIAN MOTOR VEHICLES ACT, 1988",199(A),275
IPC 1860,294,274
IPC 1860,191,274
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,42,273
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5,271
IPC 1860,289,270
"INDIAN MOTOR VEHICLES ACT, 1988",117,269
KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,2,265
"KARNATAKA POLICE ACT, 1963",96(C,264
"KARNATAKA POLICE ACT, 1963",),264
"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",2(a),261
IPC 1860,376D,259
"INDIAN ARMS ACT, 1959",27,258
"KARNATAKA POLICE ACT, 1963",73(3),257
"CODE OF CRIMINAL PROCEDURE, 1973",145,256
IPC 1860,204,256
IPC 1860,174A,252
IPC 1860,398,252
IPC 1860,351,250
IPC 1860,120,249
Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,3(2),248
"Karnataka Prevention of Damage to Public Property Act, 1984",3,248
"PDS CONTROLING ORDER, 1992",18,248
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,3(2),247
"KARNATAKA EXCISE ACT, 1965",15,246
"EXPLOSIVE SUBSTANCES ACT, 1908",5,246
Transportation of Animal Act 1978,56,244
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",4,242
"EXPLOSIVE ACT, 1884",9B,242
KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,5,242
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",21,241
IPC 1860,195A,240
"CODE OF CRIMINAL PROCEDURE, 1973",41(I),240
IPC 1860,171C,239
IPC 1860,434,239
"KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",4,238
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20,236
"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",127A,232
"(r),3(1)(s) IPC 1860",323,232
KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,9,230
IPC 1860,288,229
IPC 1860,197,229
IPC 1860,298,228
"INDIAN MOTOR VEHICLES ACT, 1988",52,227
IPC 1860,35,226
"INDIAN MOTOR VEHICLES ACT, 1988",182,225
"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",2(A),223
(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6,223
IPC 1860,430,223
"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",3,222
"EPIDEMIC DISEASES ACT, 1897",3,222
"(r),3(1)(s) IPC 1860",34,222
KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,192(a),221
"KARNATAKA EXCISE ACT, 1965",41,220
IPC 1860,489C,220
"CODE OF CRIMINAL PROCEDURE, 1973",41,217
IPC 1860,493,217
"KARNATAKA POLICE ACT, 1963",36,216
IPC 1860,202,214
IPC 1860,176,213
"ARMS ACT, 1959",4,213
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,4(1),213
IPC 1860,497,211
"PASSPORTS ACT, 1967",12(1),207
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",6,207
KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,2(B),207
"KARNATAKA EXCISE ACT, 1965",14,207
IPC 1860,482,207
IPC 1860,477,205
IPC 1860,171B,204
"EXPLOSIVE ACT, 1884",9B(1),201
IPC 1860,115,201
IPC 1860,347,200
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(J),200
"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",4,199
"KARNATAKA EXCISE ACT, 1965",32(2),199
"(A) INDIAN MOTOR VEHICLES ACT, 1988",192(A),199
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(I),199
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,44(6),199
INFORMATION TECHNOLOGY ACT 2000,43,198
KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,7,198
KARNATAKA MOTOR VEHICLE RULE,230(A),198
"EXPLOSIVE SUBSTANCES ACT, 1908",3,197
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20(B),196
IPC 1860,339,196
"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",5,195
"INDIAN MOTOR VEHICLES ACT, 1988",138,195
"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",10,194
IPC 1860,108,194
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",27,193
"(d),102 KARNATAKA POLICE ACT, 1963",98,192
IPC 1860,489,192
"EXPLOSIVE SUBSTANCES ACT, 1908",4,191
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",123(1),190
IPC 1860,498,190
LOTTERY REGULATION ACT 1998,7(III),189
"KARNATAKA POLICE ACT, 1963",31,188
CHIT FUNDS ACT 1982,76,188
KARNATAKA FOREST RULES,144,187
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,12(1),185
