unit_name,canonical_name,parent_district,kgis_code,count,n_with_coord,mean_lat,mean_lng
Airport Traffic PS,Bengaluru City,Bengaluru Urban,20,1267,1267,12.9011,77.581127
Amruthahally PS,Bengaluru City,Bengaluru Urban,20,2149,2149,13.065601,77.582411
Annapoorneshwari Nagar PS,Bengaluru City,Bengaluru Urban,20,2609,2609,12.962372,77.509933
Ashoknagar PS,Bengaluru City,Bengaluru Urban,20,3496,3496,12.932291,77.590994
Ashoknagar Traffic PS,Bengaluru City,Bengaluru Urban,20,1329,1329,12.945042,77.558537
BIAL PS,Bengaluru City,Bengaluru Urban,20,867,867,13.199009,77.699088
Bagalagunte PS,Bengaluru City,Bengaluru Urban,20,3261,3261,13.073245,77.491369
Bagalur PS,Bengaluru City,Bengaluru Urban,20,1927,1927,13.136665,77.664878
Banasawadi Traffic PS,Bengaluru City,Bengaluru Urban,20,1634,1634,12.956017,77.554456
Banashankari PS,Bengaluru City,Bengaluru Urban,20,2644,2644,12.916191,77.56471
Banashankari Traffic PS,Bengaluru City,Bengaluru Urban,20,2041,2041,12.937068,77.550832
Banaswadi PS,Bengaluru City,Bengaluru Urban,20,5623,5623,13.03299,77.629713
Bandepalya PS,Bengaluru City,Bengaluru Urban,20,1768,1768,12.899802,77.639311
Basavanagudi PS,Bengaluru City,Bengaluru Urban,20,1975,1975,12.928849,77.585261
Basavanagudi Traffic PS,Bengaluru City,Bengaluru Urban,20,1739,1739,12.944399,77.55599
Basavanagudi Women PS,Bengaluru City,Bengaluru Urban,20,1476,1476,12.925785,77.565199
Basaveshwara Nagar PS,Bengaluru City,Bengaluru Urban,20,2910,2910,12.960126,77.539759
Beguru PS,Bengaluru City,Bengaluru Urban,20,2156,2156,12.8464,77.596888
Bellanduru PS,Bengaluru City,Bengaluru Urban,20,2840,2840,12.916117,77.671467
Bellanduru Traffic PS,Bengaluru City,Bengaluru Urban,20,195,195,12.933423,77.602542
Bharathi Nagar PS,Bengaluru City,Bengaluru Urban,20,1568,1568,12.990795,77.610877
Bommanahalli PS,Bengaluru City,Bengaluru Urban,20,3132,3132,12.908734,77.623206
Bowring Hospital PS,Bengaluru City,Bengaluru Urban,20,8,8,12.948223,77.55669
Byadarahalli PS,Bengaluru City,Bengaluru Urban,20,5072,5072,12.980359,77.486053
Byappanahalli PS,Bengaluru City,Bengaluru Urban,20,2048,2048,12.98457,77.658148
Byatarayanapura  PS,Bengaluru City,Bengaluru Urban,20,3599,3599,12.929933,77.531941
Byatrarayanapura Traffic PS,Bengaluru City,Bengaluru Urban,20,2866,2866,12.947802,77.543973
Central CEN Crime PS,Bengaluru City,Bengaluru Urban,20,3246,3246,12.938914,77.573779
Chamarajpet PS,Bengaluru City,Bengaluru Urban,20,1729,1729,12.953037,77.560711
Chandra Layout PS,Bengaluru City,Bengaluru Urban,20,3559,3559,12.912491,77.502375
Channammanakere Achu Kattu PS,Bengaluru City,Bengaluru Urban,20,2733,2733,12.912693,77.559712
Chickabanavara Traffic PS,Bengaluru City,Bengaluru Urban,20,16,16,13.116992,77.502445
Chickpet PS,Bengaluru City,Bengaluru Urban,20,91,91,12.954995,77.557211
Chickpet Traffic PS,Bengaluru City,Bengaluru Urban,20,1468,1468,12.949548,77.553615
Chikkajala PS,Bengaluru City,Bengaluru Urban,20,1292,1292,13.169458,77.629799
Chikkajala Traffic PS,Bengaluru City,Bengaluru Urban,20,2441,2441,12.954444,77.547201
City Market PS,Bengaluru City,Bengaluru Urban,20,1900,1900,12.963702,77.57531
City Market Traffic PS,Bengaluru City,Bengaluru Urban,20,2081,2081,12.948454,77.556838
Commercial Street PS,Bengaluru City,Bengaluru Urban,20,1502,1502,12.980253,77.606672
Cottonpet PS,Bengaluru City,Bengaluru Urban,20,2227,2227,12.955719,77.564183
Cubbon Park PS,Bengaluru City,Bengaluru Urban,20,1565,1565,12.970132,77.597478
Cubbonpark Traffic PS,Bengaluru City,Bengaluru Urban,20,1034,1034,12.951064,77.558867
Cyber Crime Police Station,Bengaluru City,Bengaluru Urban,20,16860,16860,12.982048,77.586231
Devanahalli PS,Bengaluru City,Bengaluru Urban,20,1222,1222,13.246982,77.705197
Devanahalli Traffic PS,Bengaluru City,Bengaluru Urban,20,2961,2961,13.079821,77.609632
Devarajeevanahalli PS,Bengaluru City,Bengaluru Urban,20,3222,3222,13.015526,77.609543
East CEN Crime PS,Bengaluru City,Bengaluru Urban,20,3572,3572,12.898254,77.603479
East Zone Women PS,Bengaluru City,Bengaluru Urban,20,1181,1181,12.98035,77.595323
Electronic City PS,Bengaluru City,Bengaluru Urban,20,2966,2966,12.824181,77.647456
Electronic City Traffic PS,Bengaluru City,Bengaluru Urban,20,1825,1825,12.882393,77.524634
Gangammana Gudi PS,Bengaluru City,Bengaluru Urban,20,1195,1195,13.072959,77.528631
Girinagar PS,Bengaluru City,Bengaluru Urban,20,2781,2781,12.9155,77.536888
Govindapura PS,Bengaluru City,Bengaluru Urban,20,820,820,13.033368,77.616913
Govindaraja Nagar PS,Bengaluru City,Bengaluru Urban,20,894,894,12.972404,77.528498
H.A.L. PS,Bengaluru City,Bengaluru Urban,20,4639,4639,12.949361,77.679139
HSR Lay Out Traffic PS,Bengaluru City,Bengaluru Urban,20,938,938,12.92966,77.602548
HSR Layout PS,Bengaluru City,Bengaluru Urban,20,3644,3644,12.942141,77.557041
Halasur Gate Traffic PS,Bengaluru City,Bengaluru Urban,20,965,965,12.953043,77.562661
Halasur PS,Bengaluru City,Bengaluru Urban,20,3149,3149,12.973001,77.625462
Halasur Traffic PS,Bengaluru City,Bengaluru Urban,20,957,957,12.961307,77.604823
Halasurgate PS,Bengaluru City,Bengaluru Urban,20,2309,2309,12.967722,77.585076
Hanumanthanagar PS,Bengaluru City,Bengaluru Urban,20,2652,2652,12.936962,77.559561
Hebbal PS,Bengaluru City,Bengaluru Urban,20,2048,2048,13.038286,77.593623
Hebbal Traffic PS,Bengaluru City,Bengaluru Urban,20,2561,2561,12.96231,77.539984
Hennur PS,Bengaluru City,Bengaluru Urban,20,3368,3368,13.041417,77.644573
Hennur Traffic PS,Bengaluru City,Bengaluru Urban,20,210,210,12.985867,77.582341
High Grounds PS,Bengaluru City,Bengaluru Urban,20,1568,1568,12.833349,77.49271
High Grounds Traffic PS,Bengaluru City,Bengaluru Urban,20,1164,1164,12.951086,77.554655
Hulimavu PS,Bengaluru City,Bengaluru Urban,20,3167,3167,12.77241,77.535831
Hulimavu Traffic PS,Bengaluru City,Bengaluru Urban,20,1206,1206,12.640474,77.244226
Indiranagar PS,Bengaluru City,Bengaluru Urban,20,2547,2547,12.97999,77.63818
J.C. Nagar PS,Bengaluru City,Bengaluru Urban,20,1467,1467,13.003183,77.589953
Jagajeevanram Nagar PS,Bengaluru City,Bengaluru Urban,20,2053,2053,12.84265,77.484117
Jalahalli PS,Bengaluru City,Bengaluru Urban,20,1063,1063,13.047307,77.54711
Jalahalli Traffic PS,Bengaluru City,Bengaluru Urban,20,1349,1349,13.014623,77.528649
Jayanagar PS,Bengaluru City,Bengaluru Urban,20,2808,2808,12.886198,77.531277
Jayanagar Traffic PS,Bengaluru City,Bengaluru Urban,20,2003,2003,12.944449,77.550995
Jayaprakash Nagar PS,Bengaluru City,Bengaluru Urban,20,2801,2801,12.913345,77.586134
Jeevan Bheemanagar PS,Bengaluru City,Bengaluru Urban,20,3239,3239,12.965967,77.653156
Jeevan Bhima Nagar (Indiranagar) Traffic  PS,Bengaluru City,Bengaluru Urban,20,1351,1351,12.945867,77.565569
Jnanabharathi PS,Bengaluru City,Bengaluru Urban,20,2832,2832,12.932689,77.489776
Jnanabharathi Traffic PS,Bengaluru City,Bengaluru Urban,20,76,76,12.957379,77.500627
K G Halli Traffic PS,Bengaluru City,Bengaluru Urban,20,545,545,12.970124,77.566714
K.R. Puram PS,Bengaluru City,Bengaluru Urban,20,5344,5344,13.019494,77.686649
K.R.Puram Traffic PS,Bengaluru City,Bengaluru Urban,20,2866,2866,12.968786,77.600059
Kadugodi PS,Bengaluru City,Bengaluru Urban,20,2999,2999,12.995685,77.753849
Kadugondana Halli PS,Bengaluru City,Bengaluru Urban,20,4303,4303,13.024676,77.626043
Kalasipalya PS,Bengaluru City,Bengaluru Urban,20,1887,1887,12.95002,77.566402
Kamakshipalya PS,Bengaluru City,Bengaluru Urban,20,4293,4293,12.983015,77.525713
Kamakshipalya Traffic PS,Bengaluru City,Bengaluru Urban,20,2721,2721,12.936376,77.542222
Kempapura Agrahara PS,Bengaluru City,Bengaluru Urban,20,1745,1745,12.959812,77.5588
Kempegowda Nagar PS,Bengaluru City,Bengaluru Urban,20,1324,1324,12.94558,77.561132
Kengeri PS,Bengaluru City,Bengaluru Urban,20,3759,3759,12.889109,77.481053
Kengeri Traffic PS,Bengaluru City,Bengaluru Urban,20,1590,1590,12.922093,77.536191
Kodigehalli PS,Bengaluru City,Bengaluru Urban,20,2192,2192,13.06197,77.574363
Konanakunte PS,Bengaluru City,Bengaluru Urban,20,2930,2930,12.870752,77.566422
Koramangala PS,Bengaluru City,Bengaluru Urban,20,3274,3274,12.940168,77.621367
Kothanur PS,Bengaluru City,Bengaluru Urban,20,1940,1940,13.059403,77.643459
Kumaraswamy Layout PS,Bengaluru City,Bengaluru Urban,20,3222,3222,12.906659,77.562689
Kumaraswamy Layout Traffic PS,Bengaluru City,Bengaluru Urban,20,2725,2725,12.850404,77.550956
Madivala PS,Bengaluru City,Bengaluru Urban,20,3956,3956,12.937724,77.559024
Madivala Traffic PS,Bengaluru City,Bengaluru Urban,20,1219,1219,12.929376,77.587351
Magadi Road PS,Bengaluru City,Bengaluru Urban,20,2215,2215,12.952295,77.546837
Magadi Road Traffic PS,Bengaluru City,Bengaluru Urban,20,1028,1028,12.953421,77.549857
Mahadevapura PS,Bengaluru City,Bengaluru Urban,20,4776,4776,12.993127,77.691117
Mahadevapura Traffic PS,Bengaluru City,Bengaluru Urban,20,252,252,12.961783,77.620186
Mahalakshmipuram PS,Bengaluru City,Bengaluru Urban,20,2581,2581,13.043173,77.535933
Malleshwaram PS,Bengaluru City,Bengaluru Urban,20,1660,1660,12.934934,77.520949
Malleshwaram Traffic PS,Bengaluru City,Bengaluru Urban,20,2362,2362,12.981215,77.558726
Marathahalli PS,Bengaluru City,Bengaluru Urban,20,3535,3535,12.929714,77.684552
Mico Layout PS,Bengaluru City,Bengaluru Urban,20,3813,3813,12.901379,77.606061
Mico Layout Traffic PS,Bengaluru City,Bengaluru Urban,20,1062,1062,12.940703,77.560867
Nandini Layout PS,Bengaluru City,Bengaluru Urban,20,3407,3407,13.016432,77.532035
North CEN Crime PS,Bengaluru City,Bengaluru Urban,20,6259,6259,13.018005,77.558366
NorthEast CEN Crime PS,Bengaluru City,Bengaluru Urban,20,4772,4772,13.057859,77.593387
Parappana Agrahara PS,Bengaluru City,Bengaluru Urban,20,4016,4016,12.872784,77.664268
Peenya PS,Bengaluru City,Bengaluru Urban,20,4862,4862,13.035555,77.511893
Peenya Traffic PS,Bengaluru City,Bengaluru Urban,20,3003,3003,13.00908,77.522156
Pulakeshinagar  PS,Bengaluru City,Bengaluru Urban,20,2963,2963,12.99888,77.613354
Pulakeshinagar Traffic PS,Bengaluru City,Bengaluru Urban,20,977,977,12.95409,77.549405
Puttenahalli PS,Bengaluru City,Bengaluru Urban,20,2407,2407,12.90094,77.581393
R.M.C. Yard PS,Bengaluru City,Bengaluru Urban,20,2002,2002,12.981785,77.525752
R.T. Nagar PS,Bengaluru City,Bengaluru Urban,20,2872,2872,13.026062,77.582149
R.T.Nagar Traffic PS,Bengaluru City,Bengaluru Urban,20,1985,1985,13.01944,77.603649
Rajagopal Nagar PS,Bengaluru City,Bengaluru Urban,20,5384,5384,13.015517,77.498627
Rajajinagar PS,Bengaluru City,Bengaluru Urban,20,1610,1610,12.985265,77.553944
Rajajinagar Traffic PS,Bengaluru City,Bengaluru Urban,20,2465,2465,12.950082,77.48537
Rajarajeshwari Nagar PS,Bengaluru City,Bengaluru Urban,20,2690,2690,12.868983,77.507281
Ramamurthy Nagar PS,Bengaluru City,Bengaluru Urban,20,4857,4857,13.012433,77.658
S.J. Park PS,Bengaluru City,Bengaluru Urban,20,1051,1051,12.959813,77.582408
Sadashivanagar PS,Bengaluru City,Bengaluru Urban,20,1626,1626,13.020467,77.564227
Sadashivanagar Traffic PS,Bengaluru City,Bengaluru Urban,20,1394,1394,12.984961,77.542059
Sampangiramanagar PS,Bengaluru City,Bengaluru Urban,20,1194,1194,12.955132,77.587145
Sampigehalli PS,Bengaluru City,Bengaluru Urban,20,2471,2471,13.073725,77.629822
Sanjay Nagar PS,Bengaluru City,Bengaluru Urban,20,2237,2237,13.039983,77.561622
Seshadripuram PS,Bengaluru City,Bengaluru Urban,20,1158,1158,12.983454,77.572777
Shankarpura PS,Bengaluru City,Bengaluru Urban,20,432,432,12.928404,77.559684
Shivajinagar PS,Bengaluru City,Bengaluru Urban,20,1349,1349,12.985361,77.605377
Shivajinagar Traffic PS,Bengaluru City,Bengaluru Urban,20,1032,1032,12.959981,77.570518
Siddapura PS,Bengaluru City,Bengaluru Urban,20,2153,2153,12.930266,77.588487
Soladevanahalli PS,Bengaluru City,Bengaluru Urban,20,2844,2844,13.097607,77.497589
South CEN Crime PS,Bengaluru City,Bengaluru Urban,20,5890,5890,12.917412,77.571169
SouthEast CEN Crime PS,Bengaluru City,Bengaluru Urban,20,4978,4978,12.934077,77.624354
Srirampura PS,Bengaluru City,Bengaluru Urban,20,1478,1478,12.989386,77.564977
Subramanyanagar PS,Bengaluru City,Bengaluru Urban,20,2021,2021,12.98253,77.551624
Subramanyapura PS,Bengaluru City,Bengaluru Urban,20,3713,3713,12.889149,77.540652
Suddaguntepalya PS,Bengaluru City,Bengaluru Urban,20,2472,2472,12.918778,77.600526
Thalaghattapura PS,Bengaluru City,Bengaluru Urban,20,2870,2870,12.861576,77.535174
Thalaghattapura Traffic PS,Bengaluru City,Bengaluru Urban,20,328,328,12.897584,77.530683
Thilaknagar PS,Bengaluru City,Bengaluru Urban,20,2517,2517,12.940843,77.557521
Thyagarajanagar PS,Bengaluru City,Bengaluru Urban,20,142,142,12.954952,77.547456
Upparpet PS,Bengaluru City,Bengaluru Urban,20,2146,2146,12.973862,77.571561
Upparpet Traffic PS,Bengaluru City,Bengaluru Urban,20,1619,1619,12.942082,77.56055
V V Puram Traffic PS,Bengaluru City,Bengaluru Urban,20,1651,1651,12.827698,77.482239
Varthur PS,Bengaluru City,Bengaluru Urban,20,2841,2841,12.911802,77.717332
Victoria Hospital PS,Bengaluru City,Bengaluru Urban,20,32,32,12.959674,77.569987
Vidhana Soudha PS,Bengaluru City,Bengaluru Urban,20,624,624,12.978967,77.589515
Vidyaranyapura PS,Bengaluru City,Bengaluru Urban,20,2679,2679,13.077902,77.542121
Vijayanagar PS,Bengaluru City,Bengaluru Urban,20,3503,3503,12.958159,77.531389
Vijayanagar Traffic PS,Bengaluru City,Bengaluru Urban,20,1830,1830,12.956258,77.545599
Vishveshwarapuram PS,Bengaluru City,Bengaluru Urban,20,1321,1321,12.938439,77.567137
Viveknagar PS,Bengaluru City,Bengaluru Urban,20,1942,1942,12.948569,77.622206
Vyalikaval PS,Bengaluru City,Bengaluru Urban,20,1364,1364,12.986044,77.551491
West CEN Crime PS,Bengaluru City,Bengaluru Urban,20,5019,5019,12.985116,77.542187
West Women PS,Bengaluru City,Bengaluru Urban,20,3,3,12.667514,77.535749
Whitefield CEN Crime PS,Bengaluru City,Bengaluru Urban,20,4745,4745,12.971705,77.740774
Whitefield PS,Bengaluru City,Bengaluru Urban,20,3816,3816,12.970167,77.74581
Whitefield Traffic PS,Bengaluru City,Bengaluru Urban,20,2218,2218,12.95019,77.578997
Wilsongarden PS,Bengaluru City,Bengaluru Urban,20,1692,1692,12.947135,77.593181
Wilsongarden Traffic PS,Bengaluru City,Bengaluru Urban,20,1539,1539,12.941537,77.558932
Yelahanka New Town PS,Bengaluru City,Bengaluru Urban,20,2837,2837,13.10178,77.578754
Yelahanka PS,Bengaluru City,Bengaluru Urban,20,2762,2762,13.096394,77.595198
Yelahanka Traffic PS,Bengaluru City,Bengaluru Urban,20,3430,3430,13.007313,77.559691
Yeshwanthapura PS,Bengaluru City,Bengaluru Urban,20,3285,3285,13.025873,77.552525
Yeshwanthapura Traffic PS,Bengaluru City,Bengaluru Urban,20,2191,2191,13.028799,77.533545
Anekal PS,Bengaluru Rural,Bengaluru Rural,21,2339,2339,12.712866,77.693011
Anugondanahalli PS,Bengaluru Rural,Bengaluru Rural,21,1080,1080,12.961661,77.821639
Attibele PS,Bengaluru Rural,Bengaluru Rural,21,3647,3647,12.773211,77.758828
Avalahally PS,Bengaluru Rural,Bengaluru Rural,21,3148,3148,13.047021,77.734975
Bannerghatta PS,Bengaluru Rural,Bengaluru Rural,21,1863,1863,12.814092,77.581478
Bengaluru CEN Crime PS,Bengaluru Rural,Bengaluru Rural,21,943,943,12.978185,77.629516
Bengaluru Dist Women PS,Bengaluru Rural,Bengaluru Rural,21,441,441,13.307352,77.515587
Chennarayapatana PS,Bengaluru Rural,Bengaluru Rural,21,943,943,13.238428,77.77841
Dobbespet PS,Bengaluru Rural,Bengaluru Rural,21,2083,2083,13.226997,77.2405
Doddaballapura Rural PS,Bengaluru Rural,Bengaluru Rural,21,3236,3236,13.311125,77.54303
Doddaballapura Town PS,Bengaluru Rural,Bengaluru Rural,21,1573,1573,13.301714,77.542468
Doddabelavangala PS,Bengaluru Rural,Bengaluru Rural,21,1554,1554,13.28414,77.420978
Hebbagodi PS,Bengaluru Rural,Bengaluru Rural,21,4172,4172,12.810952,77.678719
Hosahalli PS,Bengaluru Rural,Bengaluru Rural,21,340,340,13.438312,77.448569
Hosakote PS,Bengaluru Rural,Bengaluru Rural,21,3888,3888,13.073116,77.786149
Hosakote Traffic PS,Bengaluru Rural,Bengaluru Rural,21,403,403,13.113205,77.669819
Jigani PS,Bengaluru Rural,Bengaluru Rural,21,2073,2073,12.78102,77.637876
Madanayakanahally PS,Bengaluru Rural,Bengaluru Rural,21,5343,5343,13.092419,77.378151
Nandagudi PS,Bengaluru Rural,Bengaluru Rural,21,2036,2036,13.185431,77.904232
Nelamangala Rural PS,Bengaluru Rural,Bengaluru Rural,21,2455,2455,13.102024,77.371715
Nelamangala Town PS,Bengaluru Rural,Bengaluru Rural,21,1954,1954,13.091187,77.393198
Nelamangala Traffic PS,Bengaluru Rural,Bengaluru Rural,21,4095,4095,13.129161,77.373252
Rajanukunte PS,Bengaluru Rural,Bengaluru Rural,21,2047,2047,13.172107,77.554095
Sarjapura PS,Bengaluru Rural,Bengaluru Rural,21,2462,2462,12.866721,77.775567
Sulibele PS,Bengaluru Rural,Bengaluru Rural,21,1049,1049,13.175544,77.802401
Suryanagar PS,Bengaluru Rural,Bengaluru Rural,21,3272,3272,12.795949,77.704226
Thirumalashettahalli PS,Bengaluru Rural,Bengaluru Rural,21,1317,1317,12.992358,77.791839
Thyamagondlu PS,Bengaluru Rural,Bengaluru Rural,21,1045,1045,13.216493,77.307048
Vijayapura PS,Bengaluru Rural,Bengaluru Rural,21,1668,1668,13.298389,77.783808
Vishwanathapura PS,Bengaluru Rural,Bengaluru Rural,21,1535,1535,13.264729,77.61418
Aurad PS,Bidar,Bidar,05,1303,1303,18.248308,77.41219
Bagdal PS,Bidar,Bidar,05,905,905,17.650453,77.398876
Basava Kalyana Rural PS,Bidar,Bidar,05,1335,1335,17.865837,76.967763
Basava Kalyana Town PS,Bidar,Bidar,05,1857,1857,17.869911,76.945735
Basava Kalyana Traffic PS,Bidar,Bidar,05,917,917,17.952225,77.139199
Bemalkhed PS,Bidar,Bidar,05,710,710,17.659108,77.416362
Bhalki Rural PS,Bidar,Bidar,05,1465,1465,18.0505,77.207734
Bhalki Town PS,Bidar,Bidar,05,2097,2097,18.04645,77.215092
Bidar CEN Crime PS,Bidar,Bidar,05,117,117,17.92273,77.484522
Bidar Rural PS,Bidar,Bidar,05,785,785,17.909983,77.480345
Bidar Town PS,Bidar,Bidar,05,720,720,17.914177,77.530624
