lat,lng,time_bucket,major_head,year,count
12.21,76.9,Night,BURGLARY - NIGHT,2024,1
12.21,76.91,Night,BURGLARY - NIGHT,2021,1
12.22,75.26,Night,BURGLARY - NIGHT,2023,1
12.22,75.75,Night,BURGLARY - NIGHT,2020,1
12.22,75.75,Night,BURGLARY - NIGHT,2021,1
12.22,75.76,Night,BURGLARY - NIGHT,2020,1
12.22,75.79,Night,BURGLARY - NIGHT,2021,1
12.22,76.0,Night,BURGLARY - NIGHT,2023,1
12.22,76.02,Night,BURGLARY - NIGHT,2021,1
12.22,76.57,Night,BURGLARY - NIGHT,2019,1
12.22,76.6,Night,BURGLARY - NIGHT,2019,1
12.22,76.72,Night,BURGLARY - NIGHT,2019,1
12.22,76.9,Night,BURGLARY - NIGHT,2019,1
12.22,76.9,Night,BURGLARY - NIGHT,2020,1
12.23,75.64,Night,BURGLARY - NIGHT,2020,1
12.23,75.75,Night,BURGLARY - NIGHT,2019,1
12.23,75.76,Night,BURGLARY - NIGHT,2022,1
12.23,75.81,Daytime,BURGLARY - DAY,2021,1
12.23,75.81,Night,BURGLARY - NIGHT,2019,1
12.23,75.83,Night,BURGLARY - NIGHT,2021,1
12.23,75.85,Daytime,BURGLARY - DAY,2023,1
12.23,76.0,Night,BURGLARY - NIGHT,2023,1
12.23,76.01,Night,BURGLARY - NIGHT,2023,2
12.23,76.04,Night,BURGLARY - NIGHT,2021,1
12.23,76.18,Night,BURGLARY - NIGHT,2024,1
12.23,76.19,Night,BURGLARY - NIGHT,2024,1
12.23,76.44,Night,BURGLARY - NIGHT,2019,1
12.23,76.56,Night,BURGLARY - NIGHT,2024,1
12.23,76.59,Night,BURGLARY - NIGHT,2019,1
12.23,76.9,Night,BURGLARY - NIGHT,2023,1
12.24,75.73,Night,BURGLARY - NIGHT,2020,1
12.24,75.77,Daytime,BURGLARY - DAY,2020,1
12.24,75.85,Night,BURGLARY - NIGHT,2022,1
12.24,75.86,Daytime,BURGLARY - DAY,2019,1
12.24,75.86,Night,BURGLARY - NIGHT,2020,2
12.24,75.86,Night,BURGLARY - NIGHT,2021,1
12.24,75.91,Daytime,BURGLARY - DAY,2022,1
12.24,75.91,Night,BURGLARY - NIGHT,2020,1
12.24,76.05,Night,BURGLARY - NIGHT,2024,1
12.24,76.45,Night,BURGLARY - NIGHT,2019,1
12.24,76.48,Night,BURGLARY - NIGHT,2019,1
12.24,76.89,Night,BURGLARY - NIGHT,2023,1
12.24,76.9,Night,BURGLARY - NIGHT,2023,1
12.24,77.13,Night,BURGLARY - NIGHT,2022,1
12.24,77.15,Night,BURGLARY - NIGHT,2023,1
12.24,77.45,Night,BURGLARY - NIGHT,2024,1
12.25,75.24,Daytime,BURGLARY - DAY,2024,1
12.25,75.71,Night,BURGLARY - NIGHT,2020,1
12.25,75.81,Daytime,BURGLARY - DAY,2019,1
12.25,75.83,Daytime,BURGLARY - DAY,2021,1
12.25,75.86,Daytime,BURGLARY - DAY,2019,1
12.25,76.65,Night,BURGLARY - NIGHT,2019,1
12.25,76.66,Night,BURGLARY - NIGHT,2023,1
12.25,76.81,Night,BURGLARY - NIGHT,2023,1
12.25,77.2,Daytime,BURGLARY - DAY,2022,1
12.25,77.25,Night,BURGLARY - NIGHT,2023,1
12.25,77.26,Daytime,BURGLARY - DAY,2024,1
12.25,77.31,Night,BURGLARY - NIGHT,2023,1
12.25,77.57,Night,BURGLARY - NIGHT,2018,1
12.26,75.45,Daytime,BURGLARY - DAY,2023,1
12.26,75.64,Night,BURGLARY - NIGHT,2019,1
12.26,75.75,Daytime,BURGLARY - DAY,2022,1
12.26,75.83,Night,BURGLARY - NIGHT,2020,2
12.26,75.92,Night,BURGLARY - NIGHT,2022,1
12.26,76.33,Night,BURGLARY - NIGHT,2023,1
12.26,76.56,Night,BURGLARY - NIGHT,2019,1
12.26,76.62,Night,BURGLARY - NIGHT,2020,1
12.26,76.62,Night,BURGLARY - NIGHT,2023,1
12.26,76.63,Night,BURGLARY - NIGHT,2021,1
12.26,76.64,Night,BURGLARY - NIGHT,2021,1
12.26,76.64,Night,BURGLARY - NIGHT,2022,1
12.26,76.64,Night,BURGLARY - NIGHT,2024,1
12.26,76.67,Night,BURGLARY - NIGHT,2019,1
12.26,76.68,Night,BURGLARY - NIGHT,2020,1
12.26,76.96,Night,BURGLARY - NIGHT,2023,1
12.26,77.27,Night,BURGLARY - NIGHT,2024,1
12.27,75.57,Night,BURGLARY - NIGHT,2023,1
12.27,75.66,Night,BURGLARY - NIGHT,2019,1
12.27,75.68,Night,BURGLARY - NIGHT,2022,1
12.27,75.7,Night,BURGLARY - NIGHT,2021,1
12.27,75.72,Night,BURGLARY - NIGHT,2021,1
12.27,75.74,Daytime,BURGLARY - DAY,2022,1
12.27,75.77,Night,BURGLARY - NIGHT,2021,1
12.27,75.95,Night,BURGLARY - NIGHT,2019,1
12.27,76.09,Night,BURGLARY - NIGHT,2024,1
12.27,76.28,Night,BURGLARY - NIGHT,2023,1
12.27,76.6,Night,BURGLARY - NIGHT,2019,1
12.27,76.6,Night,BURGLARY - NIGHT,2023,1
12.27,76.62,Night,BURGLARY - NIGHT,2021,1
12.27,76.63,Daytime,BURGLARY - DAY,2021,1
12.27,76.63,Night,BURGLARY - NIGHT,2020,1
12.27,76.71,Night,BURGLARY - NIGHT,2024,1
12.27,76.74,Night,BURGLARY - NIGHT,2024,1
12.27,77.23,Night,BURGLARY - NIGHT,2022,1
12.28,76.44,Daytime,BURGLARY - DAY,2019,1
12.28,76.44,Night,BURGLARY - NIGHT,2019,1
12.28,76.61,Night,BURGLARY - NIGHT,2019,1
12.28,76.61,Night,BURGLARY - NIGHT,2023,1
12.28,76.61,Night,BURGLARY - NIGHT,2024,1
12.28,76.62,Daytime,BURGLARY - DAY,2019,1
12.28,76.62,Night,BURGLARY - NIGHT,2019,2
12.28,76.62,Night,BURGLARY - NIGHT,2022,1
12.28,76.63,Daytime,BURGLARY - DAY,2019,1
12.28,76.63,Night,BURGLARY - NIGHT,2019,1
12.28,76.63,Night,BURGLARY - NIGHT,2020,1
12.28,76.65,Daytime,BURGLARY - DAY,2021,1
12.28,76.65,Night,BURGLARY - NIGHT,2019,1
12.28,76.65,Night,BURGLARY - NIGHT,2021,2
12.28,76.65,Night,BURGLARY - NIGHT,2022,1
12.28,76.71,Night,BURGLARY - NIGHT,2020,1
12.28,76.83,Night,BURGLARY - NIGHT,2020,1
12.28,76.88,Night,BURGLARY - NIGHT,2024,1
12.28,76.94,Night,BURGLARY - NIGHT,2023,3
12.28,77.55,Night,BURGLARY - NIGHT,2023,1
12.29,75.33,Night,BURGLARY - NIGHT,2024,1
12.29,75.57,Night,BURGLARY - NIGHT,2023,1
12.29,75.67,Night,BURGLARY - NIGHT,2019,1
12.29,75.95,Daytime,BURGLARY - DAY,2023,1
12.29,76.02,Night,BURGLARY - NIGHT,2019,1
12.29,76.36,Daytime,BURGLARY - DAY,2024,1
12.29,76.55,Night,BURGLARY - NIGHT,2019,1
12.29,76.58,Night,BURGLARY - NIGHT,2019,1
12.29,76.61,Night,BURGLARY - NIGHT,2020,2
12.29,76.62,Daytime,BURGLARY - DAY,2019,1
12.29,76.63,Daytime,BURGLARY - DAY,2020,1
12.29,76.63,Daytime,BURGLARY - DAY,2021,1
12.29,76.63,Night,BURGLARY - NIGHT,2019,1
12.29,76.64,Daytime,BURGLARY - DAY,2021,1
12.29,76.64,Night,BURGLARY - NIGHT,2022,1
12.29,76.65,Daytime,BURGLARY - DAY,2020,1
12.29,76.65,Daytime,BURGLARY - DAY,2022,1
12.29,76.65,Night,BURGLARY - NIGHT,2019,1
12.29,76.65,Night,BURGLARY - NIGHT,2020,1
12.29,76.71,Daytime,BURGLARY - DAY,2021,1
12.29,76.71,Night,BURGLARY - NIGHT,2019,2
12.29,76.71,Night,BURGLARY - NIGHT,2021,1
12.29,76.71,Night,BURGLARY - NIGHT,2022,1
12.29,76.74,Night,BURGLARY - NIGHT,2019,2
12.29,76.82,Night,BURGLARY - NIGHT,2020,1
12.3,75.19,Night,BURGLARY - NIGHT,2023,1
12.3,75.56,Night,BURGLARY - NIGHT,2023,1
12.3,75.68,Daytime,BURGLARY - DAY,2021,1
12.3,75.69,Night,BURGLARY - NIGHT,2019,1
12.3,75.88,Daytime,BURGLARY - DAY,2019,1
12.3,75.88,Daytime,BURGLARY - DAY,2024,1
12.3,76.22,Night,BURGLARY - NIGHT,2019,1
12.3,76.3,Daytime,BURGLARY - DAY,2020,1
12.3,76.3,Night,BURGLARY - NIGHT,2021,2
12.3,76.58,Daytime,BURGLARY - DAY,2019,1
12.3,76.58,Night,BURGLARY - NIGHT,2019,1
12.3,76.59,Daytime,BURGLARY - DAY,2019,1
12.3,76.59,Night,BURGLARY - NIGHT,2020,1
12.3,76.59,Night,BURGLARY - NIGHT,2024,1
12.3,76.63,Night,BURGLARY - NIGHT,2019,1
12.3,76.64,Daytime,BURGLARY - DAY,2024,1
12.3,76.64,Night,BURGLARY - NIGHT,2024,1
12.3,76.65,Night,BURGLARY - NIGHT,2020,2
12.3,76.67,Night,BURGLARY - NIGHT,2023,1
12.3,76.7,Night,BURGLARY - NIGHT,2019,1
12.3,76.7,Night,BURGLARY - NIGHT,2020,1
12.3,76.7,Night,BURGLARY - NIGHT,2021,3
12.3,76.7,Night,BURGLARY - NIGHT,2022,1
12.3,76.7,Night,BURGLARY - NIGHT,2023,1
12.3,76.71,Daytime,BURGLARY - DAY,2021,1
12.3,76.71,Night,BURGLARY - NIGHT,2020,1
12.3,76.71,Night,BURGLARY - NIGHT,2021,1
12.3,76.95,Night,BURGLARY - NIGHT,2019,1
12.3,77.2,Night,BURGLARY - NIGHT,2023,1
12.31,75.47,Daytime,BURGLARY - DAY,2023,1
12.31,75.65,Night,BURGLARY - NIGHT,2020,1
12.31,75.75,Daytime,BURGLARY - DAY,2022,1
12.31,75.75,Night,BURGLARY - NIGHT,2019,1
12.31,76.28,Night,BURGLARY - NIGHT,2021,1
12.31,76.3,Daytime,BURGLARY - DAY,2023,1
12.31,76.3,Night,BURGLARY - NIGHT,2023,1
12.31,76.31,Night,BURGLARY - NIGHT,2024,1
12.31,76.36,Night,BURGLARY - NIGHT,2019,1
12.31,76.57,Night,BURGLARY - NIGHT,2019,1
12.31,76.61,Night,BURGLARY - NIGHT,2019,1
12.31,76.62,Night,BURGLARY - NIGHT,2022,3
12.31,76.65,Daytime,BURGLARY - DAY,2020,1
12.31,76.65,Night,BURGLARY - NIGHT,2019,4
12.31,76.65,Night,BURGLARY - NIGHT,2024,2
12.31,76.66,Night,BURGLARY - NIGHT,2021,1
12.31,76.67,Night,BURGLARY - NIGHT,2019,3
12.31,76.68,Night,BURGLARY - NIGHT,2019,2
12.31,76.69,Daytime,BURGLARY - DAY,2019,1
12.31,76.69,Daytime,BURGLARY - DAY,2021,1
12.31,76.69,Daytime,BURGLARY - DAY,2023,1
12.31,76.69,Night,BURGLARY - NIGHT,2019,2
12.31,76.69,Night,BURGLARY - NIGHT,2020,1
12.31,76.69,Night,BURGLARY - NIGHT,2021,1
12.31,76.7,Night,BURGLARY - NIGHT,2021,2
